_time,_measurement,device_id,event,loopcount,timecost
2023-09-22T12:19:15Z,sdgp,vm1,startjob,,
2023-09-22T12:23:07Z,sdgp,vm1,endjob,,
2023-09-22T12:25:22Z,sdgp,vm1,startjob,,
2023-09-22T12:28:59Z,sdgp,vm1,endjob,,
2023-09-22T12:35:29Z,sdgp,vm1,startjob,,
2023-09-22T12:22:06Z,sdgp,vm1,,100000,111
2023-09-22T12:28:13Z,sdgp,vm1,,100000,114
2023-09-22T12:24:58Z,sdgp,vm10,startjob,,
2023-09-22T12:27:58Z,sdgp,vm10,endjob,,
2023-09-22T12:34:35Z,sdgp,vm10,startjob,,
2023-09-22T12:27:15Z,sdgp,vm10,,100000,86
2023-09-22T12:21:05Z,sdgp,vm11,startjob,,
2023-09-22T12:25:28Z,sdgp,vm11,endjob,,
2023-09-22T12:35:09Z,sdgp,vm11,startjob,,
2023-09-22T12:24:31Z,sdgp,vm11,,100000,134
2023-09-22T12:09:28Z,sdgp,vm12,startjob,,
2023-09-22T12:11:49Z,sdgp,vm12,endjob,,
2023-09-22T12:34:25Z,sdgp,vm12,startjob,,
2023-09-22T12:10:43Z,sdgp,vm12,,100000,51
2023-09-22T12:10:23Z,sdgp,vm13,startjob,,
2023-09-22T12:14:22Z,sdgp,vm13,endjob,,
2023-09-22T12:13:30Z,sdgp,vm13,,100000,119
2023-09-22T12:10:31Z,sdgp,vm14,startjob,,
2023-09-22T12:14:57Z,sdgp,vm14,endjob,,
2023-09-22T12:22:39Z,sdgp,vm14,startjob,,
2023-09-22T12:26:31Z,sdgp,vm14,endjob,,
2023-09-22T12:28:27Z,sdgp,vm14,startjob,,
2023-09-22T12:31:38Z,sdgp,vm14,endjob,,
2023-09-22T12:14:06Z,sdgp,vm14,,100000,118
2023-09-22T12:25:33Z,sdgp,vm14,,100000,112
2023-09-22T12:30:50Z,sdgp,vm14,,100000,95
2023-09-22T12:10:26Z,sdgp,vm15,startjob,,
2023-09-22T12:13:07Z,sdgp,vm15,endjob,,
2023-09-22T12:34:19Z,sdgp,vm15,startjob,,
2023-09-22T12:12:22Z,sdgp,vm15,,100000,70
2023-09-22T12:24:47Z,sdgp,vm16,startjob,,
2023-09-22T12:28:23Z,sdgp,vm16,endjob,,
2023-09-22T12:35:30Z,sdgp,vm16,startjob,,
2023-09-22T12:27:31Z,sdgp,vm16,,100000,108
2023-09-22T12:23:10Z,sdgp,vm17,startjob,,
2023-09-22T12:26:39Z,sdgp,vm17,endjob,,
2023-09-22T12:33:30Z,sdgp,vm17,startjob,,
2023-09-22T12:25:49Z,sdgp,vm17,,100000,98
2023-09-22T12:32:32Z,sdgp,vm18,startjob,,
2023-09-22T12:34:52Z,sdgp,vm18,,100000,86
2023-09-22T12:21:13Z,sdgp,vm19,startjob,,
2023-09-22T12:25:09Z,sdgp,vm19,endjob,,
2023-09-22T12:29:52Z,sdgp,vm19,startjob,,
2023-09-22T12:32:59Z,sdgp,vm19,endjob,,
