#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:46:20Z,sdgp,bmc,38.5,37,36,35.5,1709,1704,1683,1690,35.5,33,30.5,4616,27,118,228.5,4560,23,118,228.5
,,0,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:46:53Z,sdgp,bmc,39,37.5,36.5,36,1707,1705,1690,1682,35.5,33.5,31,4616,28,119,229,4528,23,118,228.75
,,0,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:47:32Z,sdgp,bmc,40.5,39,37.5,37,1676,1692,1694,1678,36,34.5,31,4888,29,120,228.75,4528,24,120,228.75
,,0,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:47:54Z,sdgp,bmc,41,39.5,38,37.5,1678,1696,1684,1685,36,35,31.5,5064,29,120,228.5,4528,24,120,228.75
,,0,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:48:17Z,sdgp,bmc,41.5,40,39,38,1706,1698,1687,1680,36.5,35.5,31.5,5064,29,120,228.75,4528,24,120,229
,,0,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:48:40Z,sdgp,bmc,42,40.5,39.5,38.5,1705,1689,1702,1698,36.5,36,32,5096,30,121,228.25,4560,24,121,228.25
,,0,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:49:04Z,sdgp,bmc,42,41,40,38.5,1702,1699,1694,1696,37,36,32.5,5336,30,119,228.5,4528,24,119,228.5
,,0,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:49:26Z,sdgp,bmc,42.5,41.5,40.5,39,1704,1701,1688,1701,37,36.5,32.5,5336,30,120,228.75,4528,24,119,229
,,0,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:50:16Z,sdgp,bmc,43.5,42,41,39.5,1669,1695,1688,1698,37.5,37,33,5368,30,120,228,4528,24,119,228.5
,,0,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:50:39Z,sdgp,bmc,44,42.5,41.5,40,1699,1698,1692,1684,38,37,33.5,5520,31,119,228.5,4528,25,119,228.75
,,0,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:51:02Z,sdgp,bmc,44.5,43,42,40,1673,1704,1695,1694,38,37.5,33.5,5544,31,119,229,4560,25,119,229
,,0,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:51:25Z,sdgp,bmc,44.5,43.5,42,40.5,1704,1696,1692,1691,38.5,37.5,34,5544,31,119,228.75,4560,25,119,228.75
,,0,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:51:48Z,sdgp,bmc,45,44,42.5,40.5,1700,1695,1696,1682,38.5,37.5,34,5520,31,120,229,4528,25,119,229.25
,,0,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:52:10Z,sdgp,bmc,45.5,44,43,41,1699,1690,1690,1679,39,38,34.5,5544,31,120,228.5,4584,25,120,228.75
,,0,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:52:33Z,sdgp,bmc,45.5,44.5,43,41,1708,1697,1699,1691,39,38,35,5784,31,119,228.5,4616,25,120,228.75
,,0,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:52:56Z,sdgp,bmc,46,44.5,43.5,41,1703,1686,1683,1694,39.5,38,35,5784,31,121,228.75,4616,25,120,229
,,0,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:53:19Z,sdgp,bmc,46.5,45,43.5,41.5,1679,1688,1690,1695,39.5,38,35,5816,31,120,228.75,4648,25,120,228.75
,,0,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:53:41Z,sdgp,bmc,46.5,45,44,41.5,1672,1693,1698,1692,39.5,38,35.5,5816,31,120,228.5,4616,25,119,228.75
,,0,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:54:04Z,sdgp,bmc,47,45.5,44,41.5,1671,1688,1697,1685,40,38.5,35.5,5784,32,120,228.5,4616,25,120,228.75
,,0,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:54:27Z,sdgp,bmc,47,45.5,44,42,1672,1699,1697,1689,40,38.5,35.5,5816,32,121,228.75,4648,25,120,228.5
,,0,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:54:50Z,sdgp,bmc,47.5,45.5,44.5,42,1702,1702,1710,1680,40,38.5,36,5816,32,120,228,4616,25,121,228.75
,,0,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:55:12Z,sdgp,bmc,47.5,46,44.5,42,1708,1687,1695,1680,40.5,38.5,36,6056,32,120,228.75,4616,25,121,228.75
,,0,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:55:35Z,sdgp,bmc,48,46,44.5,42,1701,1701,1694,1691,40.5,38.5,36,6088,32,121,228.75,4856,25,121,229
,,0,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:56:24Z,sdgp,bmc,48,46.5,45,42.5,1702,1708,1697,1696,41,38.5,36.5,6088,32,120,228.25,4888,25,120,228.25
,,0,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:56:48Z,sdgp,bmc,48.5,46.5,45,42.5,1702,1684,1702,1687,41,39,36.5,6088,32,120,228.5,4920,25,120,228.25
,,0,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:57:11Z,sdgp,bmc,48.5,46.5,45.5,42.5,1674,1684,1698,1698,41.5,39,37,6088,32,120,228.5,4920,25,120,228.75
,,0,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:57:34Z,sdgp,bmc,49,46.5,45.5,42.5,1676,1695,1700,1685,41.5,39,37,6088,32,120,228.5,4920,25,120,229
,,0,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:57:56Z,sdgp,bmc,49,47,45.5,42.5,1700,1694,1693,1685,41.5,39,37,6088,32,121,228.5,4888,25,121,228.75
,,0,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:58:19Z,sdgp,bmc,49,47,45.5,43,1702,1692,1695,1683,42,39,37.5,6024,32,121,229.25,4920,25,120,229.25
,,0,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:58:55Z,sdgp,bmc,49.5,47,45.5,43,1672,1700,1688,1697,42,39,37.5,6264,32,120,228.75,4888,25,120,229
,,0,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:59:31Z,sdgp,bmc,49.5,47.5,46,43,1702,1687,1699,1682,42,39,37.5,6264,32,120,228.75,4888,25,120,229
,,0,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:59:54Z,sdgp,bmc,49.5,47.5,46,43,1673,1704,1702,1699,42.5,39,37.5,6240,32,121,229.25,4920,25,120,229

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,branch_misses,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_cycles,cpu_migrations,cpu_usage,ctx_switches,cycles,instructions,load_1,load_15,load_5,mem_usage,page_faults
,,1,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:46:06Z,sdgp,host,9420050,5232323,1660916000,0,0,0.99,0,0,0,0,29.7,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.34,0,0,0,2173314481,0,1.1,518,2167178351,3981308562,0.99,0.46,0.59,3.71,4
,,1,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:46:11Z,sdgp,host,2079451,4147822,308110604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0.99,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,100,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654179464,9,1.1,977,660441332,704836480,0.99,0.46,0.6,3.72,3722
,,1,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:46:17Z,sdgp,host,14400491,17981822,2002888052,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.94,1,1.98,1.96,1.01,0,44,0,0,0,0,0,0,0.99,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3546352686,6,1,19057,3542163564,4773654591,0.99,0.46,0.61,3.73,63
,,1,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:46:22Z,sdgp,host,3913437,6889860,597273494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033228390,1,1.1,1116,1028551398,1443608911,1.07,0.47,0.64,3.73,809
,,1,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:46:28Z,sdgp,host,9916011,8955899,1590284446,0,0,32.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,2181857422,0,1.1,324,2174830049,3842694942,1.06,0.48,0.64,3.73,43
,,1,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:46:33Z,sdgp,host,4810352,2787274,838902317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,58.92,0,10.89,0,0,0,0,1158478558,0,0.3,591,1144999733,2019836951,1.06,0.48,0.65,3.73,5
,,1,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:46:38Z,sdgp,host,117177,378156,8516868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.87,0,0,6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64441924,0,1.2,302,61982226,19191026,1.05,0.48,0.65,3.75,4
,,1,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:46:44Z,sdgp,host,194225,541873,12021778,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,12.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89185941,0,0.3,463,86913514,28172346,0.97,0.48,0.64,3.75,6
,,1,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:46:49Z,sdgp,host,133066,412635,9239243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69593259,0,0.5,562,66707588,20764849,0.89,0.48,0.63,3.75,4
,,1,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:46:55Z,sdgp,host,117965,393554,8730140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65005260,0,0.3,298,62875620,20355547,0.82,0.47,0.62,3.76,4
,,1,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:47:00Z,sdgp,host,201912,475051,11636630,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79473750,0,0.3,410,77703829,27135755,0.91,0.48,0.64,3.76,4
,,1,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:47:06Z,sdgp,host,149185,534263,10725064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79444192,0,0.3,632,77125973,24554879,0.84,0.48,0.63,3.76,4
,,1,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:47:11Z,sdgp,host,139850,519392,15024081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111123027,0,0.3,326,108935888,39793745,0.77,0.47,0.62,3.76,5
,,1,2023-04-25T12:20:33.674058896Z,2023-04-25T14:00:33.674058896Z,2023-04-25T13:47:17Z,sdgp,host,5269476,12356553,351082336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1517224682,1,0.3,19043,1514180081,810795737,0.71,0.47,0.61,3.76,126
