#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:07:15Z,sdgp,bmc,45.5,41.5,41,39,3498,3525,3524,3518,40.5,34,34.5,5520,29,120,229,4528,24,120,229
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:07:52Z,sdgp,bmc,45.5,41.5,41,39,3500,3524,3520,3520,40.5,33.5,34.5,5520,29,120,229,4528,24,120,228.5
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:08:28Z,sdgp,bmc,45,41.5,41,38.5,3338,3364,3366,3363,40.5,34,34,5520,29,119,228.75,4528,24,120,228.75
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:08:52Z,sdgp,bmc,45,41,41,38.5,3337,3374,3365,3362,40,34.5,34,5520,29,119,228.5,4528,24,120,229
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:09:14Z,sdgp,bmc,45,41,40.5,38.5,3339,3364,3367,3364,40,34,34,5520,29,120,229.25,4528,24,119,229
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:09:38Z,sdgp,bmc,45,41,40.5,38.5,3393,3365,3363,3364,40,34,34,5520,29,119,229.5,4528,24,119,229.5
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:10:01Z,sdgp,bmc,44.5,41,40.5,38.5,3339,3364,3365,3379,40,34,34,5544,28,120,228.75,4528,24,119,229.25
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:10:24Z,sdgp,bmc,44.5,41,40.5,38.5,3174,3200,3210,3191,40,34,34,5520,29,119,229.5,4560,24,119,229.5
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:10:48Z,sdgp,bmc,44.5,41,40.5,38.5,3173,3196,3194,3190,40,34,34,5520,29,120,228.5,4528,24,120,228.5
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:11:10Z,sdgp,bmc,44.5,41,40.5,38.5,3173,3196,3208,3190,39.5,34,34,5520,29,120,228.75,4528,24,120,228.75
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:11:34Z,sdgp,bmc,44.5,41,40.5,38.5,3174,3208,3196,3190,39.5,34,33.5,5544,29,120,229,4560,24,119,229
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:11:57Z,sdgp,bmc,44.5,41,40.5,38.5,3010,3030,3027,3023,39.5,34,33.5,5544,29,120,229,4560,24,119,229.5
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:12:20Z,sdgp,bmc,44.5,41,40.5,38.5,2841,2860,2861,2859,39.5,34,33.5,5544,29,119,229,4528,24,119,229.75
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:12:42Z,sdgp,bmc,44.5,41,40.5,38.5,2836,2859,2859,2860,39.5,34,34,5520,29,119,229.25,4528,24,119,229
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:13:06Z,sdgp,bmc,44.5,41.5,41,38.5,2888,2858,2858,2858,39.5,34.5,34,5520,29,119,229,4528,24,119,229.25
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:13:30Z,sdgp,bmc,44.5,41.5,41,39,2838,2860,2856,2873,39.5,34.5,34,5544,29,119,228.75,4528,24,120,229
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:14:18Z,sdgp,bmc,45,41.5,41,39,2888,2859,2858,2873,39.5,34.5,34,5544,29,119,229.75,4560,24,119,229.75
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:14:42Z,sdgp,bmc,45,41.5,41,39,2840,2868,2861,2858,39.5,34.5,34,5544,29,119,229.25,4528,24,119,229.5
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:15:05Z,sdgp,bmc,45,41.5,41,39,2839,2860,2860,2858,40,34.5,34,5544,29,119,229.5,4528,24,119,229.5
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:15:27Z,sdgp,bmc,45,41.5,41,39,2674,2703,2695,2701,40,34.5,34,5520,29,120,229.5,4560,24,119,229.5
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:15:50Z,sdgp,bmc,45,42,41.5,39,2674,2694,2693,2701,40,34.5,34,5520,29,119,229.5,4528,24,119,229.75
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:16:14Z,sdgp,bmc,45,42,41.5,39,2674,2698,2691,2690,40,35,34,5544,29,119,229.75,4528,24,119,229.25
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:16:48Z,sdgp,bmc,45,42,41.5,39.5,2719,2695,2693,2690,40,35,34,5520,30,119,229,4560,24,119,229
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:17:27Z,sdgp,bmc,45.5,42,41.5,39.5,2670,2693,2704,2686,40,35,34,5544,29,121,229,4528,24,121,229
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:17:50Z,sdgp,bmc,45.5,42,41.5,39.5,2721,2706,2693,2689,40,35,34.5,5520,30,121,229.5,4528,24,122,229.5
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:18:12Z,sdgp,bmc,45.5,42,42,39.5,2674,2702,2692,2701,40,35,34.5,5520,30,121,229.25,4560,24,122,229.75
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:18:35Z,sdgp,bmc,45.5,42,42,39.5,2671,2704,2691,2688,40,35,34.5,5544,30,121,229.25,4560,24,121,229.25
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:18:59Z,sdgp,bmc,45.5,42.5,42,39.5,2674,2689,2695,2690,40,35,34.5,5544,30,120,229.25,4616,24,120,229
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:19:22Z,sdgp,bmc,45.5,42.5,42,39.5,2672,2700,2693,2691,40,35,34.5,5520,30,119,229.25,4616,24,120,229
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:19:44Z,sdgp,bmc,45.5,42.5,42,39.5,2671,2691,2688,2688,40,35,34.5,5544,30,120,229.25,4648,24,120,229.5
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:20:07Z,sdgp,bmc,45.5,42.5,42,39.5,2715,2694,2707,2688,40,35,34.5,5520,30,120,229.25,4616,24,120,229.25
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:20:31Z,sdgp,bmc,45.5,42.5,42,39.5,2720,2694,2701,2688,40,35,34.5,5520,30,120,229.25,4616,24,119,229.25
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:20:53Z,sdgp,bmc,46,42.5,42,39.5,2720,2704,2692,2700,40,35,34.5,5544,30,120,229.25,4616,24,120,229.5
,,0,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:21:17Z,sdgp,bmc,46,42.5,42,39.5,2669,2690,2689,2699,40,35,34.5,5544,30,120,229.75,4648,24,119,230

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,branch_misses,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_cycles,cpu_migrations,cpu_usage,ctx_switches,cycles,instructions,load_1,load_15,load_5,mem_usage,page_faults
,,1,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:06:59Z,sdgp,host,110579,292364,6517944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64703074,0,0.3,268,62500852,19223628,0.07,0.49,0.42,3.57,5
,,1,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:07:05Z,sdgp,host,122359,397179,8683051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64269664,0,0.3,291,62207717,20321115,0.14,0.49,0.42,3.57,5
,,1,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:07:10Z,sdgp,host,152689,456635,9859705,1,0,0.99,0,0,0,0,0,0.99,1,0,0,0,0.99,0,0,0,0.99,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0.99,1,0,0,0,0,0.99,0,0,1,0,1,0,1,1,0.99,0.99,0,0,0.99,1,0.99,0.99,0.99,1,0.99,1,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.99,1,1,0,0,0,1,0.99,0.99,1,0,0,0,0,0,0,0,1,0.99,0.99,0.99,0.99,0.99,0,0.99,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,75172830,0,0.3,591,72657093,22130371,0.13,0.48,0.41,3.58,7
,,1,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:07:16Z,sdgp,host,122859,404378,8913235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65317325,0,0.3,327,62126108,20192512,0.12,0.48,0.4,3.57,6
,,1,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:07:21Z,sdgp,host,111781,364973,8172846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60854246,0,0.4,272,58481302,18532133,0.11,0.48,0.4,3.57,4
,,1,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:07:27Z,sdgp,host,5548725,13933495,383429394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610021587,3,0.3,19087,1608150193,904927739,0.1,0.47,0.39,3.57,43
,,1,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:07:32Z,sdgp,host,2489308,6238023,216218825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915696723,6,0.4,695,921138009,518542049,0.09,0.47,0.38,3.57,5973
,,1,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:07:37Z,sdgp,host,136624,424990,9201067,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0.99,0,0.99,0,33.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71995698,0,0.4,564,69883131,20815624,0.08,0.47,0.38,3.58,4
,,1,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:07:43Z,sdgp,host,126730,432810,9095520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71716915,0,0.3,351,69814064,21289400,0.08,0.47,0.37,3.58,4
,,1,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:07:48Z,sdgp,host,118805,394126,8766272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71011123,0,1.1,300,68865482,19817988,0.07,0.46,0.36,3.57,4
,,1,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:07:54Z,sdgp,host,231947,594740,13140273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,91938108,0,0.3,709,89196973,30116004,0.07,0.46,0.36,3.57,5
,,1,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:07:59Z,sdgp,host,121010,387986,8514903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66523641,0,0.3,292,64576484,19433350,0.06,0.46,0.35,3.57,4
,,1,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:08:05Z,sdgp,host,116559,403903,8688399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67103256,0,0.3,304,65047565,20396037,0.13,0.46,0.36,3.57,4
,,1,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:08:10Z,sdgp,host,129084,462688,9429085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74327721,0,0.3,327,71573169,21657034,0.12,0.45,0.35,3.58,4
,,1,2023-04-25T12:41:42.666611965Z,2023-04-25T14:21:42.666611965Z,2023-04-25T14:08:16Z,sdgp,host,115212,398578,8688578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63290239,0,0.3,306,61504428,19695665,0.11,0.45,0.35,3.57,4
