#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:06:34Z,sdgp,bmc,53.5,49.5,48,44,1702,1700,1689,1708,46,39.5,39.5,6536,32,122,232.75,5008,25,123,233
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:06:57Z,sdgp,bmc,53.5,49.5,48.5,44,1703,1702,1706,1704,46,39.5,39.5,6536,32,122,232.5,5040,25,122,232.75
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:07:20Z,sdgp,bmc,53.5,49.5,48.5,43.5,1700,1703,1701,1685,46,39,39.5,6536,32,122,232.5,5096,25,123,232.5
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:08:04Z,sdgp,bmc,53.5,49.5,48.5,44,1700,1692,1699,1689,46,39.5,40,6536,32,123,232.75,5008,25,122,232.5
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:08:32Z,sdgp,bmc,53.5,49.5,48.5,43.5,1703,1695,1698,1685,46,39.5,39.5,6536,32,120,232.75,5096,25,121,233
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:08:55Z,sdgp,bmc,53.5,49.5,48.5,43.5,1704,1692,1697,1695,46,39.5,39.5,6536,32,121,232.25,5064,25,121,232.25
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:09:18Z,sdgp,bmc,53.5,49.5,48.5,43.5,1701,1688,1690,1684,46,39.5,39.5,6536,32,124,232.5,5040,25,124,232.75
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:09:43Z,sdgp,bmc,53.5,49.5,48.5,43.5,1702,1700,1700,1694,46,39,39.5,6536,32,124,232.5,4976,25,124,232.5
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:10:05Z,sdgp,bmc,53.5,49.5,48.5,44,1700,1693,1694,1693,46,39,39.5,6536,32,124,232.5,4976,25,124,232.75
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:10:28Z,sdgp,bmc,53.5,49.5,48.5,43.5,1703,1699,1691,1704,46,39,39.5,6536,32,124,232.5,5064,25,124,232.5
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:10:52Z,sdgp,bmc,53.5,49.5,48.5,44,1672,1698,1697,1701,46,39.5,39.5,6536,32,125,232.25,5064,25,125,232.75
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:11:15Z,sdgp,bmc,53.5,49.5,48.5,44,1705,1688,1688,1693,46,39.5,39.5,6536,32,124,232.5,4944,25,124,233
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:11:37Z,sdgp,bmc,53.5,49.5,48.5,44,1702,1698,1686,1695,46,39.5,39.5,6536,32,123,232.5,5040,25,124,232.75
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:12:01Z,sdgp,bmc,53.5,49.5,48.5,44,1671,1689,1695,1692,46,39.5,40,6504,32,124,232.25,5008,25,125,232.25
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:12:24Z,sdgp,bmc,53.5,49.5,48.5,44,1676,1704,1681,1699,46,39.5,39.5,6536,32,124,232.25,5040,25,124,232.5
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:12:47Z,sdgp,bmc,53.5,49.5,48.5,44,1708,1695,1704,1687,46,39.5,39.5,6536,32,124,232.5,5008,25,124,232.5
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:13:10Z,sdgp,bmc,53.5,49.5,48.5,44,1673,1695,1691,1705,46,39.5,39.5,6504,32,124,232.5,4944,25,124,232.5
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:13:35Z,sdgp,bmc,53.5,49.5,48.5,44,1707,1703,1698,1685,46,39.5,39.5,6536,32,124,232.25,5008,25,124,232.25
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:14:22Z,sdgp,bmc,53.5,49.5,48.5,44,1700,1693,1695,1701,46,39.5,39.5,6536,32,124,232,4920,25,124,232
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:14:45Z,sdgp,bmc,53.5,49.5,48.5,44,1672,1691,1688,1686,46,39.5,39.5,6536,32,123,232.5,4944,25,124,232.75
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:15:08Z,sdgp,bmc,53.5,49.5,48.5,44,1699,1694,1699,1688,46,39.5,39.5,6536,32,124,232.75,5064,25,123,232.75
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:15:31Z,sdgp,bmc,53.5,49.5,48.5,44,1702,1688,1687,1696,46,39.5,39.5,6536,32,124,232.5,5064,25,124,232.5
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:15:53Z,sdgp,bmc,53.5,49.5,48.5,44,1700,1702,1700,1699,46,39.5,39.5,6536,32,124,232.75,5040,25,124,233
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:16:16Z,sdgp,bmc,53.5,49.5,48.5,44,1703,1691,1689,1694,46,39.5,39.5,6536,32,123,232,5040,25,123,232.25
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:16:52Z,sdgp,bmc,53.5,49.5,48.5,44,1701,1696,1696,1687,46,39.5,39.5,6536,32,123,232,5096,25,124,232.25
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:17:28Z,sdgp,bmc,53.5,49.5,48.5,44,1672,1695,1703,1692,46,39,40,6536,32,124,232.5,5008,25,124,232.75
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:17:51Z,sdgp,bmc,53.5,49.5,48.5,44,1706,1701,1682,1705,46,39.5,40,6504,32,124,232.75,5064,25,124,232.5
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:18:14Z,sdgp,bmc,53.5,49.5,48.5,44,1701,1693,1703,1685,46,39.5,40,6536,32,123,232.25,5040,25,123,232.75
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:18:37Z,sdgp,bmc,53.5,49.5,48.5,44,1705,1686,1705,1707,46,39.5,40,6536,32,123,232.25,5096,25,123,232.25
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:19:00Z,sdgp,bmc,53.5,49.5,48.5,44,1700,1686,1685,1698,46,39.5,40,6536,32,123,232.75,5096,25,123,232.25
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:19:23Z,sdgp,bmc,53.5,49.5,48.5,44,1701,1691,1696,1695,46,39.5,40,6536,32,123,232,5096,25,122,232.25
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:19:46Z,sdgp,bmc,53.5,49.5,48.5,44,1699,1698,1697,1689,46,39.5,40,6536,32,124,232,5040,25,124,232.5
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:20:09Z,sdgp,bmc,53.5,49.5,48.5,44,1699,1690,1702,1689,46,39.5,40,6536,32,123,232.75,5040,25,123,232.75
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:20:32Z,sdgp,bmc,53.5,49.5,48.5,44,1700,1699,1706,1706,46,39,40,6536,32,122,232.5,5040,25,122,232.5
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:20:57Z,sdgp,bmc,53.5,49.5,48.5,44,1673,1701,1702,1701,46,39.5,39.5,6536,32,123,232.5,4976,25,123,232.75
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:21:19Z,sdgp,bmc,53.5,49.5,48.5,44,1702,1706,1696,1698,46,39.5,40,6536,32,123,232.75,5064,25,123,233
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:21:42Z,sdgp,bmc,53.5,49.5,48.5,43.5,1705,1687,1697,1685,46,39.5,40,6536,32,123,232.5,4976,25,123,232.75
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:22:05Z,sdgp,bmc,53.5,49.5,48.5,43.5,1697,1701,1688,1690,46,39.5,40,6536,32,123,232.75,4920,25,123,232.75
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:22:29Z,sdgp,bmc,53.5,49.5,48.5,43.5,1702,1688,1709,1700,46,39.5,39.5,6536,32,123,232.75,4976,25,123,232.75
,,0,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:23:17Z,sdgp,bmc,53.5,49.5,48.5,44,1699,1684,1694,1679,46,39.5,40,6536,32,122,232.75,5008,25,123,232.75

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,string,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,branch_misses,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_cycles,cpu_migrations,cpu_usage,ctx_switches,cycles,event,instructions,load_1,load_15,load_5,mem_usage,page_faults
,,1,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:06:17Z,sdgp,host,2614039,4854929,99324715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2.94,1.98,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410648624,0,0.3,585,395107927,,254716190,0.61,1.38,1.54,3.82,4
,,1,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:06:23Z,sdgp,host,9579571,21810005,488698675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.07,0,0,0,0,6,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1859703439,13,0.3,15020,1841688716,,1156717931,0.56,1.37,1.52,3.83,40
,,1,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:06:28Z,sdgp,host,4854958,10103909,217936278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722983035,0,0.3,655,726521093,,513847323,0.51,1.36,1.49,3.82,6
,,1,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:06:34Z,sdgp,host,195554,961785,20474063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.08,0,0,0,0,35,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.77,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,104248589,0,0.3,575,99775657,,46667282,0.47,1.36,1.47,3.82,6
,,1,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:06:39Z,sdgp,host,119234,335276,7281495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.23,0,1.01,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82790309,0,0.5,335,67690765,,20031058,0.43,1.35,1.44,3.82,4
,,1,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:06:45Z,sdgp,host,174691,950247,20044147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.68,2,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102839594,1,0.3,298,98525480,,46124768,0.4,1.34,1.42,3.82,6
,,1,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:06:50Z,sdgp,host,4474422,9141953,186980307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673239173,0,0.3,312,656125994,,456713059,0.45,1.34,1.41,3.82,4
,,1,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:06:56Z,sdgp,host,5920587,11885755,254173139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858371631,3,0.3,602,852984480,,615860820,0.41,1.33,1.39,3.82,111
,,1,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:07:01Z,sdgp,host,233949,1135704,33933763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118681591,0,0.3,315,123538910,,76937412,0.38,1.32,1.36,3.82,6
,,1,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:07:07Z,sdgp,host,179062,929632,20183595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97782726,1,1,310,93093034,,45553833,0.35,1.32,1.34,3.82,21
,,1,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:07:12Z,sdgp,host,3496052,10290813,258298676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,30.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118094253,2,0.3,14487,1123292097,,584451082,0.29,1.3,1.3,3.82,8
,,1,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:07:18Z,sdgp,host,194308,971092,20662981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.01,0,0,0,2.97,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103652127,0,0.3,568,99391632,,46764239,0.27,1.3,1.28,3.82,5
,,1,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:07:23Z,sdgp,host,8489929,18352256,413080576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11.22,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528926439,0,0.3,9644,1509752648,,999480154,0.25,1.29,1.25,3.82,38
,,1,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:07:28Z,sdgp,host,5683864,11431100,249205251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,822863723,0,0.3,1032,826978566,,597097978,0.23,1.28,1.23,3.82,6
,,1,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:07:34Z,sdgp,host,486843,1736050,86576869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.85,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212840507,0,1.5,612,209632557,,204499098,0.21,1.27,1.21,3.82,19
,,1,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:07:39Z,sdgp,host,170475,910262,19703964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95318394,0,0.7,328,90162740,,44653962,0.19,1.27,1.19,3.82,4
,,1,2023-04-26T07:43:40.127643548Z,2023-04-26T09:23:40.127643548Z,2023-04-26T09:07:45Z,sdgp,host,181467,904363,20074290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,31,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97465568,0,0.3,340,93303829,,45165815,0.18,1.26,1.17,3.82,4
