#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:27:47Z,sdgp,bmc,45,42,41.5,40,3005,3028,3028,3025,40,35,34.5,5544,29,120,232.75,4648,24,119,232.75
,,0,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:28:11Z,sdgp,bmc,45,42,41.5,39.5,3006,3026,3026,3038,40,35,34.5,5520,29,120,232.75,4648,24,119,233
,,0,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:28:34Z,sdgp,bmc,45,42,41.5,39.5,3062,3027,3031,3024,40,35,34.5,5544,29,119,232.75,4616,24,120,232.75
,,0,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:28:58Z,sdgp,bmc,45,42,41.5,39.5,3061,3028,3041,3024,40,35,34.5,5544,29,120,232.5,4616,24,119,232.75
,,0,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:29:22Z,sdgp,bmc,45,42,41.5,39.5,3009,3028,3041,3022,40,35,34.5,5520,29,120,232.25,4648,24,119,232.5
,,0,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:29:46Z,sdgp,bmc,45,42,41.5,39.5,3006,3036,3027,3020,40,35,34.5,5544,29,120,232.5,4616,24,119,232.5
,,0,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:30:38Z,sdgp,bmc,45,42,41.5,39.5,3009,3028,3041,3024,40,35,34.5,5544,30,120,232.75,4616,24,119,232.75
,,0,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:31:02Z,sdgp,bmc,45,42,41.5,39.5,3013,3027,3027,3022,40,35,34.5,5520,29,122,232.75,4616,24,122,232.5
,,0,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:31:25Z,sdgp,bmc,45,42,41.5,39.5,3007,3031,3042,3023,40,35,34.5,5544,30,122,232.5,4616,24,123,232.5
,,0,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:31:48Z,sdgp,bmc,45.5,42,41.5,39.5,3010,3025,3031,3024,40,35,34.5,5544,30,123,232.25,4648,24,123,232.25
,,0,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:32:12Z,sdgp,bmc,45.5,42,41.5,39.5,3009,3029,3027,3023,40,35,34.5,5544,30,123,232.25,4648,24,123,232.25
,,0,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:32:36Z,sdgp,bmc,45.5,42,41.5,39.5,3011,3030,3042,3022,40,35,34.5,5544,30,122,232.5,4616,24,124,232.75
,,0,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:33:00Z,sdgp,bmc,45.5,42,41.5,39.5,3008,3028,3027,3022,40,35,34.5,5520,30,122,232.5,4616,24,123,232.25
,,0,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:33:23Z,sdgp,bmc,45.5,42,41.5,40,3061,3030,3027,3024,40,35,34.5,5520,30,123,232.5,4616,24,123,232.5
,,0,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:33:47Z,sdgp,bmc,45.5,42,41.5,40,3009,3031,3025,3022,40,35,34.5,5520,30,123,232.25,4616,24,123,232.25
,,0,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:34:10Z,sdgp,bmc,45.5,42,42,40,3010,3038,3040,3018,40,35,34.5,5520,30,123,232.5,4648,24,123,232.75
,,0,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:34:34Z,sdgp,bmc,45.5,42,42,40,3009,3031,3027,3023,40,35,34.5,5520,30,124,232.25,4648,24,124,232.5
,,0,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:34:58Z,sdgp,bmc,45.5,42,42,40,3010,3028,3027,3023,40,35,34.5,5520,30,124,232.25,4648,24,123,232.5
,,0,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:35:22Z,sdgp,bmc,45.5,42,42,40,3011,3037,3039,3019,40,35,34.5,5544,30,124,232.25,4616,24,124,232.25
,,0,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:35:45Z,sdgp,bmc,45.5,42,42,40,3009,3031,3041,3025,40,35,34.5,5696,30,123,233,4616,24,124,233
,,0,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:36:38Z,sdgp,bmc,45.5,42,42,40,3010,3029,3028,3019,40,35,34.5,5640,30,123,233,4648,24,124,232.75
,,0,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:37:02Z,sdgp,bmc,45.5,42,42,40,3010,3030,3028,3023,40,35,34.5,5608,30,123,232.5,4616,24,123,232.75
,,0,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:37:26Z,sdgp,bmc,45.5,42.5,42,40,3011,3031,3026,3020,40,35,34.5,5544,30,123,232.75,4648,24,122,233
,,0,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:37:50Z,sdgp,bmc,45.5,42,42,40,3009,3030,3022,3023,40,35,34.5,5696,30,123,233,4648,24,123,233
,,0,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:38:13Z,sdgp,bmc,45.5,42,42,40,3059,3031,3028,3023,40,35,34.5,5696,30,123,232.75,4648,24,123,232.75
,,0,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:38:37Z,sdgp,bmc,45.5,42,42,40,3061,3028,3041,3022,40,35,34.5,5728,30,122,233.25,4616,24,122,233.25
,,0,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:39:23Z,sdgp,bmc,45.5,42,42,40.5,3009,3030,3028,3023,40,35,34.5,5728,30,122,232.75,4648,24,122,232.75
,,0,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:39:55Z,sdgp,bmc,45.5,42,42,40,3009,3038,3027,3021,40,35,34.5,5760,30,122,232.75,4616,24,122,233
,,0,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:40:18Z,sdgp,bmc,45.5,42,42,40,3009,3026,3028,3024,40,35,34.5,5544,30,122,232.5,4616,24,122,232.5
,,0,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:40:42Z,sdgp,bmc,45.5,42,42,39.5,3009,3031,3028,3035,40,35,34.5,5520,29,122,232.5,4648,24,122,232.5
,,0,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:41:06Z,sdgp,bmc,45.5,42,42,39.5,3011,3031,3040,3022,40,35,34.5,5608,29,122,232.5,4648,24,121,232.75

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,string,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,branch_misses,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_cycles,cpu_migrations,cpu_usage,ctx_switches,cycles,event,instructions,load_1,load_15,load_5,mem_usage,page_faults
,,1,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:27:38Z,sdgp,host,9064092,20807843,515504330,0,0,0,0,0.99,0,0.99,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,2023053524,0,0.3,19903,2019341614,,1200153566,0.72,0.51,0.65,3.68,60
,,1,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:27:44Z,sdgp,host,3968470,7929698,168160795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648629649,0,0.3,877,644572522,,393623625,0.74,0.52,0.66,3.68,529
,,1,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:27:49Z,sdgp,host,1478173,2920998,73476597,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.78,0,38.46,0,6,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,277963694,0,0.3,642,281920366,,173303317,0.68,0.51,0.64,3.69,5
,,1,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:27:55Z,sdgp,host,114637,452492,9925240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66981959,0,0.5,274,63396463,,22758599,0.63,0.51,0.63,3.68,4
,,1,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:28:00Z,sdgp,host,135238,522505,10878616,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83516590,0,0.8,316,78103216,,25018324,0.66,0.51,0.64,3.68,4
,,1,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:28:06Z,sdgp,host,142677,637237,17258583,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02,0,0,0,0,0,0,0,0,0,0,0,0,117951464,0,0.3,317,114505178,,45891832,0.61,0.51,0.63,3.69,6
,,1,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:28:11Z,sdgp,host,1790508,3449252,65588171,0,3,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312004495,0,0.3,621,295677713,,160875047,0.56,0.51,0.62,3.69,6
,,1,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:28:17Z,sdgp,host,3951828,8009407,167602979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627606086,1,0.3,685,624547530,,392323287,0.75,0.52,0.66,3.71,6
,,1,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:28:22Z,sdgp,host,2773133,6282484,137274195,0,0,0,0,0.99,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0.99,0,0,0,475317241,0,0.3,563,478468370,,313128436,0.69,0.52,0.65,3.71,5
,,1,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:28:28Z,sdgp,host,3865442,10709686,273243062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127521931,5,0.3,17556,1135265323,,610299242,0.74,0.52,0.66,3.71,9
,,1,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:28:33Z,sdgp,host,113351,436843,9889976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0.99,0,0,66712761,0,0.4,286,62875197,,22233287,0.68,0.52,0.65,3.71,4
,,1,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:28:39Z,sdgp,host,1499890,3081963,104931481,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.25,0,18.18,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97,0,0,0,0,0,0,0,0,0,0,0,0,486689838,0,0.3,705,468760092,,298388648,0.63,0.52,0.64,3.7,59
,,1,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:28:44Z,sdgp,host,587751,1045936,20590860,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,2.02,0,0,0,0,0,0,0,0,0,139534665,0,0.3,288,123407096,,54866956,0.66,0.52,0.64,3.7,6
,,1,2023-04-28T07:01:29.015113248Z,2023-04-28T08:41:29.015113248Z,2023-04-28T08:28:50Z,sdgp,host,3925494,7771865,166309951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613196136,0,1.3,578,609977809,,389323036,0.6,0.52,0.63,3.71,4
