#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:43:44Z,sdgp,bmc,45.5,42,42,39.5,3060,3040,3028,3038,40,35,34.5,5544,29,122,232.75,4616,24,122,232.75
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:44:08Z,sdgp,bmc,45.5,42,42,39.5,3061,3028,3027,3021,40,35,34.5,5544,29,122,232.75,4648,24,122,233
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:44:31Z,sdgp,bmc,45.5,42,42,39.5,3009,3035,3028,3024,40,35,34.5,5544,29,122,233,4616,24,122,232.75
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:44:58Z,sdgp,bmc,45.5,42,42,39.5,3008,3030,3024,3038,40,35,34.5,5520,29,124,232.25,4648,24,124,232.5
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:45:48Z,sdgp,bmc,45.5,42,42,40,3060,3040,3040,3023,40,35,34.5,5520,30,125,233,4648,24,139,232.75
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:46:11Z,sdgp,bmc,45.5,42,42.5,41,3005,3026,3025,3023,40,35,34.5,5520,30,126,232.5,4648,24,141,232.75
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:46:34Z,sdgp,bmc,45.5,42,42.5,41,3061,3031,3026,3024,40,35,34.5,5544,30,128,232,4800,24,144,232.25
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:46:58Z,sdgp,bmc,45.5,42.5,42.5,41,3010,3027,3024,3023,40,35,35,5520,30,133,232.5,4888,24,147,232.5
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:47:22Z,sdgp,bmc,46,42.5,43,41.5,3009,3027,3039,3021,40.5,35,35,5520,30,133,232.25,4920,24,148,232.25
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:47:45Z,sdgp,bmc,46,42.5,43.5,41.5,3174,3197,3192,3192,40.5,35.5,35,5728,30,134,232.25,4736,24,148,232.5
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:48:40Z,sdgp,bmc,46,42.5,43.5,42,3339,3366,3366,3362,40.5,35,35,5816,29,134,232.5,4648,24,149,232.25
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:49:03Z,sdgp,bmc,46,42.5,43.5,42,3340,3363,3370,3359,40.5,35,35,5784,29,134,232,4616,24,148,232
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:49:26Z,sdgp,bmc,46,42.5,44,42,3499,3521,3524,3517,40.5,35,35,5816,29,134,232.25,4616,24,149,232.25
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:49:50Z,sdgp,bmc,46,42.5,44,42,3500,3523,3521,3517,40.5,35,35,5816,29,134,232.5,4616,24,148,232.5
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:50:14Z,sdgp,bmc,46,42.5,44,42.5,3500,3526,3521,3519,40.5,35,35,5784,29,135,232.25,4648,24,149,232.25
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:50:37Z,sdgp,bmc,46,42.5,44,42.5,3499,3524,3520,3517,40.5,35,35,5816,29,134,232.75,4648,24,149,232.75
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:51:01Z,sdgp,bmc,46,42.5,44,42,3499,3526,3519,3516,40.5,35,35,5784,29,134,232.5,4616,24,149,232.5
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:51:25Z,sdgp,bmc,46,42.5,44,42.5,3499,3525,3520,3518,40.5,35,35,5816,29,135,232.5,4616,24,149,232.5
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:51:48Z,sdgp,bmc,46,42.5,44,42.5,3501,3523,3522,3516,40.5,35,35,5784,29,134,232.5,4616,24,149,232.5
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:52:12Z,sdgp,bmc,46,42.5,44,42.5,3498,3523,3522,3516,40.5,35,35,5784,29,134,232,4616,24,149,232.25
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:52:35Z,sdgp,bmc,46,42.5,44,42,3500,3523,3521,3516,40.5,35,35,5784,29,134,232.5,4616,24,149,232.25
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:52:59Z,sdgp,bmc,46,42.5,44,42.5,3499,3522,3523,3517,40.5,35,35,5784,29,134,232.5,4616,24,149,232.5
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:53:23Z,sdgp,bmc,46,42.5,44,42,3499,3523,3520,3516,40.5,35,35,5784,29,134,232.5,4616,24,149,232.5
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:53:46Z,sdgp,bmc,46,42.5,44,42.5,3500,3528,3520,3517,40.5,35,35,5816,29,133,232.25,4616,24,148,232.25
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:54:10Z,sdgp,bmc,46,42.5,44,42,3500,3524,3521,3517,40.5,35,35,5784,29,133,232.5,4616,24,147,232.25
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:54:34Z,sdgp,bmc,46,42.5,44,42,3498,3522,3519,3517,40.5,35,35,5784,29,131,232.75,4616,24,145,232.75
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:55:27Z,sdgp,bmc,46,42.5,43.5,42,3498,3523,3519,3517,40.5,35,35,5784,29,128,232.75,4616,24,144,233
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:55:51Z,sdgp,bmc,46,42,43.5,41.5,3499,3522,3520,3517,40.5,34.5,35,5784,29,125,232.25,4616,24,141,232.5
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:56:15Z,sdgp,bmc,46,42,43.5,41.5,3499,3525,3524,3517,40.5,34.5,35,5784,29,124,232.75,4616,24,139,232.25
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:56:38Z,sdgp,bmc,46,42,43,41,3499,3526,3520,3519,40.5,34.5,35,5640,29,122,232.75,4616,24,137,233
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:57:02Z,sdgp,bmc,45.5,42,43,41,3499,3526,3522,3517,40,34.5,35,5728,29,121,232.75,4560,24,135,233
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:57:26Z,sdgp,bmc,45.5,42,42.5,41,3499,3525,3521,3518,40,34.5,34.5,5728,29,120,232.5,4616,24,134,232.5
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:58:09Z,sdgp,bmc,45.5,42,42.5,40.5,3500,3524,3521,3517,40,34.5,34.5,5544,29,121,232.75,4560,24,128,232.75
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:58:42Z,sdgp,bmc,45.5,41.5,42,40.5,3495,3524,3523,3516,40,34.5,34.5,5544,29,120,232.75,4560,24,127,232.75
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:59:06Z,sdgp,bmc,45,41.5,42,40,3498,3523,3524,3519,40,34.5,34.5,5608,29,119,232.75,4560,24,127,232.75
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:59:29Z,sdgp,bmc,45,41.5,42,39.5,3499,3525,3522,3517,40,34.5,34.5,5520,29,119,233,4560,24,126,233
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:59:53Z,sdgp,bmc,45,41.5,41.5,39.5,3497,3524,3524,3517,40,34.5,34,5520,29,119,232.75,4560,24,125,233
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T09:00:17Z,sdgp,bmc,45,41.5,41.5,39.5,3499,3525,3519,3518,40,34.5,34.5,5520,29,119,232.5,4528,24,127,232.75
,,0,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T09:00:41Z,sdgp,bmc,45,41,41.5,39,3499,3525,3520,3518,40,34,34,5520,29,120,232.5,4528,24,126,232.5

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,string,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,branch_misses,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_cycles,cpu_migrations,cpu_usage,ctx_switches,cycles,event,instructions,load_1,load_15,load_5,mem_usage,page_faults
,,1,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:43:28Z,sdgp,host,6425386,9720701,760386286,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,39.6,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,2,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1805296437,2,0.6,13486,1811169475,,1791501659,1.22,1.15,1.21,3.77,104
,,1,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:43:34Z,sdgp,host,4183990,6926613,610284946,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.64,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1.01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093997009,5,1.2,800,1088800712,,1470606777,1.2,1.15,1.21,3.79,948
,,1,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:43:39Z,sdgp,host,15821048,18198285,1918902176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.99,33.33,1,0.99,40.4,23.47,19.39,6.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3378970721,0,1,824,3348422616,,4665085290,1.27,1.16,1.22,3.79,43
,,1,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:43:45Z,sdgp,host,13144742,19229926,1347002600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2662084750,3,1.1,1066,2666470598,,3226451359,1.23,1.16,1.21,3.79,1482
,,1,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:43:50Z,sdgp,host,5969814,3951842,1052415814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,8,3,0,11,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1459904322,1,1.1,542,1452209834,,2530268079,1.29,1.16,1.22,3.78,14
,,1,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:43:56Z,sdgp,host,8975648,10061519,1471436957,0,0,0,0,0.99,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,2159442408,1,1.9,791,2163410658,,3520695370,1.27,1.16,1.22,3.78,799
,,1,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:44:01Z,sdgp,host,4199021,2714978,721542756,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05,0.99,94.06,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1022952978,0,0.3,616,1008672251,,1740380180,1.24,1.16,1.22,3.77,6
,,1,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:44:07Z,sdgp,host,9412520,8745443,1570863006,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,2,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,56.57,0,0,0,0,2187820795,0,1.1,312,2179354263,,3790648346,1.3,1.16,1.23,3.78,48
,,1,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:44:12Z,sdgp,host,9556986,16919392,776621685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,1944738698,0,1.2,1505,1925883233,,1881111691,1.28,1.16,1.23,3.78,953
,,1,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:44:18Z,sdgp,host,15448423,17313028,1917559647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,41,0,1.98,0,19,0,0,0,0,0,3321970992,2,1.1,753,3316711368,,4631115738,1.34,1.17,1.24,3.78,16
,,1,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:44:23Z,sdgp,host,5747274,8603076,840807417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1452358105,1,1.1,1213,1470146276,,2004841613,1.39,1.17,1.25,3.78,1471
,,1,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:44:29Z,sdgp,host,11445216,14354174,1550503344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.18,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2929276127,2,1.1,18953,2899959599,,3687498620,1.36,1.17,1.25,3.78,66
,,1,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:44:34Z,sdgp,host,6967777,9454689,993589816,0,0,1.98,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1851893006,8,1.1,868,1857227792,,2363343610,1.33,1.17,1.24,3.79,3713
,,1,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:44:40Z,sdgp,host,31062156,60334414,2563222643,1.06,33.66,2,0,0,0,0,53,0,8.08,3.96,4.9,3,0.99,11.11,7.92,2,0,0,0,0,0,0,2.02,2.97,0,0,1,0,0,6.06,11,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02,1.01,0,0,0,9.9,11,4.04,41.58,4,9,10,6,23.71,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37.37,2,1.03,5.15,6.93,4.04,0,0,0,0,8556614531,53,0.6,5827,8517155018,,6392983487,1.43,1.18,1.27,3.79,8456
,,1,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:44:45Z,sdgp,host,28661502,66277232,1924308570,0,9.09,0,0.99,0.99,0.99,1,70.71,0.99,0,0,0,0,0,0,0,16,1,0,0.99,0,0,0,1.02,1.01,0,0,1.01,0,1,6,1,11,0,0,37.37,0,0,0,0,0,0,0,0,0,7.07,0,0,0,0,0,38.24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.24,0,0.99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31.68,12.12,12.24,5.1,3.96,10.1,2.02,10,17.65,1,0,0.99,0,0,29,0,44.55,0,26,0,0,0,0,0,0,0,73.27,20.2,0,10,9.09,3.92,3.92,0,0.99,1.98,0,0,0,10300384202,74,4.6,7229,10284468908,,4805591980,1.8,1.21,1.35,6.2,10683
,,1,2023-04-28T07:20:56.618124023Z,2023-04-28T09:00:56.618124023Z,2023-04-28T08:44:51Z,sdgp,host,38718484,100302605,2812847980,10.64,13,0,0,0,0,0.99,98,1.01,0,1,26,0,0,3.09,86,18.18,62,0,0,0,0,0,1,66.34,25,0,1,0,1,7,1.98,11,0,0,0,9.8,0,0,0,1.01,0,0,0,100,0,0,0,0,0,0,6,0,0,12.24,0,0,0,0,0,0,0,4.95,33,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,24,11.11,26,0,0,17.89,12.75,63.27,20.2,10.68,8.91,85,87,14.29,82,40.4,49,0,1.02,3,0,0,0,28,31.68,0,32,5,0,0,0,100,2.02,0,3.96,0,3,2.02,1,1.98,79,0,0,0,24828806452,203,10.7,41611,24712487878,,6869035882,2.78,1.28,1.56,9.97,10783
