#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:29:45Z,sdgp,bmc,45.5,42,42,39.5,2836,2858,2858,2862,40.5,35,34.5,5544,30,122,235.25,4648,24,122,235.25
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:30:09Z,sdgp,bmc,46,42.5,42,39.5,2884,2859,2869,2861,40.5,35,34.5,5520,30,120,235,4648,24,119,234.75
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:30:59Z,sdgp,bmc,46,42.5,42,39.5,2888,2860,2857,2860,40.5,35,34.5,5520,30,120,234.75,4616,24,120,235
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:31:25Z,sdgp,bmc,46,42.5,42,39.5,2835,2863,2856,2875,40.5,35,34.5,5728,30,120,235,4648,24,119,235
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:31:48Z,sdgp,bmc,46,42.5,42,39.5,2837,2861,2869,2858,40.5,35,34.5,5608,30,119,235,4648,24,119,235.25
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:32:12Z,sdgp,bmc,46,42.5,42,40,2887,2859,2869,2857,40.5,35,34.5,5640,30,119,235.25,4648,24,120,235.25
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:32:35Z,sdgp,bmc,46,42.5,42,40,2835,2864,2872,2860,40.5,35,34.5,5664,30,120,235,4648,24,120,235.5
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:32:59Z,sdgp,bmc,46,42.5,42,39.5,2835,2862,2857,2874,40.5,35,34.5,5760,30,119,235.25,4616,24,119,235
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:33:26Z,sdgp,bmc,46,42.5,42,39.5,2838,2869,2861,2860,40.5,35,34.5,5544,30,120,235,4616,24,119,235
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:34:15Z,sdgp,bmc,46,42.5,42,39.5,2885,2861,2860,2874,40.5,35,34.5,5664,30,120,235.75,4616,24,120,235.5
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:34:38Z,sdgp,bmc,46,42.5,42,39.5,2883,2860,2858,2859,40.5,35,34.5,5696,30,120,235.5,4616,24,119,235.25
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:35:02Z,sdgp,bmc,46,42.5,42,39.5,2888,2859,2858,2861,40.5,35,34.5,5608,30,120,235.25,4616,24,119,235.25
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:35:25Z,sdgp,bmc,46,42.5,42,39.5,2838,2860,2859,2859,40.5,35,34.5,5608,30,122,235.5,4616,24,122,235.5
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:35:49Z,sdgp,bmc,46,42.5,42.5,39.5,2836,2861,2873,2873,40.5,35,34.5,5608,30,122,235.5,4616,24,122,235.5
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:36:13Z,sdgp,bmc,46,42.5,42.5,39.5,2839,2860,2874,2859,40.5,35,35,5576,30,123,234.75,4616,24,123,235.25
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:36:36Z,sdgp,bmc,46,42.5,42.5,39.5,2840,2863,2858,2863,40.5,35,34.5,5544,30,124,234.25,4648,24,124,234.5
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:36:59Z,sdgp,bmc,46,42.5,42.5,39.5,2839,2861,2860,2871,40.5,35,35,5576,30,123,234.75,4648,24,124,234.5
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:37:23Z,sdgp,bmc,46,42.5,42.5,40,2835,2870,2875,2861,40.5,35,35,5696,30,123,234.75,4648,24,123,234.75
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:37:47Z,sdgp,bmc,46,42.5,42.5,40,2836,2863,2860,2873,40.5,35,34.5,5544,30,123,235,4616,24,123,235
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:38:10Z,sdgp,bmc,46,42.5,42.5,40,2838,2870,2857,2859,40.5,35,35,5520,30,124,234.75,4616,24,123,235
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:38:34Z,sdgp,bmc,46,42.5,42.5,40,2887,2860,2857,2860,40.5,35,35,5696,30,123,234.75,4616,24,124,235
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:38:57Z,sdgp,bmc,46,42.5,42.5,40,2887,2868,2858,2860,40.5,35,35,5696,30,123,234.5,4648,24,124,234.5
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:39:21Z,sdgp,bmc,46,42.5,42.5,40,2839,2864,2856,2859,40.5,35,35,5728,30,123,234.75,4648,24,124,234.75
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:40:04Z,sdgp,bmc,46,42.5,42.5,40,2835,2859,2856,2873,40.5,35,35,5760,30,123,234.75,4616,24,123,235
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:40:36Z,sdgp,bmc,46,42.5,42.5,40.5,2855,2862,2858,2874,40.5,35,35,5760,30,123,235.25,4616,24,123,235
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:41:00Z,sdgp,bmc,46,42.5,42.5,40,2835,2870,2858,2857,40.5,35,35,5728,30,123,234.75,4616,24,123,234.75
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:41:24Z,sdgp,bmc,46.5,42.5,42.5,40,2837,2872,2858,2873,40.5,35,35,5760,30,123,234.75,4648,24,124,235
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:41:47Z,sdgp,bmc,46.5,42.5,42.5,40,2883,2870,2857,2860,40.5,35,35,5816,30,123,235,4648,24,123,235
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:42:11Z,sdgp,bmc,46.5,42.5,42.5,40,2835,2861,2858,2860,40.5,35,34.5,5784,30,122,234.75,4616,24,122,235
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:42:37Z,sdgp,bmc,46.5,42.5,42.5,40,2838,2858,2857,2860,40.5,35,35,5664,30,122,234.5,4616,24,122,235
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:43:27Z,sdgp,bmc,46.5,42.5,42.5,40,2886,2858,2862,2858,40.5,35,35,5784,30,122,234.5,4616,24,121,234.75
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:43:51Z,sdgp,bmc,46.5,42.5,42.5,40,2839,2861,2860,2859,40.5,35,35,5760,30,122,234.5,4648,24,122,234.75
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:44:14Z,sdgp,bmc,46.5,42.5,42.5,40,2838,2869,2858,2859,40.5,35,35,5640,30,121,234.5,4648,24,122,234.75
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:44:38Z,sdgp,bmc,46.5,42.5,42.5,40,2838,2869,2859,2873,40.5,35,35,5784,30,122,234.75,4648,24,121,234.75
,,0,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:45:02Z,sdgp,bmc,46.5,42.5,42.5,40,2836,2874,2861,2871,40.5,35,35,5640,30,122,234.5,4648,24,121,234.75

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,string,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,branch_misses,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_cycles,cpu_migrations,cpu_usage,ctx_switches,cycles,event,instructions,load_1,load_15,load_5,mem_usage,page_faults
,,1,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:29:24Z,sdgp,host,10576450,13902214,1023720502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,0.99,0,0.99,91,0,0,0,0,2061631505,0,0.3,1681,2045224443,,2471229674,1.09,2.73,1.31,4.5,20
,,1,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:29:30Z,sdgp,host,12700487,12646098,1798756621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.24,11.11,10.89,0,0,0,0,31.58,18,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,2720123059,0,1,985,2723719342,,4296792742,1.15,2.72,1.31,4.5,5
,,1,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:29:35Z,sdgp,host,3350669,3199809,647849162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.99,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010775626,2,1,1047,1004098659,,1531290051,1.14,2.71,1.31,4.5,755
,,1,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:29:41Z,sdgp,host,9210490,6677220,1662820453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0.99,0,0,3.92,0,0,26.73,0,0,0,0,0,0,0,0,1,0.99,0.99,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2187856489,0,1.3,334,2179034548,,3984492068,1.13,2.7,1.3,4.5,6
,,1,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:29:46Z,sdgp,host,4219915,7152811,552295776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,2.97,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060694808,0,1.1,844,1064894443,,1315535850,1.12,2.69,1.3,4.5,1232
,,1,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:29:52Z,sdgp,host,12278863,10859272,1778793295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,1,0,1.98,0,30.61,0,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2661130549,0,1.1,564,2641578328,,4271198468,1.11,2.68,1.29,4.52,14
,,1,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:29:57Z,sdgp,host,10844468,19263297,890884629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2358455129,6,1.2,1628,2361636725,,2123717593,1.1,2.67,1.29,4.5,3708
,,1,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:30:03Z,sdgp,host,16689628,20587948,2034606522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.39,4,6.86,4,2.02,5.05,0,35.64,7.92,1,1.01,0,0,1,0,0,0,0.99,1,0,0,0,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4123900905,30,1,3396,4115368543,,4916804568,1.09,2.66,1.28,4.5,8365
,,1,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:30:08Z,sdgp,host,8603340,19286481,883607975,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2465197791,14,1.5,19699,2472263670,,2365759900,1.08,2.65,1.28,4.51,863
,,1,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:30:14Z,sdgp,host,9372543,5471315,1669660488,0,0,0,0,0,0,0,22.22,0,34,0,1,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.95,0,0.99,1,3,0,3.96,2,1,0,0,0,0,0,0,0,1,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2191141896,0,1.1,312,2184858787,,4000370627,1.08,2.64,1.27,4.52,6
,,1,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:30:19Z,sdgp,host,535845,1727081,82208024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3.96,3.96,0,3,2.97,2,0,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,13.54,30.39,0,1,0,2,0,0,7.07,1.98,5,0,0,0,6.93,1,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211863946,0,1.2,593,211865933,,199476914,1.07,2.63,1.27,4.52,21
,,1,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:30:25Z,sdgp,host,3106044,6007810,123749135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,2.94,6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536010863,0,0.4,382,520037029,,304762965,1.05,2.62,1.26,4.51,61
,,1,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:30:30Z,sdgp,host,6116067,11563077,254382610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010587016,0,1.1,966,1006876853,,616622948,0.97,2.6,1.24,4.49,15
,,1,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:30:36Z,sdgp,host,3087926,6001920,144705485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584853968,0,0.4,1247,592074568,,352479309,0.89,2.59,1.22,4.49,5
,,1,2023-04-28T10:05:16.301009685Z,2023-04-28T11:45:16.301009685Z,2023-04-28T11:30:41Z,sdgp,host,130457,579556,12648810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81148702,0,0.7,302,76374427,,28807682,0.82,2.57,1.2,4.49,4
