#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T11:58:10Z,sdgp,bmc,46,42.5,42.5,40,2839,2868,2858,2860,40.5,35,35,5696,30,122,232.5,4616,24,122,233
,,0,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T11:58:37Z,sdgp,bmc,46,42.5,42.5,40,2834,2858,2870,2858,40.5,35,35,5784,30,122,232,4616,24,123,232.25
,,0,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T11:59:01Z,sdgp,bmc,46,42.5,42.5,40,2885,2869,2872,2873,40.5,35,35,5784,30,123,233,4648,24,124,233
,,0,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T11:59:25Z,sdgp,bmc,46,42.5,42.5,40,2883,2860,2858,2858,40.5,35,35,5784,30,122,233.25,4616,24,123,233.25
,,0,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T11:59:48Z,sdgp,bmc,46,42.5,42.5,40,2886,2861,2856,2859,40.5,35,35,5760,30,123,232.5,4648,24,123,232.5
,,0,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T12:00:11Z,sdgp,bmc,46,42.5,42.5,40,2884,2859,2856,2860,40.5,35,35,5816,30,123,232.25,4648,24,123,232.75
,,0,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T12:00:43Z,sdgp,bmc,46.5,42.5,42.5,40,2835,2858,2856,2859,40.5,35,35,5784,30,123,233,4616,24,123,232.75
,,0,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T12:01:27Z,sdgp,bmc,46.5,42.5,42.5,40,2883,2860,2861,2857,40.5,35,35,5784,30,123,233,4616,24,124,232.75
,,0,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T12:01:50Z,sdgp,bmc,46.5,42.5,42.5,40,2839,2859,2873,2859,40.5,35,35,5664,30,123,232.75,4616,24,123,233
,,0,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T12:02:14Z,sdgp,bmc,46.5,42.5,43,40,2836,2859,2857,2859,40.5,35,35,5784,30,123,232.75,4648,24,123,233
,,0,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T12:02:38Z,sdgp,bmc,46.5,42.5,42.5,40,2835,2861,2860,2859,40.5,35,35,5696,30,123,232.75,4616,24,123,232.75
,,0,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T12:03:01Z,sdgp,bmc,46.5,42.5,43,40.5,2838,2863,2858,2857,41,35,35,5728,30,123,232.75,4648,24,123,232.75
,,0,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T12:03:25Z,sdgp,bmc,46.5,42.5,43,40,2835,2864,2857,2860,40.5,35.5,35,5728,30,122,232.75,4616,24,122,233.25
,,0,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T12:03:49Z,sdgp,bmc,46.5,42.5,43,40,2835,2863,2856,2857,41,35.5,35,5760,30,123,232.5,4616,24,124,232.5
,,0,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T12:04:13Z,sdgp,bmc,46.5,42.5,43,40,2838,2863,2857,2873,41,35.5,35,5784,30,123,233.25,4648,24,124,233.25
,,0,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T12:04:36Z,sdgp,bmc,46.5,42.5,43,40,2836,2859,2860,2874,41,35,35,5760,30,122,233,4616,24,122,232.75
,,0,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T12:05:00Z,sdgp,bmc,46.5,42.5,43,40,2840,2859,2872,2874,41,35,35,5760,30,122,232.75,4616,24,123,233
,,0,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T12:05:24Z,sdgp,bmc,46.5,42.5,42.5,40,2835,2859,2858,2872,41,35.5,35,5784,30,122,232.75,4616,24,123,233.25
,,0,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T12:05:47Z,sdgp,bmc,46.5,42.5,42.5,40,2840,2859,2858,2859,41,35.5,35,5760,30,122,232.75,4616,24,122,232.75
,,0,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T12:06:11Z,sdgp,bmc,46.5,42.5,42.5,40,2835,2858,2858,2860,41,35.5,35,5784,30,122,233,4616,24,122,233.25
,,0,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T12:06:39Z,sdgp,bmc,46.5,42.5,42.5,40,2835,2860,2857,2874,41,35,35,5760,30,122,233.25,4616,24,122,233
,,0,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T12:07:27Z,sdgp,bmc,46.5,42.5,42.5,40.5,2836,2873,2870,2858,40.5,35,35,5816,30,121,233,4648,24,122,233.25
,,0,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T12:07:51Z,sdgp,bmc,46.5,43,42.5,40,2840,2869,2858,2857,41,35.5,35,5784,30,120,233,4616,24,121,233.25
,,0,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T12:08:14Z,sdgp,bmc,46.5,43,42.5,40,2835,2861,2855,2873,41,35.5,35,5784,30,119,233,4616,24,119,233.25
,,0,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T12:08:38Z,sdgp,bmc,46.5,42.5,42.5,40,2836,2863,2861,2856,41,35,35,5608,30,118,233.25,4648,24,126,233
,,0,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T12:09:02Z,sdgp,bmc,46.5,42.5,42.5,40.5,2835,2859,2859,2861,41,35.5,35,5544,30,118,233.25,4616,24,126,233.25

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,string,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,branch_misses,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_cycles,cpu_migrations,cpu_usage,ctx_switches,cycles,event,instructions,load_1,load_15,load_5,mem_usage,page_faults
,,1,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T11:57:26Z,sdgp,host,10891411,8679330,1602374805,0,0,0,0,0,0,0,0,0.99,0,1.98,45.54,0.99,0,12.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2388948454,0,0.7,389,2358768010,,3875563840,1.2,1.25,0.84,4.51,5
,,1,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T11:57:32Z,sdgp,host,18363755,36127728,756105730,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,1,1,0,2,2.97,0,2.97,8.16,4.04,0,0,4,0,0,0,0,0,0,0,0,0.99,0,0,3.92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4396081939,28,1.5,3773,4390203358,,1868809793,1.27,1.26,0.86,4.53,5514
,,1,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T11:57:38Z,sdgp,host,6601672,12802694,316902270,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1795425633,4,0.5,1342,1823819453,,772363811,1.07,1.24,0.84,4.71,179
,,1,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T11:57:43Z,sdgp,host,6579445,15434943,378029575,4.17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.86,0,0,0,0,99.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0.99,0,60.61,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2359426894,5,1.9,17101,2388005746,,918024961,1.14,1.25,0.85,5.57,131
,,1,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T11:57:49Z,sdgp,host,4535072,12103977,330125192,75.51,95,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,18.89,0,0,0,0,0,0,0,0,0,0,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.08,0,0,1,0,0,0,1.01,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1472655166,7,2.4,17629,1436940040,,1078410558,1.21,1.25,0.87,5.56,65
,,1,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T11:57:54Z,sdgp,host,2746471,6668993,157812089,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02,0.99,0,0,0,0.99,0,0,1.98,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,1909257410,17,0.8,7260,1926184658,,372085936,1.28,1.26,0.89,5.58,4
,,1,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T11:58:00Z,sdgp,host,1557613,5338425,95774944,7.37,99,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.63,2.02,25.74,0,0,0,2,2,0,2,0,0,0,0,0,8.91,1,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4859230627,9,2,2924,4840778321,,232787438,1.5,1.27,0.94,5.58,53
,,1,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T11:58:05Z,sdgp,host,6827135,12586993,258643007,46.94,54.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3618410821,0,1,3575,3598327540,,622451807,1.54,1.28,0.96,5.58,4
,,1,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T11:58:11Z,sdgp,host,6883909,12761911,276434114,47.96,54.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3632465410,0,1.1,3598,3624803027,,658958522,1.49,1.27,0.96,5.59,4
,,1,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T11:58:16Z,sdgp,host,1574260,3551853,90980131,47.42,53.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2839847663,1,1.3,3578,2838579645,,204687740,1.53,1.28,0.98,5.57,9
,,1,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T11:58:22Z,sdgp,host,1351641,3036366,75546357,53.76,48.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2891562044,98,1.6,3996,2883052552,,161932090,1.49,1.28,0.98,5.57,61
,,1,2023-04-28T10:29:50.215536974Z,2023-04-28T12:09:50.215536974Z,2023-04-28T11:58:27Z,sdgp,host,1192373,2357741,46680361,47.96,51.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,2,0.99,1.01,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,2717499821,10,1.3,3589,2709774422,,100023199,1.45,1.27,0.98,5.57,5
