#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-04-28T10:41:10.683629869Z,2023-04-28T12:21:10.683629869Z,2023-04-28T12:12:26Z,sdgp,bmc,46.5,42.5,42.5,40.5,2838,2863,2859,2872,40.5,35,35,5784,30,122,232.75,4616,24,122,233
,,0,2023-04-28T10:41:10.683629869Z,2023-04-28T12:21:10.683629869Z,2023-04-28T12:12:50Z,sdgp,bmc,46.5,42.5,42.5,40,2886,2864,2872,2860,40.5,35,35,5816,30,123,233.25,4616,24,123,233.5
,,0,2023-04-28T10:41:10.683629869Z,2023-04-28T12:21:10.683629869Z,2023-04-28T12:13:14Z,sdgp,bmc,46.5,42.5,42.5,40.5,2838,2862,2860,2855,40.5,35,35,5784,30,122,233,4616,24,122,233.25
,,0,2023-04-28T10:41:10.683629869Z,2023-04-28T12:21:10.683629869Z,2023-04-28T12:13:37Z,sdgp,bmc,46.5,42.5,42.5,40,2835,2860,2858,2859,40.5,35.5,35,5784,30,121,233,4616,24,122,233
,,0,2023-04-28T10:41:10.683629869Z,2023-04-28T12:21:10.683629869Z,2023-04-28T12:14:01Z,sdgp,bmc,46.5,42.5,42.5,40,2836,2860,2861,2857,40.5,35,35,5784,30,122,233,4616,24,123,232.75
,,0,2023-04-28T10:41:10.683629869Z,2023-04-28T12:21:10.683629869Z,2023-04-28T12:14:25Z,sdgp,bmc,46.5,42.5,42.5,40,2839,2860,2869,2860,41,35.5,35,5760,30,123,233,4616,24,123,232.75
,,0,2023-04-28T10:41:10.683629869Z,2023-04-28T12:21:10.683629869Z,2023-04-28T12:14:48Z,sdgp,bmc,46,42.5,42.5,40,2837,2860,2860,2861,40.5,35,35,5728,30,123,233.25,4616,24,124,233.25
,,0,2023-04-28T10:41:10.683629869Z,2023-04-28T12:21:10.683629869Z,2023-04-28T12:15:12Z,sdgp,bmc,46.5,42.5,42.5,40,2834,2860,2857,2859,40.5,35.5,35,5784,30,123,233,4616,24,124,233
,,0,2023-04-28T10:41:10.683629869Z,2023-04-28T12:21:10.683629869Z,2023-04-28T12:15:35Z,sdgp,bmc,46.5,42.5,42.5,40.5,2838,2859,2857,2859,40.5,35,35,5784,30,123,233,4616,24,124,232.75
,,0,2023-04-28T10:41:10.683629869Z,2023-04-28T12:21:10.683629869Z,2023-04-28T12:16:29Z,sdgp,bmc,46,42.5,42.5,40,2839,2860,2870,2872,40.5,35,35,5816,30,123,233,4616,24,123,233.25
,,0,2023-04-28T10:41:10.683629869Z,2023-04-28T12:21:10.683629869Z,2023-04-28T12:16:53Z,sdgp,bmc,46.5,42.5,42.5,40,2837,2866,2854,2856,40.5,35,35,5784,30,123,233,4648,24,123,233
,,0,2023-04-28T10:41:10.683629869Z,2023-04-28T12:21:10.683629869Z,2023-04-28T12:17:17Z,sdgp,bmc,46.5,42.5,42.5,40,2835,2861,2859,2872,40.5,35,35,5784,30,123,233,4616,24,124,233.25
,,0,2023-04-28T10:41:10.683629869Z,2023-04-28T12:21:10.683629869Z,2023-04-28T12:17:40Z,sdgp,bmc,46.5,42.5,42.5,40.5,2835,2859,2857,2859,41,35,35,5784,30,123,233,4616,24,123,233
,,0,2023-04-28T10:41:10.683629869Z,2023-04-28T12:21:10.683629869Z,2023-04-28T12:18:04Z,sdgp,bmc,46.5,42.5,42.5,40,2835,2860,2871,2859,40.5,35,35,5664,30,123,233.25,4616,24,124,233.5
,,0,2023-04-28T10:41:10.683629869Z,2023-04-28T12:21:10.683629869Z,2023-04-28T12:18:27Z,sdgp,bmc,46.5,42.5,42.5,40,2835,2859,2858,2873,40.5,35,35,5760,30,123,233.25,4648,24,124,233.25
,,0,2023-04-28T10:41:10.683629869Z,2023-04-28T12:21:10.683629869Z,2023-04-28T12:19:14Z,sdgp,bmc,46.5,42.5,42.5,40,2840,2860,2857,2860,40.5,35,35,5816,30,123,233.25,4648,24,123,233.25
,,0,2023-04-28T10:41:10.683629869Z,2023-04-28T12:21:10.683629869Z,2023-04-28T12:19:43Z,sdgp,bmc,46.5,42.5,43,40,2836,2863,2856,2858,40.5,35,35,5696,30,123,233.25,4616,24,123,233.5
,,0,2023-04-28T10:41:10.683629869Z,2023-04-28T12:21:10.683629869Z,2023-04-28T12:20:07Z,sdgp,bmc,46.5,42.5,42.5,40,2887,2873,2857,2859,40.5,35,35,5816,30,122,233.25,4648,24,123,233.25
,,0,2023-04-28T10:41:10.683629869Z,2023-04-28T12:21:10.683629869Z,2023-04-28T12:20:31Z,sdgp,bmc,46.5,42.5,43,40,2840,2864,2860,2859,40.5,35,35,5728,30,122,233.75,4616,24,122,233.75
,,0,2023-04-28T10:41:10.683629869Z,2023-04-28T12:21:10.683629869Z,2023-04-28T12:20:54Z,sdgp,bmc,46.5,42.5,42.5,40,2883,2858,2856,2860,41,35,35,5760,30,122,233.75,4616,24,122,233.75

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,string,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,branch_misses,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_cycles,cpu_migrations,cpu_usage,ctx_switches,cycles,event,instructions,load_1,load_15,load_5,mem_usage,page_faults
,,1,2023-04-28T10:41:10.683629869Z,2023-04-28T12:21:10.683629869Z,2023-04-28T12:12:10Z,sdgp,host,319833,970267,20358747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124862267,0,1.6,662,120187986,,46799342,0,1.09,0.55,4.47,4
,,1,2023-04-28T10:41:10.683629869Z,2023-04-28T12:21:10.683629869Z,2023-04-28T12:12:16Z,sdgp,host,403193,1330464,31505867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,247079284,0,0.3,784,242616500,,73956344,0,1.09,0.54,4.47,923
,,1,2023-04-28T10:41:10.683629869Z,2023-04-28T12:21:10.683629869Z,2023-04-28T12:12:21Z,sdgp,host,961499,1884663,35228832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.99,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,237303928,2,0.3,530,220349194,,101850793,0,1.08,0.53,4.47,7
,,1,2023-04-28T10:41:10.683629869Z,2023-04-28T12:21:10.683629869Z,2023-04-28T12:12:27Z,sdgp,host,5933187,11251942,248923240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976542397,0,0.4,887,972853804,,602940517,0,1.07,0.52,4.48,4
,,1,2023-04-28T10:41:10.683629869Z,2023-04-28T12:21:10.683629869Z,2023-04-28T12:12:32Z,sdgp,host,17396157,39311930,818000206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.91,6.06,13.13,7,1.02,8,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8335925484,150,0.4,3827,8356209327,,1737626524,0,1.07,0.51,4.48,58883
,,1,2023-04-28T10:41:10.683629869Z,2023-04-28T12:21:10.683629869Z,2023-04-28T12:12:38Z,sdgp,host,14638077,31039548,821276062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,17.48,21.43,14.42,11.46,14.14,0,19.79,18,0,0,0.99,2,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5325343483,56,1.4,20157,5325101415,,2233656608,0.32,1.08,0.57,4.54,20285
,,1,2023-04-28T10:41:10.683629869Z,2023-04-28T12:21:10.683629869Z,2023-04-28T12:12:44Z,sdgp,host,10560831,21148733,525113467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.31,23.81,19.39,16.16,10.31,14.14,0,15,19.23,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3928262302,75,2.2,2041,3935811630,,1561584047,0.46,1.09,0.59,4.53,20918
,,1,2023-04-28T10:41:10.683629869Z,2023-04-28T12:21:10.683629869Z,2023-04-28T12:12:49Z,sdgp,host,10617009,21965311,587749115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.61,19.79,18.75,13.13,18.37,16.35,0,27.37,21.78,2.97,0,1,3,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4300783634,56,1.4,1915,4283163736,,1998746958,0.66,1.1,0.63,4.53,22624
,,1,2023-04-28T10:41:10.683629869Z,2023-04-28T12:21:10.683629869Z,2023-04-28T12:12:55Z,sdgp,host,4243215,7145891,654369775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.92,0.99,0,0,0,1.01,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,92.93,0,1,0,0,0,0,0,0,0,0,0,0,1146707374,3,1.1,686,1149942708,,1555224322,0.93,1.12,0.69,4.56,901
,,1,2023-04-28T10:41:10.683629869Z,2023-04-28T12:21:10.683629869Z,2023-04-28T12:13:00Z,sdgp,host,14607582,15421965,1799864795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.99,13.27,43.56,1,0,0,0,0,2984837920,0,1.6,1110,2956784489,,4338773234,0.94,1.11,0.7,4.55,11
