#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-04-28T10:51:44.857508883Z,2023-04-28T12:31:44.857508883Z,2023-04-28T12:23:41Z,sdgp,bmc,46.5,42.5,42.5,40.5,2835,2862,2856,2859,41,35,35,5760,30,120,233.25,4616,24,125,233.5
,,0,2023-04-28T10:51:44.857508883Z,2023-04-28T12:31:44.857508883Z,2023-04-28T12:24:05Z,sdgp,bmc,46.5,42.5,42.5,40.5,2887,2863,2871,2859,41,35,35,5784,30,122,233.5,4616,24,122,233.75
,,0,2023-04-28T10:51:44.857508883Z,2023-04-28T12:31:44.857508883Z,2023-04-28T12:24:28Z,sdgp,bmc,46,42.5,42.5,40,2839,2872,2860,2861,41,35,35,5664,30,123,233.5,4648,24,123,233.25
,,0,2023-04-28T10:51:44.857508883Z,2023-04-28T12:31:44.857508883Z,2023-04-28T12:25:11Z,sdgp,bmc,46.5,42.5,42.5,40,2839,2870,2857,2873,41,35,35,5880,30,123,233.75,4648,24,123,233.75
,,0,2023-04-28T10:51:44.857508883Z,2023-04-28T12:31:44.857508883Z,2023-04-28T12:25:44Z,sdgp,bmc,46.5,42.5,42.5,40,2839,2872,2859,2859,41,35.5,35,5728,30,123,233.75,4616,24,123,233.75
,,0,2023-04-28T10:51:44.857508883Z,2023-04-28T12:31:44.857508883Z,2023-04-28T12:26:08Z,sdgp,bmc,46.5,42.5,42.5,40,2838,2864,2855,2860,41,35,35,5664,30,124,233.5,4616,24,124,233.5
,,0,2023-04-28T10:51:44.857508883Z,2023-04-28T12:31:44.857508883Z,2023-04-28T12:26:31Z,sdgp,bmc,46.5,42.5,42.5,40,2840,2863,2860,2873,41,35,35,5760,30,123,233.25,4648,24,124,233.5
,,0,2023-04-28T10:51:44.857508883Z,2023-04-28T12:31:44.857508883Z,2023-04-28T12:26:55Z,sdgp,bmc,46.5,42.5,42.5,40,2839,2860,2861,2860,41,35.5,35,5784,30,123,233,4648,24,123,232.75
,,0,2023-04-28T10:51:44.857508883Z,2023-04-28T12:31:44.857508883Z,2023-04-28T12:27:19Z,sdgp,bmc,46.5,42.5,42.5,40,2883,2859,2860,2859,41,35.5,35,5576,30,123,233.25,4616,24,123,233
,,0,2023-04-28T10:51:44.857508883Z,2023-04-28T12:31:44.857508883Z,2023-04-28T12:27:43Z,sdgp,bmc,46.5,42.5,42.5,40,2839,2870,2858,2859,41,35,35,5696,30,123,233,4616,24,123,233
,,0,2023-04-28T10:51:44.857508883Z,2023-04-28T12:31:44.857508883Z,2023-04-28T12:28:34Z,sdgp,bmc,46.5,42.5,43,40.5,2837,2869,2862,2861,41,35.5,35,5576,30,123,233.5,4648,24,124,233.5
,,0,2023-04-28T10:51:44.857508883Z,2023-04-28T12:31:44.857508883Z,2023-04-28T12:28:58Z,sdgp,bmc,46.5,42.5,43,40.5,2836,2864,2864,2859,41,35,35,5696,30,123,233.25,4616,24,123,233
,,0,2023-04-28T10:51:44.857508883Z,2023-04-28T12:31:44.857508883Z,2023-04-28T12:29:22Z,sdgp,bmc,46.5,42.5,43,40.5,2840,2859,2859,2858,41,35.5,35,5728,30,123,233,4616,24,124,233.25
,,0,2023-04-28T10:51:44.857508883Z,2023-04-28T12:31:44.857508883Z,2023-04-28T12:29:46Z,sdgp,bmc,46.5,42.5,43,40,2839,2861,2859,2862,41,35.5,35,5784,30,123,233.25,4648,24,123,233.25
,,0,2023-04-28T10:51:44.857508883Z,2023-04-28T12:31:44.857508883Z,2023-04-28T12:30:09Z,sdgp,bmc,46.5,42.5,43,40,2839,2868,2860,2860,41,35,35,5816,30,123,233,4616,24,123,233.5
,,0,2023-04-28T10:51:44.857508883Z,2023-04-28T12:31:44.857508883Z,2023-04-28T12:30:33Z,sdgp,bmc,46.5,42.5,43,40,2887,2860,2858,2860,41,35.5,35,5816,30,123,233,4616,24,123,233.25
,,0,2023-04-28T10:51:44.857508883Z,2023-04-28T12:31:44.857508883Z,2023-04-28T12:30:56Z,sdgp,bmc,46.5,42.5,42.5,40,2836,2859,2859,2860,41,35.5,35,5696,30,122,233,4616,24,123,233.25
,,0,2023-04-28T10:51:44.857508883Z,2023-04-28T12:31:44.857508883Z,2023-04-28T12:31:20Z,sdgp,bmc,46.5,42.5,43,40,2835,2864,2859,2874,41,35,35,5728,30,122,233,4648,24,122,233.25

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,string,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,branch_misses,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_cycles,cpu_migrations,cpu_usage,ctx_switches,cycles,event,instructions,load_1,load_15,load_5,mem_usage,page_faults
,,1,2023-04-28T10:51:44.857508883Z,2023-04-28T12:31:44.857508883Z,2023-04-28T12:23:25Z,sdgp,host,5244088,7635566,824995280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,95,0,2.02,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,1372628912,5,1.1,740,1376493341,,1970831316,1.11,1.59,1.66,4.6,1014
,,1,2023-04-28T10:51:44.857508883Z,2023-04-28T12:31:44.857508883Z,2023-04-28T12:23:31Z,sdgp,host,8069417,5860524,1284428082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,1,0,67,3.03,2.97,0,0.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1851981852,0,0.3,465,1825298707,,3102912262,1.09,1.59,1.64,4.59,5
,,1,2023-04-28T10:51:44.857508883Z,2023-04-28T12:31:44.857508883Z,2023-04-28T12:23:37Z,sdgp,host,13738107,20270350,1559245385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2943074305,10,1.1,1306,2947873360,,3733762820,1.08,1.58,1.63,4.59,952
,,1,2023-04-28T10:51:44.857508883Z,2023-04-28T12:31:44.857508883Z,2023-04-28T12:23:42Z,sdgp,host,11323187,13275526,1351596719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,1,1,0,10,69,0,0,0,0,0,0,0,0,1,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2314109143,2,0.3,1039,2307763397,,3245436758,1.08,1.58,1.61,4.58,6
,,1,2023-04-28T10:51:44.857508883Z,2023-04-28T12:31:44.857508883Z,2023-04-28T12:23:48Z,sdgp,host,9538757,12502770,1539701027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,68,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2490474973,2,1.1,903,2513721930,,3684112289,1.07,1.58,1.6,4.59,1481
,,1,2023-04-28T10:51:44.857508883Z,2023-04-28T12:31:44.857508883Z,2023-04-28T12:23:53Z,sdgp,host,3647229,3572781,695126055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123710092,3,1.3,849,1117489790,,1641513787,0.98,1.57,1.58,4.58,1196
,,1,2023-04-28T10:51:44.857508883Z,2023-04-28T12:31:44.857508883Z,2023-04-28T12:23:59Z,sdgp,host,13409654,16105380,1972884772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02,0,0,0,0,1,0,0,0,0.99,0,1,1,30.3,0,24,1,1,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,3423959558,8,1.1,17898,3397743851,,5046539293,0.99,1.56,1.57,4.59,67
,,1,2023-04-28T10:51:44.857508883Z,2023-04-28T12:31:44.857508883Z,2023-04-28T12:24:04Z,sdgp,host,4945226,7758582,720922864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1258962838,3,1.1,985,1251483582,,1723448915,0.99,1.56,1.56,4.58,1001
,,1,2023-04-28T10:51:44.857508883Z,2023-04-28T12:31:44.857508883Z,2023-04-28T12:24:10Z,sdgp,host,15121104,16128896,1902643875,25,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.11,29.7,2.04,3,0,0.99,0,1.98,5.05,0,37.62,0,0,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3102788964,0,1.4,1013,3094770211,,4565753864,0.91,1.55,1.53,4.77,23
,,1,2023-04-28T10:51:44.857508883Z,2023-04-28T12:31:44.857508883Z,2023-04-28T12:24:15Z,sdgp,host,12663794,28602875,925670548,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3399348308,9,1.9,17563,3407055679,,2171824928,0.92,1.55,1.52,5.18,3829
