#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:34:48Z,sdgp,bmc,46,42.5,42.5,40,3010,3031,3030,3025,41,35,35,5728,29,122,233.5,4616,24,122,233.5
,,0,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:35:12Z,sdgp,bmc,46,42.5,42.5,40,3009,3027,3028,3023,40.5,35,35,5544,29,122,233,4616,24,124,233.25
,,0,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:35:35Z,sdgp,bmc,46,42.5,42.5,39.5,3061,3040,3040,3025,40.5,35,34.5,5520,29,122,232.75,4616,24,122,233.25
,,0,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:35:58Z,sdgp,bmc,46,42.5,42.5,39.5,3009,3026,3044,3022,40.5,35,34.5,5520,29,123,233,4560,24,124,233
,,0,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:36:22Z,sdgp,bmc,46,42.5,42.5,39.5,3063,3027,3028,3025,40.5,35,34.5,5544,29,123,233,4584,24,123,233
,,0,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:36:48Z,sdgp,bmc,46,42.5,42.5,39.5,3011,3029,3027,3024,40.5,35,34.5,5520,29,123,233.25,4584,24,124,233
,,0,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:37:38Z,sdgp,bmc,46,42,42.5,39.5,3010,3031,3025,3039,40.5,35,34.5,5520,29,123,233.25,4528,24,123,233.5
,,0,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:38:02Z,sdgp,bmc,46,42,42.5,39.5,3009,3040,3027,3024,40.5,35,34.5,5544,29,123,233.75,4528,24,124,233.75
,,0,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:38:25Z,sdgp,bmc,46,42,42.5,39.5,3010,3032,3028,3022,40.5,35,34.5,5544,29,123,233.25,4496,24,124,233.5
,,0,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:38:49Z,sdgp,bmc,46,42,42.5,39.5,3011,3030,3027,3024,40.5,35,34.5,5544,29,122,233.75,4528,24,124,233.75
,,0,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:39:13Z,sdgp,bmc,46,42,42.5,39.5,3009,3029,3027,3037,40.5,35,34.5,5544,29,123,233.5,4528,24,123,233.5
,,0,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:39:36Z,sdgp,bmc,46,42,42.5,39.5,3012,3029,3038,3023,40.5,35,34.5,5520,29,123,233.25,4528,24,123,233.5
,,0,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:40:00Z,sdgp,bmc,46,42,42.5,39.5,3010,3029,3041,3038,40.5,35,34.5,5544,29,124,233.5,4528,24,124,233.75
,,0,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:40:24Z,sdgp,bmc,46,42,42,39.5,3061,3031,3040,3036,40.5,35,34.5,5520,29,123,233.5,4528,24,123,233.75
,,0,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:40:47Z,sdgp,bmc,46,42,42,39.5,3010,3031,3027,3037,40.5,35,34.5,5520,29,123,234,4528,24,123,234
,,0,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:41:11Z,sdgp,bmc,46,42,42,39.5,3009,3030,3041,3036,40.5,34.5,34.5,5520,29,122,233.75,4560,24,123,233.5
,,0,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:41:34Z,sdgp,bmc,46,42,42,39.5,3060,3030,3028,3024,40.5,35,34.5,5544,29,122,233.75,4528,24,122,233.5
,,0,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:41:58Z,sdgp,bmc,46,42,42,39.5,3009,3041,3028,3023,40.5,34.5,34.5,5520,29,122,233.75,4560,24,122,233.5
,,0,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:42:22Z,sdgp,bmc,46,42,42,39.5,3011,3027,3030,3024,40.5,35,34.5,5544,29,122,233.5,4528,24,122,233.5
,,0,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:42:45Z,sdgp,bmc,45.5,42,42,39.5,3010,3029,3025,3024,40.5,34.5,34.5,5544,29,122,233.25,4528,24,122,233.25
,,0,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:43:40Z,sdgp,bmc,45.5,42,42,39.5,3009,3030,3028,3024,40.5,35,34.5,5520,29,122,233.5,4528,24,122,233.75
,,0,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:44:04Z,sdgp,bmc,45.5,42,42,39.5,3011,3027,3027,3023,40.5,34.5,34.5,5520,29,122,233.75,4528,24,122,233.5
,,0,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:44:28Z,sdgp,bmc,45.5,42,42,39.5,3010,3026,3028,3035,40.5,34.5,34.5,5520,29,122,233.25,4528,24,122,233.5
,,0,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:44:51Z,sdgp,bmc,45.5,42,42,40,3061,3029,3028,3024,40.5,34.5,34.5,5544,29,122,233.75,4560,24,122,233.75
,,0,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:45:15Z,sdgp,bmc,45.5,42,42,39.5,3010,3026,3042,3021,40.5,34.5,34.5,5520,29,121,233.5,4528,24,122,233.5
,,0,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:45:39Z,sdgp,bmc,45.5,42,42,39.5,3009,3037,3025,3022,40.5,34.5,34.5,5520,29,122,233.75,4528,24,121,233.5
,,0,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:46:31Z,sdgp,bmc,45.5,42,42,39.5,3010,3027,3042,3025,40.5,34.5,34.5,5520,29,122,233.75,4528,24,122,233.75

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,string,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,branch_misses,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_cycles,cpu_migrations,cpu_usage,ctx_switches,cycles,event,instructions,load_1,load_15,load_5,mem_usage,page_faults
,,1,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:34:26Z,sdgp,host,161497,769643,20109790,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0.99,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,125516497,0,0.3,308,119673765,,51948933,0.92,1.66,1.59,4.6,4
,,1,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:34:31Z,sdgp,host,10470878,34801868,556824682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3162421618,32,0.4,3866,3156246030,bootstrap,1340153064,1,1.67,1.6,4.6,6566
,,1,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:34:37Z,sdgp,host,5956237,11317318,252326333,25.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,1,0,0,0,0,0,0,1.01,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,1015464570,0,0.3,977,1011442162,,608574388,0.92,1.66,1.57,4.79,107
,,1,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:34:42Z,sdgp,host,13031815,31429328,796253904,98,41.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3798839957,8,1.2,36812,3768842597,,2039218086,1.09,1.66,1.58,5.24,188
,,1,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:34:48Z,sdgp,host,14251800,34912488,846028769,3.03,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.93,0,85.42,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,7.22,0,0,0,0,0,0,0,0,0,0,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,1,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7899557085,25,1.9,46117,7886970014,,2009571194,1.01,1.65,1.56,5.45,251
,,1,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:34:53Z,sdgp,host,319700,1083248,22510533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,40.2,0,2.97,0,0,0,0,0,0,0,0,0,0,19.19,0,0,0,0,0,0,0,0,0,0,40.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02,0,0,1.01,0,0.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184487105,0,1.2,763,178260701,,52206987,1.09,1.65,1.56,5.46,5
,,1,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:34:59Z,sdgp,host,1649205,4349073,146708421,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38,1.98,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19.39,0,0,0,0,3,22.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4794652821,6,2,1403,4785079537,,722321178,1.16,1.66,1.57,5.46,46
,,1,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:35:05Z,sdgp,host,5901890,11093766,229344466,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.24,0,0,0,0,0,0,0,0,0,0,59.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3652052238,1,2,3539,3629116852,,545829522,1.23,1.66,1.58,5.46,6
,,1,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:35:10Z,sdgp,host,6998312,12950362,280380309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.02,0,0,0,0,0,0,0,0.99,0,0,54.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,13.86,0,0,4,0,0,0,0,0,0,0,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3813623866,0,2.1,4667,3804259108,,666194993,1.21,1.65,1.57,5.46,4
,,1,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:35:16Z,sdgp,host,2341435,4558933,105943014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.47,0,0,0,0,0,0,0,0,0,0,56.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3151697081,0,1.1,4224,3152073312,,249162995,1.27,1.66,1.58,5.47,6
,,1,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:35:21Z,sdgp,host,1175705,2384040,44500620,44.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.88,0,0,0,0,0,0,0,0,0,0,11.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2933701228,0,1.7,3479,2926748171,,96901857,1.25,1.65,1.57,5.47,6
,,1,2023-04-28T11:06:40.273769381Z,2023-04-28T12:46:40.273769381Z,2023-04-28T12:35:27Z,sdgp,host,1142595,2329572,45447816,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.73,0,0,0,0,0,0,0,0,0,0,45.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,1,1.98,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2795953713,0,1.1,3355,2787905477,,98391568,1.23,1.65,1.56,5.46,4
