#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-04-28T11:20:05.773381547Z,2023-04-28T13:00:05.773381547Z,2023-04-28T12:52:46Z,sdgp,bmc,46,42.5,42,39.5,2835,2861,2862,2859,40.5,35,34.5,5520,30,121,233.5,4616,24,123,233.75
,,0,2023-04-28T11:20:05.773381547Z,2023-04-28T13:00:05.773381547Z,2023-04-28T12:53:09Z,sdgp,bmc,46,42.5,42,39.5,2836,2858,2862,2858,40.5,35,34.5,5664,30,122,233.75,4616,24,122,234.25
,,0,2023-04-28T11:20:05.773381547Z,2023-04-28T13:00:05.773381547Z,2023-04-28T12:53:33Z,sdgp,bmc,46,42.5,42,39.5,2840,2869,2861,2860,40.5,35,34.5,5544,30,122,233.5,4648,24,123,233.5
,,0,2023-04-28T11:20:05.773381547Z,2023-04-28T13:00:05.773381547Z,2023-04-28T12:53:57Z,sdgp,bmc,46,42.5,42,40,2838,2857,2859,2873,40.5,35,34.5,5520,30,122,233.5,4616,24,122,233.5
,,0,2023-04-28T11:20:05.773381547Z,2023-04-28T13:00:05.773381547Z,2023-04-28T12:54:21Z,sdgp,bmc,46,42.5,42.5,39.5,2836,2862,2857,2859,40.5,35,34.5,5760,30,123,233.25,4616,24,123,233.5
,,0,2023-04-28T11:20:05.773381547Z,2023-04-28T13:00:05.773381547Z,2023-04-28T12:54:44Z,sdgp,bmc,46,42.5,42.5,39.5,2840,2860,2872,2858,40.5,35,34.5,5520,30,123,233.5,4616,24,123,233.75
,,0,2023-04-28T11:20:05.773381547Z,2023-04-28T13:00:05.773381547Z,2023-04-28T12:55:37Z,sdgp,bmc,46,42.5,42.5,39.5,2839,2859,2871,2874,40.5,35,35,5696,30,122,233.75,4648,24,123,233.75
,,0,2023-04-28T11:20:05.773381547Z,2023-04-28T13:00:05.773381547Z,2023-04-28T12:56:01Z,sdgp,bmc,46,42.5,42.5,40,2835,2868,2871,2859,40.5,35,35,5520,30,123,234,4616,24,123,234
,,0,2023-04-28T11:20:05.773381547Z,2023-04-28T13:00:05.773381547Z,2023-04-28T12:56:24Z,sdgp,bmc,46,42.5,42.5,40,2883,2869,2856,2874,40.5,35,35,5640,30,123,233.75,4616,24,123,234
,,0,2023-04-28T11:20:05.773381547Z,2023-04-28T13:00:05.773381547Z,2023-04-28T12:56:48Z,sdgp,bmc,46,42.5,42.5,39.5,2883,2869,2863,2860,40.5,35,35,5728,30,123,234.25,4616,24,123,234.25
,,0,2023-04-28T11:20:05.773381547Z,2023-04-28T13:00:05.773381547Z,2023-04-28T12:57:12Z,sdgp,bmc,46,42.5,42.5,40,2840,2859,2860,2874,40.5,35,35,5728,30,122,233.75,4616,24,123,234
,,0,2023-04-28T11:20:05.773381547Z,2023-04-28T13:00:05.773381547Z,2023-04-28T12:57:35Z,sdgp,bmc,46,42.5,42.5,40,2836,2872,2863,2859,40.5,35,35,5760,30,123,234.25,4648,24,123,233.75
,,0,2023-04-28T11:20:05.773381547Z,2023-04-28T13:00:05.773381547Z,2023-04-28T12:57:59Z,sdgp,bmc,46,42.5,42.5,40,2836,2870,2863,2860,40.5,35,35,5696,30,123,234,4616,24,123,234
,,0,2023-04-28T11:20:05.773381547Z,2023-04-28T13:00:05.773381547Z,2023-04-28T12:58:22Z,sdgp,bmc,46,42.5,42.5,40,2839,2859,2859,2860,40.5,35,35,5640,30,123,234,4616,24,123,234.25
,,0,2023-04-28T11:20:05.773381547Z,2023-04-28T13:00:05.773381547Z,2023-04-28T12:58:46Z,sdgp,bmc,46,42.5,42.5,40,2838,2859,2872,2860,40.5,35,35,5728,30,123,234,4616,24,124,234.25
,,0,2023-04-28T11:20:05.773381547Z,2023-04-28T13:00:05.773381547Z,2023-04-28T12:59:10Z,sdgp,bmc,46,42.5,42.5,40,2839,2860,2870,2860,40.5,35,35,5760,30,123,234.25,4616,24,124,234.25
,,0,2023-04-28T11:20:05.773381547Z,2023-04-28T13:00:05.773381547Z,2023-04-28T12:59:33Z,sdgp,bmc,46.5,42.5,42.5,40,2839,2863,2862,2861,40.5,35,35,5816,30,123,234,4616,24,123,234
,,0,2023-04-28T11:20:05.773381547Z,2023-04-28T13:00:05.773381547Z,2023-04-28T12:59:57Z,sdgp,bmc,46,42.5,42.5,40,2836,2863,2855,2860,40.5,35,35,5696,30,122,234,4616,24,123,234.25

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,string,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,branch_misses,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_cycles,cpu_migrations,cpu_usage,ctx_switches,cycles,event,instructions,load_1,load_15,load_5,mem_usage,page_faults
,,1,2023-04-28T11:20:05.773381547Z,2023-04-28T13:00:05.773381547Z,2023-04-28T12:52:16Z,sdgp,host,242659,929367,22908353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143937296,1,1.2,657,139769613,,57731712,1.02,1.28,1.04,4.6,32
,,1,2023-04-28T11:20:05.773381547Z,2023-04-28T13:00:05.773381547Z,2023-04-28T12:52:22Z,sdgp,host,142514,659619,14015844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.98,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77736237,0,0.4,326,73574668,,31695067,0.94,1.28,1.02,4.6,4
,,1,2023-04-28T11:20:05.773381547Z,2023-04-28T13:00:05.773381547Z,2023-04-28T12:52:27Z,sdgp,host,134260,642789,13655360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,37.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77643622,0,0.3,292,71933795,,30898907,0.86,1.27,1,4.6,4
,,1,2023-04-28T11:20:05.773381547Z,2023-04-28T13:00:05.773381547Z,2023-04-28T12:52:33Z,sdgp,host,5596082,10769784,219991939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940501831,0,0.3,361,926330241,,531068354,0.8,1.26,0.99,4.6,4
,,1,2023-04-28T11:20:05.773381547Z,2023-04-28T13:00:05.773381547Z,2023-04-28T12:52:38Z,sdgp,host,10920973,24403472,628292257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2572508025,6,0.4,19604,2574985041,,1708683207,0.81,1.26,0.99,4.59,211
,,1,2023-04-28T11:20:05.773381547Z,2023-04-28T13:00:05.773381547Z,2023-04-28T12:52:44Z,sdgp,host,1567083,3532191,85642460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321067502,0,0.4,809,324460286,,198609913,0.75,1.25,0.97,4.59,4
,,1,2023-04-28T11:20:05.773381547Z,2023-04-28T13:00:05.773381547Z,2023-04-28T12:52:49Z,sdgp,host,211148,869466,17511777,76.77,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,44.55,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,1.01,0,0,19.42,0,25,0,0,7,1.98,0,0,0.99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,123632605,2,2,548,112915639,,40216096,0.69,1.25,0.95,4.75,7
,,1,2023-04-28T11:20:05.773381547Z,2023-04-28T13:00:05.773381547Z,2023-04-28T12:52:55Z,sdgp,host,706619,2952029,52069854,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.01,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829253490,0,1.1,3223,829695154,,117581494,0.96,1.26,1,5.2,123
,,1,2023-04-28T11:20:05.773381547Z,2023-04-28T13:00:05.773381547Z,2023-04-28T12:53:00Z,sdgp,host,252188,887483,18913072,71,50.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.01,0,0,0,0,0,0,0,55.88,0,0,0,0,0,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.65,8,1,0,0,0,0,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207389010,0,1.9,874,192708671,,43274765,1.12,1.27,1.04,5.36,4
,,1,2023-04-28T11:20:05.773381547Z,2023-04-28T13:00:05.773381547Z,2023-04-28T12:53:06Z,sdgp,host,6696518,17330758,349023480,1.05,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,2.97,0,0,0,0,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,0,97.98,0,0,0,0,0,0,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4089752505,10,1.8,9997,4060756130,,838057688,1.11,1.27,1.04,5.37,5
