#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:03:04Z,sdgp,bmc,46.5,42.5,42.5,40,2836,2860,2870,2869,40.5,35,35,5696,30,121,234,4648,24,122,234
,,0,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:03:28Z,sdgp,bmc,46,42.5,42.5,40,2838,2869,2859,2859,40.5,35,35,5608,30,122,234,4616,24,122,234.25
,,0,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:03:51Z,sdgp,bmc,46.5,42.5,42.5,39.5,2837,2864,2861,2861,41,35,35,5640,30,123,234.25,4616,24,124,234.5
,,0,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:04:44Z,sdgp,bmc,46.5,42.5,42.5,40,2888,2858,2858,2859,40.5,35,35,5664,30,122,233.75,4648,24,123,234
,,0,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:05:08Z,sdgp,bmc,46.5,42.5,42.5,40.5,2835,2869,2859,2873,40.5,35.5,35,5544,30,123,233.75,4616,24,124,234
,,0,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:05:32Z,sdgp,bmc,46.5,42.5,42.5,40,2884,2865,2859,2860,40.5,35.5,35,5784,30,123,234,4648,24,123,234
,,0,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:05:55Z,sdgp,bmc,46.5,42.5,42.5,40,2886,2860,2863,2874,41,35,35,5664,30,123,233.75,4616,24,123,234.25
,,0,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:06:19Z,sdgp,bmc,46.5,42.5,42.5,40,2840,2859,2870,2859,40.5,35.5,35,5728,30,123,233.5,4616,24,123,233.75
,,0,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:06:43Z,sdgp,bmc,46.5,42.5,42.5,40,2884,2861,2860,2859,41,35.5,35,5728,30,123,233.75,4616,24,123,233.75
,,0,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:07:06Z,sdgp,bmc,46.5,42.5,42.5,40,2838,2859,2874,2859,41,35.5,35,5728,30,124,233.5,4616,24,125,233.75
,,0,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:07:30Z,sdgp,bmc,46.5,42.5,42.5,40,2884,2869,2858,2857,41,35.5,35,5696,30,123,233.75,4616,24,124,233.5
,,0,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:07:54Z,sdgp,bmc,46.5,42.5,43,40.5,2839,2864,2857,2858,41,35.5,35,5784,30,123,233.75,4616,24,123,234.25
,,0,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:08:17Z,sdgp,bmc,46.5,42.5,43,40,2836,2860,2873,2862,40.5,35.5,35,5784,30,123,234,4648,24,124,234
,,0,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:08:40Z,sdgp,bmc,46.5,42.5,43,40,2838,2860,2858,2861,41,35.5,35,5784,30,124,233.25,4616,24,124,233.75
,,0,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:09:04Z,sdgp,bmc,46.5,42.5,43,40.5,2838,2861,2859,2860,41,35.5,35,5664,30,124,233.25,4648,24,124,234
,,0,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:09:27Z,sdgp,bmc,46.5,42.5,43,40,3009,3030,3027,3023,41,35,35,5784,30,123,234.25,4648,24,124,234.25
,,0,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:09:52Z,sdgp,bmc,46.5,42.5,43,40,3010,3041,3027,3023,41,35,35,5640,29,123,233.75,4616,24,124,234
,,0,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:10:27Z,sdgp,bmc,46.5,42.5,42.5,40,3011,3027,3045,3038,41,35,35,5544,29,122,234,4648,24,124,234.25
,,0,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:11:07Z,sdgp,bmc,46,42.5,42.5,40,3009,3030,3027,3020,41,35,35,5520,29,122,233.75,4616,24,122,234
,,0,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:11:31Z,sdgp,bmc,46,42.5,42.5,39.5,3009,3032,3028,3024,40.5,35,35,5544,29,122,234.25,4616,24,122,234.5
,,0,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:11:54Z,sdgp,bmc,46,42.5,42.5,39.5,3010,3040,3027,3024,40.5,35,34.5,5640,29,121,233.5,4584,24,121,234
,,0,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:12:18Z,sdgp,bmc,46,42.5,42.5,39.5,3011,3027,3031,3024,40.5,35,34.5,5520,29,122,234,4560,24,122,234.25
,,0,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:12:41Z,sdgp,bmc,46,42,42,39.5,3011,3031,3040,3023,40.5,35,34.5,5520,29,121,233.75,4560,24,121,233.75
,,0,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:13:05Z,sdgp,bmc,46,42,42,40,3010,3031,3029,3036,40.5,35,34.5,5520,29,121,233.75,4560,24,121,234
,,0,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:13:58Z,sdgp,bmc,46,42,42,39.5,3060,3037,3028,3023,40.5,35,34.5,5544,29,120,234.25,4584,24,121,234.25
,,0,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:14:22Z,sdgp,bmc,46,42,42,39.5,3010,3040,3026,3024,40.5,35,34.5,5544,29,118,234,4560,24,125,234.25
,,0,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:14:45Z,sdgp,bmc,46,42,42,39.5,3009,3030,3028,3021,40.5,35,34.5,5544,29,118,233.75,4528,24,125,233.75

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,string,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,branch_misses,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_cycles,cpu_migrations,cpu_usage,ctx_switches,cycles,event,instructions,load_1,load_15,load_5,mem_usage,page_faults
,,1,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:02:42Z,sdgp,host,6427164,12214015,269356027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144798567,1,0.3,1774,1140931880,,651833371,0.94,1.61,1.68,4.6,19
,,1,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:02:48Z,sdgp,host,7547898,15140695,373978391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1512459532,5,0.4,5876,1518887920,,899529058,0.86,1.6,1.66,4.61,16
,,1,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:02:53Z,sdgp,host,1657740,3228990,82373375,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322777326,0,0.4,577,325651889,,194768330,0.79,1.59,1.63,4.61,4
,,1,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:02:59Z,sdgp,host,3591215,10469424,291255618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156601851,3,0.9,14543,1137039927,,1046607871,0.81,1.59,1.62,4.61,46
,,1,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:03:04Z,sdgp,host,139983,649756,13738197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,37.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80616595,0,0.4,296,75812836,,30988871,0.75,1.58,1.59,4.61,4
,,1,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:03:10Z,sdgp,host,136935,632107,13363520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,1,0,0,0,0,0,0,0,36.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1,31.07,3.12,9.09,0,2.02,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78258848,0,0.4,299,72552251,bootstrap,30103045,0.77,1.58,1.58,4.61,6
,,1,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:03:15Z,sdgp,host,4759695,9876776,202689934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1779350244,0,0.3,1834,1764779365,,525930080,0.79,1.57,1.57,4.82,196
,,1,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:03:21Z,sdgp,host,14293403,38445388,921095185,2.02,98.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.99,0,6.06,0,0,0,0,0,0,0,0,0,0,8.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5084325415,8,1.4,41583,5115325351,,2255554573,0.75,1.56,1.53,5.24,417
,,1,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:03:26Z,sdgp,host,10225262,25190017,632289900,0,31.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.12,0,0,0,0,0,0,0,0,0,0,0,0,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7061697635,6,1.2,27953,7080393848,,1475444132,0.77,1.56,1.53,5.38,82
,,1,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:03:32Z,sdgp,host,353360,1152093,23705961,0,40.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241643711,1,2,1049,237457430,,55540490,0.78,1.55,1.52,5.39,4
,,1,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:03:37Z,sdgp,host,714476,2866388,52946551,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3955238329,0,1.8,1298,3952557432,,125566710,0.88,1.56,1.52,5.39,4
,,1,2023-04-28T11:35:02.080140908Z,2023-04-28T13:15:02.080140908Z,2023-04-28T13:03:43Z,sdgp,host,1155825,2193289,45830521,71.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38,1.98,63.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,1.01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2757652716,1,1.9,3384,2749616109,,97334381,1.05,1.56,1.55,5.78,7
