#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-04-28T11:47:08.555077442Z,2023-04-28T13:27:08.555077442Z,2023-04-28T13:17:54Z,sdgp,bmc,45.5,42,42,39.5,3010,3027,3028,3024,40.5,34.5,34.5,5520,29,122,233.75,4528,24,122,234
,,0,2023-04-28T11:47:08.555077442Z,2023-04-28T13:27:08.555077442Z,2023-04-28T13:18:17Z,sdgp,bmc,45.5,42,42,40,3007,3027,3024,3024,40.5,34.5,34.5,5520,29,123,233.75,4528,24,123,234
,,0,2023-04-28T11:47:08.555077442Z,2023-04-28T13:27:08.555077442Z,2023-04-28T13:18:41Z,sdgp,bmc,45.5,42,42,39.5,3010,3026,3027,3023,40.5,34.5,34.5,5544,29,122,233.75,4528,24,123,233.75
,,0,2023-04-28T11:47:08.555077442Z,2023-04-28T13:27:08.555077442Z,2023-04-28T13:19:05Z,sdgp,bmc,45.5,42,42,39.5,3062,3027,3026,3024,40.5,34.5,34.5,5544,29,123,233.5,4528,24,123,233.75
,,0,2023-04-28T11:47:08.555077442Z,2023-04-28T13:27:08.555077442Z,2023-04-28T13:19:58Z,sdgp,bmc,45.5,42,42,39.5,2887,2861,2871,2859,40.5,35,34.5,5520,29,123,233.75,4528,24,123,233.5
,,0,2023-04-28T11:47:08.555077442Z,2023-04-28T13:27:08.555077442Z,2023-04-28T13:20:21Z,sdgp,bmc,45.5,42,42,39.5,2838,2862,2860,2856,40.5,35,34.5,5520,29,123,234,4560,24,124,233.75
,,0,2023-04-28T11:47:08.555077442Z,2023-04-28T13:27:08.555077442Z,2023-04-28T13:20:44Z,sdgp,bmc,46,42,42,39.5,2838,2871,2858,2858,40.5,35,34.5,5544,29,123,233.75,4528,24,123,234
,,0,2023-04-28T11:47:08.555077442Z,2023-04-28T13:27:08.555077442Z,2023-04-28T13:21:08Z,sdgp,bmc,46,42,42,39.5,2889,2862,2862,2859,40.5,35,34.5,5544,29,123,233.5,4528,24,123,233.75
,,0,2023-04-28T11:47:08.555077442Z,2023-04-28T13:27:08.555077442Z,2023-04-28T13:21:32Z,sdgp,bmc,46,42,42,39.5,2836,2862,2857,2859,40.5,35,34.5,5544,29,123,233.75,4560,24,124,234.25
,,0,2023-04-28T11:47:08.555077442Z,2023-04-28T13:27:08.555077442Z,2023-04-28T13:21:56Z,sdgp,bmc,46,42.5,42.5,39.5,2839,2860,2857,2873,40.5,35,34.5,5544,29,123,234,4616,24,123,234.25
,,0,2023-04-28T11:47:08.555077442Z,2023-04-28T13:27:08.555077442Z,2023-04-28T13:22:25Z,sdgp,bmc,46,42,42.5,39.5,2838,2863,2871,2860,40.5,35,34.5,5544,29,122,234,4496,24,124,234
,,0,2023-04-28T11:47:08.555077442Z,2023-04-28T13:27:08.555077442Z,2023-04-28T13:23:12Z,sdgp,bmc,46,42.5,42.5,39.5,2837,2865,2857,2859,40.5,35,34.5,5544,30,123,234.25,4616,24,123,234.5
,,0,2023-04-28T11:47:08.555077442Z,2023-04-28T13:27:08.555077442Z,2023-04-28T13:23:35Z,sdgp,bmc,46,42.5,42.5,39.5,2838,2862,2859,2873,40.5,35,34.5,5608,30,123,234,4528,24,123,234
,,0,2023-04-28T11:47:08.555077442Z,2023-04-28T13:27:08.555077442Z,2023-04-28T13:23:58Z,sdgp,bmc,46,42.5,42.5,39.5,2839,2861,2857,2859,40.5,35,34.5,5488,29,123,234,4560,24,123,234
,,0,2023-04-28T11:47:08.555077442Z,2023-04-28T13:27:08.555077442Z,2023-04-28T13:24:22Z,sdgp,bmc,46,42.5,42.5,39.5,2838,2861,2858,2874,40.5,35,34.5,5640,29,122,234.5,4584,24,122,234.5
,,0,2023-04-28T11:47:08.555077442Z,2023-04-28T13:27:08.555077442Z,2023-04-28T13:24:46Z,sdgp,bmc,46,42.5,42.5,39.5,2838,2862,2860,2859,40.5,35,34.5,5784,30,122,234.25,4584,24,122,234.5
,,0,2023-04-28T11:47:08.555077442Z,2023-04-28T13:27:08.555077442Z,2023-04-28T13:25:10Z,sdgp,bmc,46,42.5,42.5,39.5,2836,2862,2858,2862,40.5,35,35,5608,29,122,233.75,4616,24,122,233.75
,,0,2023-04-28T11:47:08.555077442Z,2023-04-28T13:27:08.555077442Z,2023-04-28T13:25:33Z,sdgp,bmc,46,42.5,42.5,39.5,2840,2860,2859,2873,40.5,35,35,5520,30,122,234.25,4616,24,123,234.5
,,0,2023-04-28T11:47:08.555077442Z,2023-04-28T13:27:08.555077442Z,2023-04-28T13:25:56Z,sdgp,bmc,46,42.5,42.5,39.5,2887,2863,2857,2860,40.5,35,34.5,5576,30,122,234,4616,24,122,234.25
,,0,2023-04-28T11:47:08.555077442Z,2023-04-28T13:27:08.555077442Z,2023-04-28T13:26:20Z,sdgp,bmc,46,42.5,42.5,40,2838,2872,2860,2858,40.5,35,35,5608,30,122,233.75,4616,24,122,234

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,string,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,branch_misses,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_cycles,cpu_migrations,cpu_usage,ctx_switches,cycles,event,instructions,load_1,load_15,load_5,mem_usage,page_faults
,,1,2023-04-28T11:47:08.555077442Z,2023-04-28T13:27:08.555077442Z,2023-04-28T13:17:41Z,sdgp,host,7891079,4741832,1405849634,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,53.54,1,2.02,0,0,0,3,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.98,13,1890695413,2,1.1,437,1875469066,,3381355540,0.99,1.35,0.9,4.63,6
,,1,2023-04-28T11:47:08.555077442Z,2023-04-28T13:27:08.555077442Z,2023-04-28T13:17:47Z,sdgp,host,19421800,21214257,1404013000,1.03,2.02,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0.99,5,0,0,0,0,1,1.98,0,1.98,0,0,0,0,0,0,0,0,0,0.99,0,1,0,2.02,0.99,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3.06,3.06,78,13.86,4.12,22.22,2.02,4,2.02,16.16,1.01,0,0,0,0,0,0,0,0,0,0,0,3.96,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4375416479,21,2.3,2592,4358672065,,3528675802,0.99,1.35,0.91,4.65,1700
,,1,2023-04-28T11:47:08.555077442Z,2023-04-28T13:27:08.555077442Z,2023-04-28T13:17:53Z,sdgp,host,8173874,9221756,1382198535,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,70,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,2472188009,3,1.9,566,2557386913,,3306107630,1.14,1.35,0.94,5.25,1015
,,1,2023-04-28T11:47:08.555077442Z,2023-04-28T13:27:08.555077442Z,2023-04-28T13:17:58Z,sdgp,host,22482713,40463518,2137372417,73,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0.99,0,0,0,0,1,0,0,0,0,29,0,0,0,46.94,0,0,0,0,0,0,4.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45.45,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,1,0,1,66,0,0,0,0,0,0,6790152941,11,2.2,37672,6773048721,,5366193611,1.21,1.36,0.96,5.71,205
,,1,2023-04-28T11:47:08.555077442Z,2023-04-28T13:27:08.555077442Z,2023-04-28T13:18:04Z,sdgp,host,6801524,13351555,360179792,97.06,4.35,0,0,0,0,0,12.12,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,35.64,0,0,0,0,0,0,87.13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5.05,0,0,0,0,0,0,0,0,0,0,2.97,0,0,0,0,34,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.82,0,0,0,0,0,0,1536464944,6,2.4,1811,1520964333,,890238202,1.27,1.36,0.98,5.7,14
,,1,2023-04-28T11:47:08.555077442Z,2023-04-28T13:27:08.555077442Z,2023-04-28T13:18:09Z,sdgp,host,7381410,10861125,1059328235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.89,17.82,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2777051082,3,1.1,1718,2766083670,,2692555233,1.41,1.37,1.01,5.71,1269
,,1,2023-04-28T11:47:08.555077442Z,2023-04-28T13:27:08.555077442Z,2023-04-28T13:18:15Z,sdgp,host,9878477,16773685,1719006802,1,97,0,0,0,0,0,0,0,0,0,1,19.19,0,0.99,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.01,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6389637418,3,3.1,3014,6352489599,,3977906441,1.62,1.39,1.06,5.71,5
,,1,2023-04-28T11:47:08.555077442Z,2023-04-28T13:27:08.555077442Z,2023-04-28T13:18:20Z,sdgp,host,3870862,8177402,480700464,0,47.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,36.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02,5.94,1,0,6.06,1.01,0,0.99,10,0,0,0,0,4.04,58,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3736869794,4,2.8,4077,3736534182,,1131395705,1.73,1.39,1.09,5.7,1007
,,1,2023-04-28T11:47:08.555077442Z,2023-04-28T13:27:08.555077442Z,2023-04-28T13:18:26Z,sdgp,host,9561403,12114357,1558527338,0,62.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,0,38.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0.99,0,2,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4967421500,2,2,3672,4968905103,,3718655779,1.75,1.4,1.11,5.71,1237
,,1,2023-04-28T11:47:08.555077442Z,2023-04-28T13:27:08.555077442Z,2023-04-28T13:18:31Z,sdgp,host,12603651,14378369,1442811020,0,62.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10,0,0,0,64.36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5094508442,2,1.3,3545,5065084923,,3468571875,1.77,1.4,1.12,5.7,5
