#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-04-28T11:56:56.206353487Z,2023-04-28T13:36:56.206353487Z,2023-04-28T13:29:11Z,sdgp,bmc,46,42.5,42.5,39.5,2840,2859,2858,2860,40.5,35,35,5664,29,121,234,4616,24,122,234
,,0,2023-04-28T11:56:56.206353487Z,2023-04-28T13:36:56.206353487Z,2023-04-28T13:29:35Z,sdgp,bmc,46,42.5,42.5,39.5,2835,2864,2858,2859,40.5,35,35,5576,29,121,233.75,4616,24,122,234
,,0,2023-04-28T11:56:56.206353487Z,2023-04-28T13:36:56.206353487Z,2023-04-28T13:29:59Z,sdgp,bmc,46,42.5,42.5,40,2839,2871,2858,2862,40.5,35,34.5,5544,29,122,234,4616,24,123,234.25
,,0,2023-04-28T11:56:56.206353487Z,2023-04-28T13:36:56.206353487Z,2023-04-28T13:30:22Z,sdgp,bmc,46,42.5,42.5,39.5,2838,2859,2862,2873,40.5,35,35,5544,29,123,233.75,4616,24,123,233.75
,,0,2023-04-28T11:56:56.206353487Z,2023-04-28T13:36:56.206353487Z,2023-04-28T13:30:46Z,sdgp,bmc,46,42.5,42.5,39.5,2837,2873,2858,2873,40.5,35,34.5,5608,29,123,233.5,4584,24,123,233.75
,,0,2023-04-28T11:56:56.206353487Z,2023-04-28T13:36:56.206353487Z,2023-04-28T13:31:10Z,sdgp,bmc,46,42.5,42.5,39.5,2835,2859,2857,2860,40.5,35,35,5544,29,123,233.75,4584,24,123,233.75
,,0,2023-04-28T11:56:56.206353487Z,2023-04-28T13:36:56.206353487Z,2023-04-28T13:32:02Z,sdgp,bmc,46,42.5,42.5,39.5,2839,2863,2858,2860,40.5,35,35,5640,29,123,234,4560,24,123,234
,,0,2023-04-28T11:56:56.206353487Z,2023-04-28T13:36:56.206353487Z,2023-04-28T13:32:26Z,sdgp,bmc,46,42.5,42.5,39.5,2840,2864,2869,2871,40.5,35,35,5544,29,123,234,4616,24,123,233.75
,,0,2023-04-28T11:56:56.206353487Z,2023-04-28T13:36:56.206353487Z,2023-04-28T13:32:50Z,sdgp,bmc,46,42.5,42.5,39.5,2838,2861,2874,2859,40.5,35,35,5576,29,123,234,4584,24,124,234
,,0,2023-04-28T11:56:56.206353487Z,2023-04-28T13:36:56.206353487Z,2023-04-28T13:33:14Z,sdgp,bmc,46,42.5,42.5,39.5,2839,2859,2860,2873,40.5,35,34.5,5640,29,123,233.75,4528,24,124,234
,,0,2023-04-28T11:56:56.206353487Z,2023-04-28T13:36:56.206353487Z,2023-04-28T13:33:37Z,sdgp,bmc,46,42.5,42.5,39.5,2835,2864,2870,2861,40.5,35,34.5,5544,29,123,233.5,4584,24,123,233.75
,,0,2023-04-28T11:56:56.206353487Z,2023-04-28T13:36:56.206353487Z,2023-04-28T13:34:01Z,sdgp,bmc,46,42.5,42.5,39.5,2836,2864,2871,2860,40.5,35,35,5520,29,123,233.5,4616,24,123,233.5
,,0,2023-04-28T11:56:56.206353487Z,2023-04-28T13:36:56.206353487Z,2023-04-28T13:34:25Z,sdgp,bmc,46,42.5,42.5,39.5,2840,2863,2860,2860,40.5,35,34.5,5544,29,123,233.75,4560,24,123,233.75
,,0,2023-04-28T11:56:56.206353487Z,2023-04-28T13:36:56.206353487Z,2023-04-28T13:34:48Z,sdgp,bmc,46,42.5,42.5,39.5,2838,2863,2857,2862,40.5,35,34.5,5544,29,123,233.75,4584,24,124,233.75
,,0,2023-04-28T11:56:56.206353487Z,2023-04-28T13:36:56.206353487Z,2023-04-28T13:35:12Z,sdgp,bmc,46,42.5,42.5,39.5,2835,2868,2873,2857,40.5,35,34.5,5640,29,123,233.5,4560,24,123,233.75
,,0,2023-04-28T11:56:56.206353487Z,2023-04-28T13:36:56.206353487Z,2023-04-28T13:35:35Z,sdgp,bmc,46,42.5,42.5,39.5,2887,2859,2860,2861,40.5,35,34.5,5520,29,123,233.75,4528,24,124,233.75
,,0,2023-04-28T11:56:56.206353487Z,2023-04-28T13:36:56.206353487Z,2023-04-28T13:35:59Z,sdgp,bmc,46,42.5,42.5,39.5,2839,2861,2862,2860,40.5,35,34.5,5608,29,124,234,4584,24,124,233.75
,,0,2023-04-28T11:56:56.206353487Z,2023-04-28T13:36:56.206353487Z,2023-04-28T13:36:23Z,sdgp,bmc,46,42.5,42.5,39.5,2839,2863,2860,2860,40.5,35,34.5,5760,29,123,234,4584,24,123,234
,,0,2023-04-28T11:56:56.206353487Z,2023-04-28T13:36:56.206353487Z,2023-04-28T13:36:46Z,sdgp,bmc,46,42.5,42.5,39.5,2836,2863,2874,2860,40.5,35,34.5,5576,29,122,233.5,4584,24,122,234

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,string,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,branch_misses,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_cycles,cpu_migrations,cpu_usage,ctx_switches,cycles,event,instructions,load_1,load_15,load_5,mem_usage,page_faults
,,1,2023-04-28T11:56:56.206353487Z,2023-04-28T13:36:56.206353487Z,2023-04-28T13:29:08Z,sdgp,host,5375240,16177736,431916006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0.99,2,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,1744031621,9,0.3,19631,1738661280,,1442375114,0.67,1.55,1.38,4.62,56
,,1,2023-04-28T11:56:56.206353487Z,2023-04-28T13:36:56.206353487Z,2023-04-28T13:29:14Z,sdgp,host,736757,1458727,27589162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.97,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184357094,0,0.3,331,161137716,,72755639,0.57,1.54,1.34,4.62,6
,,1,2023-04-28T11:56:56.206353487Z,2023-04-28T13:36:56.206353487Z,2023-04-28T13:29:20Z,sdgp,host,5884884,11372156,248347290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.42,25.77,0,6.93,0,0,0,1,0,8,1,5,0,0,0,4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,974596192,0,0.4,797,970060736,,600669622,0.52,1.53,1.32,4.62,8
,,1,2023-04-28T11:56:56.206353487Z,2023-04-28T13:36:56.206353487Z,2023-04-28T13:29:25Z,sdgp,host,5365297,10459944,235564722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,885710078,0,0.3,536,892102514,,563937315,0.48,1.52,1.29,4.61,4
,,1,2023-04-28T11:56:56.206353487Z,2023-04-28T13:36:56.206353487Z,2023-04-28T13:29:31Z,sdgp,host,245769,916645,18711591,76.77,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.99,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129054378,5,2.2,582,123393191,,43036168,0.44,1.51,1.27,4.77,6
,,1,2023-04-28T11:56:56.206353487Z,2023-04-28T13:36:56.206353487Z,2023-04-28T13:29:36Z,sdgp,host,706280,2768352,53940765,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735096934,2,1.8,2805,753384678,,127722569,0.41,1.5,1.25,5.22,128
,,1,2023-04-28T11:56:56.206353487Z,2023-04-28T13:36:56.206353487Z,2023-04-28T13:29:42Z,sdgp,host,253248,911042,19666848,0,6.06,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,65.31,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.82,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,46.39,2.02,16.35,0,0.99,0,0,0,0,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201089077,0,1.4,653,196861379,,45458987,0.45,1.5,1.25,5.43,4
,,1,2023-04-28T11:56:56.206353487Z,2023-04-28T13:36:56.206353487Z,2023-04-28T13:29:47Z,sdgp,host,3549181,9699664,201171969,96,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,1.01,0,0,0,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1.01,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,3361909887,4,1.9,9795,3318468545,,475778100,0.42,1.49,1.22,5.44,50
,,1,2023-04-28T11:56:56.206353487Z,2023-04-28T13:36:56.206353487Z,2023-04-28T13:29:53Z,sdgp,host,9099125,20248571,440627292,95.96,6.19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,1,0,0,0,23.3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.88,0,0,0,0,0,0,0,0,0,0,7203720433,24,1.2,11610,7170849834,,1059324952,0.62,1.5,1.25,5.44,47
,,1,2023-04-28T11:56:56.206353487Z,2023-04-28T13:36:56.206353487Z,2023-04-28T13:29:58Z,sdgp,host,11654106,27598235,693797295,98.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0.99,0,0,7.84,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,98.99,0,0,0,0,0,0,0,0,0,0,5748562657,7,1.9,20305,5737629061,,2078353208,0.89,1.51,1.3,5.44,186
