#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:40:10Z,sdgp,bmc,46,42.5,42.5,39.5,2839,2857,2859,2859,40.5,35,34.5,5520,29,121,233.75,4584,24,122,234
,,0,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:41:03Z,sdgp,bmc,46,42.5,42.5,39.5,2839,2869,2870,2860,40.5,35,34.5,5488,29,122,233.25,4560,24,122,233.5
,,0,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:41:26Z,sdgp,bmc,46,42.5,42,39.5,2835,2859,2863,2862,40.5,35,34.5,5520,29,122,233.25,4528,24,121,233.25
,,0,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:41:50Z,sdgp,bmc,46,42.5,42,39.5,2839,2869,2857,2860,40.5,35,34.5,5544,29,122,233.25,4584,24,123,233.5
,,0,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:42:14Z,sdgp,bmc,46,42.5,42.5,39.5,2835,2863,2856,2861,40.5,35,34.5,5544,29,123,233.75,4560,24,123,234
,,0,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:42:37Z,sdgp,bmc,46,42.5,42.5,39.5,2840,2864,2857,2859,40.5,35,34.5,5544,29,122,233.75,4528,24,123,233.75
,,0,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:43:01Z,sdgp,bmc,46,42.5,42.5,39.5,2884,2861,2860,2859,40.5,35,34.5,5520,29,123,233.25,4528,24,125,233.5
,,0,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:43:24Z,sdgp,bmc,46,42.5,42.5,39.5,2838,2859,2871,2861,40.5,35,34.5,5520,29,123,233.25,4528,24,123,233.5
,,0,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:43:48Z,sdgp,bmc,46,42.5,42.5,39.5,2835,2870,2862,2872,40.5,35,34.5,5520,29,124,233.5,4560,24,124,233.5
,,0,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:44:12Z,sdgp,bmc,46,42.5,42.5,39.5,2839,2864,2861,2859,40.5,35,34.5,5544,29,123,233.5,4560,24,123,233.25
,,0,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:44:36Z,sdgp,bmc,46,42.5,42.5,39.5,2837,2857,2860,2860,40.5,35,34.5,5520,29,123,233.5,4560,24,124,233.75
,,0,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:44:59Z,sdgp,bmc,46,42.5,42.5,39.5,2887,2861,2862,2873,40.5,35,34.5,5544,29,123,233.5,4528,24,123,233.75
,,0,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:45:23Z,sdgp,bmc,46,42.5,42.5,39.5,2836,2862,2857,2860,40.5,35,34.5,5544,29,120,233.25,4560,24,128,233.25
,,0,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:45:46Z,sdgp,bmc,46,42.5,42.5,39.5,2886,2872,2859,2873,40.5,35,34.5,5520,29,120,233.25,4616,24,127,233.25
,,0,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:46:10Z,sdgp,bmc,46,42.5,42.5,39.5,2839,2860,2860,2861,40.5,35,35,5544,29,120,233.25,4648,24,126,233.25
,,0,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:46:58Z,sdgp,bmc,46,42.5,42.5,40,2835,2858,2859,2860,40.5,35,34.5,5664,29,120,233.25,4648,24,126,233.25
,,0,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:47:26Z,sdgp,bmc,46,42.5,42.5,39.5,2838,2863,2875,2860,40.5,35,35,5608,29,120,233.5,4616,24,126,233.5
,,0,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:47:49Z,sdgp,bmc,46,42.5,42.5,39.5,2887,2862,2856,2859,40.5,35,34.5,5640,29,120,233.5,4616,24,125,233.5
,,0,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:48:14Z,sdgp,bmc,46,42.5,42.5,39.5,2884,2862,2859,2859,40.5,35,35,5664,29,120,233.75,4616,24,125,234
,,0,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:48:37Z,sdgp,bmc,46,42.5,42.5,39.5,2838,2860,2856,2863,40.5,35,34.5,5640,29,119,233.5,4616,24,124,233.75
,,0,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:49:01Z,sdgp,bmc,46,42.5,42.5,39.5,2835,2860,2871,2861,40.5,35,34.5,5520,29,119,233.75,4648,24,125,234
,,0,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:49:34Z,sdgp,bmc,46,42.5,42.5,39.5,2836,2860,2871,2860,40.5,35,35,5576,29,118,233.5,4648,24,124,233.5

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,string,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,branch_misses,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_cycles,cpu_migrations,cpu_usage,ctx_switches,cycles,event,instructions,load_1,load_15,load_5,mem_usage,page_faults
,,1,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:39:54Z,sdgp,host,143165,627105,13602719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.99,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77358262,0,0.4,308,72406340,,30682919,0.72,1.58,1.4,4.63,6
,,1,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:39:59Z,sdgp,host,5426373,10007174,206054746,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.81,3,6,0,0,0,0,0,36,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,902367946,0,0.3,607,887890915,,505025435,0.75,1.58,1.4,4.63,6
,,1,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:40:05Z,sdgp,host,5855131,11149862,247080483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,975524691,1,0.3,563,971887828,,598087022,0.78,1.57,1.38,4.63,6
,,1,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:40:10Z,sdgp,host,683462,2217534,59531645,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197710323,0,0.6,505,200706526,,135237775,1.04,1.59,1.43,4.63,5
,,1,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:40:16Z,sdgp,host,1854972,4612067,123581795,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97,1,4.9,0,13,0.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1082139435,11,1.2,945,1019340760,,296141411,0.95,1.58,1.4,4.63,5428
,,1,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:40:21Z,sdgp,host,136383,639566,13647080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,36.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84124595,0,0.3,311,78456120,,30922489,1.04,1.58,1.41,4.63,4
,,1,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:40:27Z,sdgp,host,129795,612899,13392472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,2,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74924425,0,0.3,295,70993172,,30124475,1.03,1.58,1.41,4.62,4
,,1,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:40:33Z,sdgp,host,4555762,8856562,186204877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759438703,0,0.4,315,745312578,,453030529,1.03,1.57,1.4,4.62,7
,,1,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:40:38Z,sdgp,host,10835658,23722351,590495182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2323504227,8,0.3,19528,2333198180,,1391304123,0.95,1.57,1.38,4.63,58
,,1,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:40:44Z,sdgp,host,1373840,2769944,71302067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278940811,0,0.3,819,282388756,,168973982,1.03,1.57,1.39,4.63,4
,,1,2023-04-28T12:10:04.814273907Z,2023-04-28T13:50:04.814273907Z,2023-04-28T13:40:49Z,sdgp,host,228558,2585797,64591451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.75,10.53,0,5,0,0.99,7,2,5.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294799357,5,1,326,280277736,,486831500,0.95,1.56,1.36,4.63,9
