#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T13:56:17Z,sdgp,bmc,46,42.5,42.5,39.5,2884,2860,2874,2860,40.5,35,34.5,5664,30,118,234.5,4648,24,124,234.25
,,0,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T13:56:41Z,sdgp,bmc,46,42.5,42,40,2839,2863,2872,2859,40.5,35,34.5,5816,29,119,234.75,4648,24,124,234.75
,,0,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T13:57:04Z,sdgp,bmc,46,42.5,42,40,2835,2860,2861,2859,40.5,35,34.5,5640,29,119,234.75,4648,24,124,234.75
,,0,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T13:57:28Z,sdgp,bmc,46,42.5,42,40,2886,2863,2861,2861,40.5,35,34.5,5576,29,118,234.5,4648,24,124,234.75
,,0,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T13:57:51Z,sdgp,bmc,46,42.5,42.5,40,2839,2862,2862,2860,40.5,35,34.5,5664,29,120,234.5,4648,24,125,234.5
,,0,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T13:58:15Z,sdgp,bmc,46,42.5,42.5,39.5,2836,2872,2872,2877,40.5,35,34.5,5520,29,122,235,4584,24,123,234.75
,,0,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T13:58:55Z,sdgp,bmc,46,42.5,42.5,39.5,2884,2871,2863,2859,40.5,35,34.5,5520,29,123,234.5,4528,24,123,234.5
,,0,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T13:59:31Z,sdgp,bmc,46,42.5,42.5,39.5,2840,2860,2858,2858,40.5,35,34.5,5544,29,123,234.5,4560,24,123,234.5
,,0,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T13:59:55Z,sdgp,bmc,46,42.5,42.5,39.5,2837,2860,2857,2859,40.5,35,34.5,5544,29,123,234.75,4528,24,123,235
,,0,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T14:00:18Z,sdgp,bmc,46,42.5,42.5,39.5,2835,2861,2858,2861,40.5,35,34.5,5520,29,123,234.75,4560,24,124,234.5
,,0,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T14:00:41Z,sdgp,bmc,46,42.5,42.5,39.5,2838,2860,2860,2861,40.5,35,35,5520,29,123,234.75,4528,24,123,235
,,0,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T14:01:05Z,sdgp,bmc,46,42.5,42.5,39.5,2838,2860,2856,2859,40.5,35,34.5,5520,30,123,234.75,4528,24,124,234.75
,,0,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T14:01:29Z,sdgp,bmc,46,42.5,42.5,39.5,2840,2861,2861,2872,40.5,35,34.5,5608,30,123,234.5,4528,24,123,234.5
,,0,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T14:01:53Z,sdgp,bmc,46,42.5,42.5,39.5,2835,2859,2856,2860,40.5,35,34.5,5696,30,124,234.5,4528,24,124,234.75
,,0,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T14:02:16Z,sdgp,bmc,46,42.5,42.5,39.5,2838,2860,2859,2860,40.5,35,34.5,5640,30,123,234.75,4528,24,123,235
,,0,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T14:02:40Z,sdgp,bmc,46,42.5,42.5,39.5,2836,2870,2859,2874,40.5,35,34.5,5728,30,123,234.75,4560,24,123,234.75
,,0,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T14:03:04Z,sdgp,bmc,46,42.5,42.5,39.5,2887,2862,2858,2860,40.5,35,34.5,5608,30,123,234.5,4560,24,124,234.75
,,0,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T14:03:27Z,sdgp,bmc,46,42.5,42.5,40,2838,2865,2861,2856,40.5,35,34.5,5640,30,123,235,4560,24,124,235
,,0,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T14:03:51Z,sdgp,bmc,46,42.5,42.5,40,2835,2860,2871,2859,40.5,35,35,5608,30,120,234.75,4528,24,127,234.75
,,0,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T14:04:15Z,sdgp,bmc,46.5,42.5,42.5,40,2836,2861,2861,2859,40.5,35,35,5544,30,119,235,4560,24,127,235
,,0,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T14:04:53Z,sdgp,bmc,46,42.5,42.5,40,2841,2860,2865,2860,40.5,35,34.5,5760,30,122,234.5,4528,24,123,234.5
,,0,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T14:05:33Z,sdgp,bmc,46,42.5,42.5,40,2839,2870,2858,2873,40.5,35,34.5,5608,30,121,234.5,4528,24,122,234.5
,,0,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T14:05:57Z,sdgp,bmc,46,42.5,42.5,40,2835,2863,2858,2859,40.5,35,35,5728,30,122,234.75,4528,24,122,235
,,0,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T14:06:20Z,sdgp,bmc,46,42.5,42.5,40,2837,2860,2872,2860,40.5,35,34.5,5640,30,122,234.75,4528,24,122,235
,,0,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T14:06:44Z,sdgp,bmc,46,42.5,42.5,40,2884,2860,2875,2872,40.5,35,35,5728,29,121,235,4528,24,122,235
,,0,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T14:07:08Z,sdgp,bmc,46,42.5,42.5,40,2837,2863,2864,2859,40.5,35,35,5608,30,122,234.5,4560,24,122,234.75
,,0,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T14:07:32Z,sdgp,bmc,46,42.5,42.5,40,2835,2860,2862,2861,40.5,35,35,5784,30,122,235,4560,24,122,235

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,string,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,branch_misses,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_cycles,cpu_migrations,cpu_usage,ctx_switches,cycles,event,instructions,load_1,load_15,load_5,mem_usage,page_faults
,,1,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T13:55:45Z,sdgp,host,5292828,10167757,227292106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880652006,0,0.3,533,883075418,,554121995,1.71,1.68,1.63,4.71,7
,,1,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T13:55:50Z,sdgp,host,132559,625406,13488099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78392320,0,1.1,236,72321295,,30537561,1.65,1.68,1.62,4.71,4
,,1,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T13:55:56Z,sdgp,host,238330,657575,19635086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138154369,1,1.1,635,123408543,,45114218,1.52,1.67,1.59,4.71,6
,,1,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T13:56:01Z,sdgp,host,129919,604377,13304524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77021940,1,0.4,256,73124505,,30633256,1.4,1.66,1.56,4.71,6
,,1,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T13:56:07Z,sdgp,host,127501,620063,13437973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85262164,2,0.3,281,81840128,,30532142,1.26,1.65,1.53,4.71,4
,,1,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T13:56:12Z,sdgp,host,5830960,11091088,246294785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968962876,0,0.3,536,964825434,,593625702,1.16,1.64,1.5,4.72,20
,,1,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T13:56:18Z,sdgp,host,8449291,17983330,435992510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1772372816,5,0.3,10931,1778509478,,1026196671,1.14,1.63,1.49,4.72,20
,,1,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T13:56:23Z,sdgp,host,188115,763282,16950957,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105111448,0,0.4,573,101236425,,38813509,1.05,1.62,1.47,4.72,14
,,1,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T13:56:29Z,sdgp,host,2514156,9702974,229613233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04,8.08,0,0,0,0,0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088596295,9,1.2,8072,1067548592,,1003056561,0.97,1.62,1.44,4.73,55
,,1,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T13:56:34Z,sdgp,host,137296,643465,13884285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77482698,0,0.4,326,72796128,,31333885,0.97,1.61,1.44,4.66,4
,,1,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T13:56:40Z,sdgp,host,148564,662157,14218798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,34.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.25,0,0,0,0,26.47,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90054501,0,1,536,86535558,,32823243,0.89,1.6,1.41,4.66,6
,,1,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T13:56:45Z,sdgp,host,5825918,11131854,246184700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,966679909,0,0.3,544,960916685,,595509364,0.82,1.6,1.39,4.65,7
,,1,2023-04-28T12:27:56.255313309Z,2023-04-28T14:07:56.255313309Z,2023-04-28T13:56:51Z,sdgp,host,5813876,11056927,245949183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954359271,0,0.3,578,950558537,,594536647,0.83,1.59,1.38,4.65,6
