#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:09:47Z,sdgp,bmc,46,42.5,42.5,39.5,2839,2863,2862,2859,40.5,35,35,5640,30,122,234.75,4648,24,121,235
,,0,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:10:11Z,sdgp,bmc,46,42.5,42.5,39.5,2840,2860,2856,2860,40.5,35,34.5,5520,30,121,235,4584,24,122,235
,,0,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:10:34Z,sdgp,bmc,46,42.5,42,39.5,2835,2875,2858,2873,40.5,35,35,5696,30,122,234.75,4616,24,121,235.25
,,0,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:10:58Z,sdgp,bmc,46,42.5,42.5,39.5,2838,2869,2872,2860,40.5,35,35,5544,30,123,234.75,4584,24,123,235
,,0,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:11:22Z,sdgp,bmc,46,42.5,42.5,40,2887,2861,2860,2859,40.5,35,34.5,5544,30,123,235,4584,24,123,235.25
,,0,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:11:46Z,sdgp,bmc,46,42.5,42.5,39.5,2836,2860,2858,2860,40.5,35,35,5640,30,123,235.25,4584,24,124,235.25
,,0,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:12:10Z,sdgp,bmc,46,42.5,42.5,40,2836,2859,2858,2859,40.5,35,35,5664,30,123,235,4560,24,123,235
,,0,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:12:33Z,sdgp,bmc,46,42.5,42.5,40,2835,2858,2859,2872,40.5,35,35,5544,30,123,235,4584,24,124,234.75
,,0,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:12:57Z,sdgp,bmc,46,42.5,42.5,40,2834,2874,2870,2873,40.5,35,35,5576,30,123,235,4560,24,123,235
,,0,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:13:21Z,sdgp,bmc,46,42.5,42.5,40,2887,2869,2861,2859,40.5,35,34.5,5728,30,123,235,4616,24,124,235
,,0,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:14:00Z,sdgp,bmc,46,42.5,42.5,40,2886,2858,2863,2858,40.5,35,35,5640,30,123,235.5,4616,24,124,235.75
,,0,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:14:37Z,sdgp,bmc,46,42.5,42.5,40,2884,2874,2859,2861,40.5,35,35,5576,30,123,235.25,4584,24,124,235.75
,,0,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:15:01Z,sdgp,bmc,46,42.5,42.5,40,2838,2860,2870,2858,40.5,35,34.5,5696,30,122,235,4616,24,122,235.25
,,0,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:15:25Z,sdgp,bmc,46.5,42.5,42.5,40,2836,2863,2875,2876,40.5,35,35,5640,30,122,234.75,4560,24,122,235.25
,,0,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:15:48Z,sdgp,bmc,46,42.5,42.5,40,2889,2859,2862,2860,40.5,35,34.5,5544,30,123,235,4648,24,122,234.75
,,0,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:16:12Z,sdgp,bmc,46,42.5,42.5,40,2836,2864,2873,2874,40.5,35,35,5640,30,124,234.75,4584,24,123,235.25
,,0,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:16:35Z,sdgp,bmc,46.5,42.5,42.5,40,2838,2864,2860,2862,40.5,35,34.5,5576,30,123,235,4584,24,123,234.75
,,0,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:17:27Z,sdgp,bmc,46.5,42.5,42.5,40,2839,2864,2863,2873,40.5,35,35,5544,30,123,235,4560,24,124,235
,,0,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:17:51Z,sdgp,bmc,46,42.5,42.5,39.5,2836,2860,2861,2873,40.5,35,35,5544,30,123,235.5,4616,24,123,235.25
,,0,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:18:15Z,sdgp,bmc,46.5,42.5,42.5,39.5,2838,2873,2857,2862,40.5,35,34.5,5608,30,122,235.25,4584,24,122,235.25
,,0,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:18:39Z,sdgp,bmc,46,42.5,42.5,39.5,2888,2859,2876,2871,41,35,35,5640,29,122,235.25,4584,24,122,235
,,0,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:19:03Z,sdgp,bmc,46.5,42.5,42.5,40,2837,2863,2857,2861,40.5,35,35,5728,30,122,234.75,4616,24,122,235
,,0,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:19:26Z,sdgp,bmc,46,42.5,42.5,39.5,2888,2872,2870,2859,40.5,35,34.5,5728,29,122,235.25,4560,24,122,235
,,0,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:19:50Z,sdgp,bmc,46,42.5,42.5,40,2840,2869,2862,2859,40.5,35,35,5576,30,121,235.5,4616,24,121,235.5
,,0,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:20:14Z,sdgp,bmc,46,42.5,42.5,39.5,2840,2861,2858,2860,40.5,35,35,5640,30,122,235.5,4616,24,122,235.5
,,0,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:20:38Z,sdgp,bmc,46,42.5,42.5,39.5,2837,2863,2857,2860,40.5,35,34.5,5520,30,121,235.5,4584,24,122,235.75
,,0,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:21:02Z,sdgp,bmc,46,42.5,42.5,40,2836,2869,2870,2860,40.5,35,34.5,5576,29,122,235.5,4616,24,123,235.75
,,0,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:21:26Z,sdgp,bmc,46,42.5,42.5,40,2837,2873,2872,2863,40.5,35,34.5,5640,29,122,235.25,4584,24,122,235.5

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,string,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,branch_misses,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_cycles,cpu_migrations,cpu_usage,ctx_switches,cycles,event,instructions,load_1,load_15,load_5,mem_usage,page_faults
,,1,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:09:42Z,sdgp,host,149706,661215,14277547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88800021,0,0.3,326,85108018,,32153410,0.08,1.36,0.79,4.65,6
,,1,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:09:48Z,sdgp,host,2584645,6890707,191182010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828763110,2,1,9862,839808972,,436163318,0.15,1.36,0.8,4.64,18
,,1,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:09:53Z,sdgp,host,148032,654272,13942911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,1.98,0,0,0,1.98,0,0,0.99,0,0,0,0,0,0,0,1,0.99,0.99,0.99,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,86986105,3,0.4,323,83159897,,31771638,0.14,1.35,0.78,4.64,5
,,1,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:09:59Z,sdgp,host,2490560,9367977,224681694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3,4,6.93,0,0,0,7,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,902384464,6,0.3,8060,883977727,,962247112,0.27,1.34,0.79,4.64,47
,,1,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:10:04Z,sdgp,host,4327054,8506145,174624934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736392794,0,0.4,331,714770261,,420968168,0.25,1.34,0.78,4.64,5
,,1,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:10:10Z,sdgp,host,5888624,11100795,246919706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,0,0,22,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,983327519,0,1,958,977374444,,595740868,0.31,1.34,0.78,4.64,6
,,1,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:10:15Z,sdgp,host,1808804,3265600,84760751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365765833,0,0.3,1391,366284700,,211885781,0.28,1.33,0.77,4.64,6
,,1,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:10:21Z,sdgp,host,757835,1768898,41605356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304887722,0,0.8,1676,299620682,,96125687,0.26,1.32,0.75,4.64,114
,,1,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:10:26Z,sdgp,host,570103,1492039,35396872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,36.63,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222383237,1,0.3,1204,215461221,,91351315,0.32,1.32,0.76,4.64,5
,,1,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:10:32Z,sdgp,host,3554060,8008431,260683734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.97,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1782589286,13,0.3,1018,1787578755,,680297869,0.29,1.31,0.75,4.64,6583
,,1,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:10:37Z,sdgp,host,14194890,28291180,668183477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.51,23.53,9.18,13.73,11.11,20.59,0,23.47,16,0,0.99,3.03,0,0,0,0,1.98,0,0,0,0.99,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,4552193539,69,1.3,2086,4508614211,,1905081885,0.27,1.3,0.73,4.73,20534
,,1,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:10:43Z,sdgp,host,27889764,52565952,1203153821,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.99,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.01,0,0,0,0,0,0.99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.99,0,0.99,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0.99,1,1.98,30.39,11.22,19.61,33.33,17,20,0,20.41,7.14,0.99,1.96,0,1,2.97,2.97,6.93,1,0,1.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7853071605,125,1.3,4341,7853763265,,3231238512,0.57,1.32,0.79,4.72,24135
,,1,2023-04-28T12:41:38.129110679Z,2023-04-28T14:21:38.129110679Z,2023-04-28T14:10:48Z,sdgp,host,18105758,41261162,1032018992,100,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.78,16.49,18.63,9.38,23.16,12.87,0,15.69,15.69,0,0,0,0,0,0,0,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6175243479,79,1.6,21074,6187658088,,3171930533,0.76,1.33,0.82,4.9,20008
