#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:42:47Z,sdgp,bmc,46,42.5,42.5,39.5,2835,2863,2860,2859,40.5,35,34.5,5520,29,122,230,4584,24,122,230
,,0,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:43:12Z,sdgp,bmc,46,42.5,42,40,2840,2860,2859,2860,40.5,35,34.5,5608,30,122,229.5,4584,24,122,230
,,0,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:43:38Z,sdgp,bmc,46,42.5,42.5,39.5,2840,2859,2860,2860,40.5,35,34.5,5576,29,121,230.25,4648,24,122,230.25
,,0,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:44:34Z,sdgp,bmc,46,42.5,42,39.5,2838,2859,2861,2872,40.5,35,34.5,5520,29,121,230.25,4616,24,121,230.25
,,0,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:44:59Z,sdgp,bmc,46,42.5,42,39.5,2840,2860,2861,2860,40.5,35,34.5,5520,29,121,230,4616,24,121,230.25
,,0,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:45:25Z,sdgp,bmc,46,42.5,42,39.5,2840,2859,2864,2860,40.5,35,34.5,5544,29,120,230,4616,24,121,230
,,0,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:45:50Z,sdgp,bmc,46,42.5,42,39.5,2889,2873,2862,2860,40.5,35,35,5696,29,121,230,4616,24,122,230.25
,,0,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:46:16Z,sdgp,bmc,46,42.5,42.5,39.5,2839,2863,2859,2861,40.5,35,34.5,5520,30,122,230,4616,24,122,229.75
,,0,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:46:41Z,sdgp,bmc,46,42.5,42.5,39.5,2838,2858,2860,2861,40.5,35,34.5,5520,29,122,230,4616,24,122,230
,,0,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:47:06Z,sdgp,bmc,46,42.5,42.5,39.5,2840,2869,2859,2873,40.5,35,35,5640,30,124,230,4560,24,124,230
,,0,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:47:31Z,sdgp,bmc,46,42.5,42.5,40,2838,2859,2863,2862,40.5,35,34.5,5696,29,123,229.75,4560,24,124,229.75
,,0,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:47:56Z,sdgp,bmc,46,42.5,42.5,39.5,2837,2863,2861,2862,40.5,35,34.5,5576,29,123,229.75,4616,24,123,230.25
,,0,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:48:21Z,sdgp,bmc,46,42.5,42.5,40,2838,2860,2858,2860,40.5,35,35,5520,29,123,229.75,4584,24,123,230.25
,,0,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:48:46Z,sdgp,bmc,46,42.5,42.5,40,2838,2859,2858,2860,40.5,35,34.5,5544,29,123,230,4648,24,123,230.25
,,0,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:49:11Z,sdgp,bmc,46,42.5,42.5,40,2840,2860,2874,2861,40.5,35,34.5,5576,29,123,230,4528,24,124,230.25
,,0,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:49:36Z,sdgp,bmc,46,42.5,42.5,40,2889,2869,2871,2860,40.5,35,34.5,5608,29,123,230,4584,24,124,230.25
,,0,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:50:27Z,sdgp,bmc,46,42.5,42.5,40,2836,2863,2858,2860,40.5,35,34.5,5544,29,123,230,4584,24,123,230.5
,,0,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:50:56Z,sdgp,bmc,46,42.5,42.5,40,2834,2859,2871,2858,40.5,35,34.5,5696,29,123,230,4616,24,123,230.25
,,0,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:51:21Z,sdgp,bmc,46,42.5,42.5,39.5,2885,2858,2854,2858,40.5,35,35,5576,29,123,230,4584,24,123,230
,,0,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:51:46Z,sdgp,bmc,46,42.5,42.5,40,2839,2863,2861,2860,40.5,35,34.5,5520,29,123,230,4584,24,123,230
,,0,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:52:11Z,sdgp,bmc,46,42.5,42.5,39.5,2887,2859,2861,2859,40.5,35,34.5,5640,29,122,230,4560,24,123,230.25
,,0,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:52:36Z,sdgp,bmc,46,42.5,42.5,39.5,2886,2870,2858,2858,40.5,35,34.5,5576,29,123,230,4584,24,123,230.25

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,string,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,branch_misses,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_cycles,cpu_migrations,cpu_usage,ctx_switches,cycles,event,instructions,load_1,load_15,load_5,mem_usage,page_faults
,,1,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:42:43Z,sdgp,host,549374,1172839,23083793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150178248,1,0.3,328,136043689,,59998001,0.3,1.29,0.87,4.67,4
,,1,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:42:48Z,sdgp,host,11003907,29205812,669106183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2608962946,7,0.4,20040,2613105449,,2071085757,0.28,1.29,0.85,4.67,71
,,1,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:42:54Z,sdgp,host,5849367,11121368,246338334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,989024931,0,0.4,586,984094829,,595572190,0.25,1.28,0.84,4.67,6
,,1,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:42:59Z,sdgp,host,191764,828585,17214043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.31,27.27,0,3,0,0,0,0,0,7.07,1.98,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114652630,5,0.4,292,110056771,,53656619,0.23,1.27,0.82,4.67,8
,,1,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:43:05Z,sdgp,host,808164,2429113,54875249,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.99,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335448036,25,1.1,736,331913720,,129257024,0.21,1.27,0.81,4.67,14
,,1,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:43:10Z,sdgp,host,139196,622495,13627568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79514716,0,1.1,291,75027717,,30598577,0.2,1.26,0.8,4.67,6
,,1,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:43:16Z,sdgp,host,177734,801159,20841730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0.99,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132932325,0,0.5,588,128683120,,53471850,0.18,1.25,0.78,4.66,6
,,1,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:43:21Z,sdgp,host,5843502,11188724,240617149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,989345868,0,0.3,608,978402560,,592023794,0.17,1.25,0.77,4.66,4
,,1,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:43:27Z,sdgp,host,5844954,11125090,246740584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,977997698,0,0.4,601,973516630,,596423260,0.23,1.24,0.77,4.66,4
,,1,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:43:32Z,sdgp,host,235049,998671,31551233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114845527,0,0.3,319,119047140,,73802267,0.21,1.24,0.76,4.67,4
,,1,2023-04-28T13:13:38.389086086Z,2023-04-28T14:53:38.389086086Z,2023-04-28T14:43:38Z,sdgp,host,2182668,5733155,164643680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725410921,2,1.2,7186,734979932,,380100368,0.26,1.23,0.75,4.67,17
