#group,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,2023-06-17T12:52:03.570302883Z,2023-06-17T13:52:03.570302883Z,2023-06-17T13:41:43Z,sdgp,bmc,48,47,44.5,41,15334,14992,15251,15389,45.5,36,38.5,6056,29,213,231.75,4888,26,222,232.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,2023-06-17T12:52:03.570302883Z,2023-06-17T13:52:03.570302883Z,2023-06-17T13:42:06Z,sdgp,bmc,45,44,41.5,39,15313,14992,15280,15366,43,34,37,5520,28,210,232,4528,25,220,232.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,2023-06-17T12:52:03.570302883Z,2023-06-17T13:52:03.570302883Z,2023-06-17T13:42:31Z,sdgp,bmc,42.5,41,39,37,15313,14992,15264,15374,41,33,36,5064,27,209,232.25,4560,25,220,232.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,2023-06-17T12:52:03.570302883Z,2023-06-17T13:52:03.570302883Z,2023-06-17T13:42:54Z,sdgp,bmc,40.5,39.5,36.5,35.5,15311,14992,15308,15355,39.5,32,34.5,4616,27,209,232.5,4528,24,220,232.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,2023-06-17T12:52:03.570302883Z,2023-06-17T13:52:03.570302883Z,2023-06-17T13:43:17Z,sdgp,bmc,38.5,38,35.5,35,15311,14990,15324,15353,38,31.5,33.5,4496,26,210,232.25,4528,24,221,231.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,2023-06-17T12:52:03.570302883Z,2023-06-17T13:52:03.570302883Z,2023-06-17T13:43:43Z,sdgp,bmc,37,36.5,34.5,34.5,15298,14990,15321,15350,37,31,32.5,4496,26,207,232,4528,24,217,232.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,2023-06-17T12:52:03.570302883Z,2023-06-17T13:52:03.570302883Z,2023-06-17T13:44:06Z,sdgp,bmc,36,35.5,34,33.5,15300,14992,15319,15350,36,31,32,4528,26,207,232.5,4528,24,221,232.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,2023-06-17T12:52:03.570302883Z,2023-06-17T13:52:03.570302883Z,2023-06-17T13:44:29Z,sdgp,bmc,35,35,33,33,15311,15005,15321,15347,35,31,31,4528,26,210,232,4528,24,221,232.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,2023-06-17T12:52:03.570302883Z,2023-06-17T13:52:03.570302883Z,2023-06-17T13:44:52Z,sdgp,bmc,34.5,34.5,32.5,32.5,15298,14990,15319,15363,34.5,31,31,4496,26,209,232,4528,24,221,232.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,2023-06-17T12:52:03.570302883Z,2023-06-17T13:52:03.570302883Z,2023-06-17T13:45:15Z,sdgp,bmc,34,34,32.5,32.5,15295,15002,15319,15360,34,31,30.5,4496,26,210,232.5,4528,24,221,232.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
