#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-06-18T06:14:38.742564339Z,2023-06-18T07:14:38.742564339Z,2023-06-18T07:09:12Z,sdgp,bmc,59.5,55.5,54,49,1671,1701,1681,1681,51,44.5,44.5,8128,35,126,230.5,5544,29,126,230.5
,,0,2023-06-18T06:14:38.742564339Z,2023-06-18T07:14:38.742564339Z,2023-06-18T07:09:36Z,sdgp,bmc,59.5,55.5,54,49,1703,1685,1687,1703,51,44.5,44.5,7888,35,126,230.5,5544,29,125,230.5
,,0,2023-06-18T06:14:38.742564339Z,2023-06-18T07:14:38.742564339Z,2023-06-18T07:09:59Z,sdgp,bmc,59.5,55.5,54,49.5,1704,1679,1688,1693,51,44,44.5,7888,35,125,230.25,5520,29,126,230.5
,,0,2023-06-18T06:14:38.742564339Z,2023-06-18T07:14:38.742564339Z,2023-06-18T07:10:22Z,sdgp,bmc,59.5,55.5,54,49,1699,1688,1683,1684,51,44,44.5,7888,34,126,230.5,5544,29,125,230.75
,,0,2023-06-18T06:14:38.742564339Z,2023-06-18T07:14:38.742564339Z,2023-06-18T07:10:46Z,sdgp,bmc,59.5,55.5,54,49,1704,1681,1696,1701,51,44,44.5,7888,34,124,230.5,5544,29,123,230.75
,,0,2023-06-18T06:14:38.742564339Z,2023-06-18T07:14:38.742564339Z,2023-06-18T07:11:08Z,sdgp,bmc,59,55.5,54,48.5,1702,1700,1691,1682,51,44,44.5,7888,34,124,230.75,5544,28,123,230.75
,,0,2023-06-18T06:14:38.742564339Z,2023-06-18T07:14:38.742564339Z,2023-06-18T07:11:31Z,sdgp,bmc,59,55.5,54,48.5,1671,1702,1689,1688,51,44,44.5,7800,34,123,230,5544,28,123,230
,,0,2023-06-18T06:14:38.742564339Z,2023-06-18T07:14:38.742564339Z,2023-06-18T07:12:13Z,sdgp,bmc,59,55.5,54,48.5,1703,1693,1690,1692,51,43.5,44.5,7616,34,123,230.5,5544,28,123,230.5
,,0,2023-06-18T06:14:38.742564339Z,2023-06-18T07:14:38.742564339Z,2023-06-18T07:12:44Z,sdgp,bmc,59,55.5,54,49,1698,1697,1693,1692,51,43.5,44.5,7648,34,123,230.25,5544,28,122,230.5
,,0,2023-06-18T06:14:38.742564339Z,2023-06-18T07:14:38.742564339Z,2023-06-18T07:13:07Z,sdgp,bmc,59,55.5,53.5,48,1678,1682,1689,1693,51,43.5,44.5,7616,34,123,230.25,5544,28,123,230.25
,,0,2023-06-18T06:14:38.742564339Z,2023-06-18T07:14:38.742564339Z,2023-06-18T07:13:30Z,sdgp,bmc,59,55.5,53.5,48.5,1674,1682,1698,1684,51,43,44.5,7616,34,123,230.25,5544,28,123,230.25
,,0,2023-06-18T06:14:38.742564339Z,2023-06-18T07:14:38.742564339Z,2023-06-18T07:13:58Z,sdgp,bmc,59,55.5,53.5,48.5,1671,1685,1700,1699,51,43,44.5,7616,34,123,230.25,5520,28,123,230.25
,,0,2023-06-18T06:14:38.742564339Z,2023-06-18T07:14:38.742564339Z,2023-06-18T07:14:21Z,sdgp,bmc,59,55.5,53.5,48.5,1672,1682,1688,1689,50.5,43,44.5,7616,34,123,230.25,5520,28,122,230.5

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,branch_misses,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_cycles,cpu_migrations,cpu_usage,ctx_switches,cycles,instructions,load_1,load_15,load_5,mem_usage,page_faults
,,1,2023-06-18T06:14:38.742564339Z,2023-06-18T07:14:38.742564339Z,2023-06-18T07:08:38Z,sdgp,host,1459205,2464534,57994133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305408026,0,0.3,320,286350751,153702569,0.06,0.51,0.4,3.77,4
,,1,2023-06-18T06:14:38.742564339Z,2023-06-18T07:14:38.742564339Z,2023-06-18T07:08:44Z,sdgp,host,5064819,9925736,215827804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784750326,0,0.4,1184,779157121,514398997,0.06,0.51,0.4,3.78,4
,,1,2023-06-18T06:14:38.742564339Z,2023-06-18T07:14:38.742564339Z,2023-06-18T07:08:49Z,sdgp,host,16748934,33148824,796123031,0,0,8.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.78,0,0,0,0,0,0,0,0,5.94,11,7,0,0,0,0,0,0,0,0,0,10,6.25,7.92,12.62,6.06,9.18,0,3,7.07,0,0,0,0,0,0,0,0,0,0,0,4.95,0.99,2.02,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1,0,0,0,0,0,0,0,0,0,0,2.02,0,0,0,0,0,0,0,0,0,0,4427293042,68,1.3,2705,4420246950,2257937914,0.21,0.52,0.42,3.83,23201
,,1,2023-06-18T06:14:38.742564339Z,2023-06-18T07:14:38.742564339Z,2023-06-18T07:08:55Z,sdgp,host,12175931,24278266,607235137,0,0,11.11,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,3.06,13.86,9.62,0,0,0,0,0,0,0,0,0,3.06,5.94,4,6.06,5.94,11,0,5.94,13.13,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.54,0,0,0,0,0,0,0,0,0,0,8.16,0,0,0,0,0,0,0,0,0,0,3715663214,48,1.4,2171,3696707780,1834099715,0.28,0.52,0.43,3.81,23393
,,1,2023-06-18T06:14:38.742564339Z,2023-06-18T07:14:38.742564339Z,2023-06-18T07:09:00Z,sdgp,host,15095910,32484254,834918031,0,0,11.88,0,0,0,0,0,0,0,0,0,0,7.77,0,0,0,0,0,0,0,0,0,0,9.38,0,0,0,0,0,0,0,0,11.22,5.15,12.62,0,0,0,0,0,0,0,0,0,12.12,1.98,0,8.08,1.02,3,0,4.95,5,0,0,0,0,0,0,0,0,0,2.02,2.02,0,0,0,1,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,15.53,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,4862375886,62,1.9,19120,4846658686,2279832566,0.41,0.53,0.46,3.81,23638
,,1,2023-06-18T06:14:38.742564339Z,2023-06-18T07:14:38.742564339Z,2023-06-18T07:09:06Z,sdgp,host,4463300,2723712,775230751,0,0,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,92,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1103487471,6,0.3,587,1084657971,1869289026,0.54,0.54,0.48,3.8,5
,,1,2023-06-18T06:14:38.742564339Z,2023-06-18T07:14:38.742564339Z,2023-06-18T07:09:11Z,sdgp,host,10724034,14074230,1581351463,0,0,6.93,0,0,0,0,0,0,0,0,0,0,4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6.93,2,0,62.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,2649044381,9,1.1,3640,2632628724,4048274503,0.82,0.56,0.54,3.8,838
,,1,2023-06-18T06:14:38.742564339Z,2023-06-18T07:14:38.742564339Z,2023-06-18T07:09:17Z,sdgp,host,8796014,12422899,867172926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1657132078,1,0.3,1428,1640802776,2086518827,0.83,0.56,0.55,3.8,6
,,1,2023-06-18T06:14:38.742564339Z,2023-06-18T07:14:38.742564339Z,2023-06-18T07:09:22Z,sdgp,host,3686343,7807183,189609347,0,0,13,0,0,0,0,0,0,0,0,0,0,7.07,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0.99,0,0.99,0,0.99,2.04,1,0.99,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,664737829,0,1.1,1375,668968858,434032405,0.85,0.56,0.56,3.8,577
,,1,2023-06-18T06:14:38.742564339Z,2023-06-18T07:14:38.742564339Z,2023-06-18T07:09:28Z,sdgp,host,160307,553241,16113125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123762425,0,0.2,357,117905464,42358150,0.86,0.56,0.57,3.8,7
