#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-06-18T06:33:51.307112795Z,2023-06-18T07:33:51.307112795Z,2023-06-18T07:27:25Z,sdgp,bmc,43.5,40.5,40,37.5,3340,3365,3364,3363,39,34,33,5064,27,120,229.75,4528,24,119,229.75
,,0,2023-06-18T06:33:51.307112795Z,2023-06-18T07:33:51.307112795Z,2023-06-18T07:27:49Z,sdgp,bmc,43.5,40.5,40,38,3174,3201,3195,3192,39,34,33,5336,27,120,230.25,4560,24,119,230.5
,,0,2023-06-18T06:33:51.307112795Z,2023-06-18T07:33:51.307112795Z,2023-06-18T07:28:16Z,sdgp,bmc,44,40.5,40.5,38.5,3010,3035,3027,3023,39,34.5,33.5,5336,28,120,230.25,4528,24,120,230.5
,,0,2023-06-18T06:33:51.307112795Z,2023-06-18T07:33:51.307112795Z,2023-06-18T07:28:38Z,sdgp,bmc,44,41,40.5,38.5,3012,3045,3028,3024,39.5,34.5,33.5,5336,28,120,230.25,4560,24,119,230
,,0,2023-06-18T06:33:51.307112795Z,2023-06-18T07:33:51.307112795Z,2023-06-18T07:29:01Z,sdgp,bmc,44,41,41,39,3006,3046,3027,3021,39.5,35,33.5,5368,28,120,230.5,4528,24,119,230.5
,,0,2023-06-18T06:33:51.307112795Z,2023-06-18T07:33:51.307112795Z,2023-06-18T07:29:28Z,sdgp,bmc,44.5,41.5,41,39,3062,3030,3028,3037,39.5,35,33.5,5368,28,120,230.25,4528,24,120,230.5
,,0,2023-06-18T06:33:51.307112795Z,2023-06-18T07:33:51.307112795Z,2023-06-18T07:30:24Z,sdgp,bmc,44.5,41.5,41.5,39.5,3011,3031,3025,3022,39.5,35,34,5336,28,120,230.25,4560,24,119,230.25
,,0,2023-06-18T06:33:51.307112795Z,2023-06-18T07:33:51.307112795Z,2023-06-18T07:30:47Z,sdgp,bmc,45,42,41.5,39.5,3056,3031,3040,3020,40,35.5,34,5336,28,120,230.5,4560,24,119,230.75
,,0,2023-06-18T06:33:51.307112795Z,2023-06-18T07:33:51.307112795Z,2023-06-18T07:31:09Z,sdgp,bmc,45,42,42,40,3058,3030,3027,3033,40,35.5,34,5336,28,120,230.5,4528,24,119,230.75
,,0,2023-06-18T06:33:51.307112795Z,2023-06-18T07:33:51.307112795Z,2023-06-18T07:31:32Z,sdgp,bmc,45,42,42,40,3010,3035,3039,3024,40,35.5,34,5368,28,119,230.25,4528,24,119,230.25
,,0,2023-06-18T06:33:51.307112795Z,2023-06-18T07:33:51.307112795Z,2023-06-18T07:31:56Z,sdgp,bmc,45.5,42,42,40,3011,3041,3028,3023,40,35.5,34.5,5488,28,120,230.5,4528,24,119,230.5
,,0,2023-06-18T06:33:51.307112795Z,2023-06-18T07:33:51.307112795Z,2023-06-18T07:32:19Z,sdgp,bmc,45.5,42.5,41.5,40,3010,3030,3028,3023,40,35.5,34.5,5520,28,120,230.5,4528,24,119,230.5
,,0,2023-06-18T06:33:51.307112795Z,2023-06-18T07:33:51.307112795Z,2023-06-18T07:32:56Z,sdgp,bmc,45.5,42.5,42,40.5,3011,3031,3026,3037,40,35.5,34.5,5544,28,120,230.25,4528,24,120,230.25
,,0,2023-06-18T06:33:51.307112795Z,2023-06-18T07:33:51.307112795Z,2023-06-18T07:33:35Z,sdgp,bmc,45.5,42.5,42.5,40.5,3062,3033,3029,3023,40,35.5,34.5,5520,28,120,230.5,4528,24,120,230.5

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,branch_misses,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_cycles,cpu_migrations,cpu_usage,ctx_switches,cycles,instructions,load_1,load_15,load_5,mem_usage,page_faults
,,1,2023-06-18T06:33:51.307112795Z,2023-06-18T07:33:51.307112795Z,2023-06-18T07:27:10Z,sdgp,host,5959147,3812729,1029230825,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.77,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,28.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1446020958,0,0.2,549,1438322877,2474992193,0.36,0.47,0.33,3.84,7
,,1,2023-06-18T06:33:51.307112795Z,2023-06-18T07:33:51.307112795Z,2023-06-18T07:27:16Z,sdgp,host,549516,982499,38964606,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199066720,0,0.7,632,194233293,87478964,0.53,0.48,0.36,3.82,519
,,1,2023-06-18T06:33:51.307112795Z,2023-06-18T07:33:51.307112795Z,2023-06-18T07:27:21Z,sdgp,host,9124859,18582291,515579048,0,0,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.94,2.97,1.98,0.99,0,3.03,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2006042747,6,0.5,16915,1984562898,1446591024,0.57,0.48,0.37,3.82,558
,,1,2023-06-18T06:33:51.307112795Z,2023-06-18T07:33:51.307112795Z,2023-06-18T07:27:27Z,sdgp,host,5477042,10551698,246232619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,1.98,5.94,6.86,0,4.04,3.03,4.95,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903152311,2,0.3,1723,898567780,581109105,0.6,0.49,0.39,3.82,522
,,1,2023-06-18T06:33:51.307112795Z,2023-06-18T07:33:51.307112795Z,2023-06-18T07:27:32Z,sdgp,host,154999,455868,9974825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,6.73,2.02,6,4.21,0,5.83,5.05,1.98,0,14.14,16,0,0,0,0,0,0,0,3.92,0.99,14.29,0,0,0,0,0,0,0,7.92,1.98,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82439393,0,0.3,351,77378677,22956782,0.64,0.49,0.4,3.82,5
,,1,2023-06-18T06:33:51.307112795Z,2023-06-18T07:33:51.307112795Z,2023-06-18T07:27:38Z,sdgp,host,9764612,8329402,1600103402,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94,2.97,3,0,1,0.99,1,5,0.99,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2189698794,0,1,318,2177406921,3848207305,0.67,0.49,0.41,3.83,6
,,1,2023-06-18T06:33:51.307112795Z,2023-06-18T07:33:51.307112795Z,2023-06-18T07:27:43Z,sdgp,host,5842802,3395163,1012338011,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04,5.94,8.91,80,0,6.06,2.02,1.01,7,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,27.27,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1397489750,0,0.5,771,1383718805,2436327969,0.61,0.49,0.4,3.83,7
,,1,2023-06-18T06:33:51.307112795Z,2023-06-18T07:33:51.307112795Z,2023-06-18T07:27:49Z,sdgp,host,8091849,9740811,1236144144,0,0,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1933729730,5,1.1,653,1927255964,2969497146,0.64,0.49,0.41,3.84,1008
,,1,2023-06-18T06:33:51.307112795Z,2023-06-18T07:33:51.307112795Z,2023-06-18T07:27:54Z,sdgp,host,11800901,13854988,1416520764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.66,0.99,0,0,0,0,0,0,0,0,0,11.88,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2340130924,2,0.3,1298,2324236906,3401826302,0.67,0.5,0.42,3.84,5
,,1,2023-06-18T06:33:51.307112795Z,2023-06-18T07:33:51.307112795Z,2023-06-18T07:28:00Z,sdgp,host,7901899,13922488,840673558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1605951710,6,1,1863,1617414912,1988533381,0.7,0.5,0.43,3.85,939
