#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:39:57Z,sdgp,bmc,46,42.5,42.5,40,3010,3033,3041,3024,40.5,35,35,5520,28,120,230.5,4528,24,120,230.5
,,0,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:40:21Z,sdgp,bmc,46,42.5,42.5,40,2884,2861,2872,2873,40.5,35,35,5544,28,119,230.25,4560,24,119,230.5
,,0,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:40:50Z,sdgp,bmc,46,43,42.5,40,2884,2858,2863,2857,40.5,34.5,35,5544,28,120,230,4584,24,120,230
,,0,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:41:13Z,sdgp,bmc,46,43,42.5,40,2837,2862,2861,2873,40.5,35,35,5544,28,120,230,4560,24,119,230
,,0,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:41:36Z,sdgp,bmc,46,43,42.5,40,2838,2861,2860,2860,40.5,35,35,5544,28,120,230,4560,24,119,230
,,0,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:42:26Z,sdgp,bmc,46.5,43,42.5,40.5,2836,2859,2870,2861,40.5,35,35,5544,28,120,230.25,4584,24,119,230.25
,,0,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:42:49Z,sdgp,bmc,46.5,43,42.5,40,2836,2871,2876,2861,40.5,35,35,5520,28,124,230.25,4528,24,123,230.25
,,0,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:43:13Z,sdgp,bmc,46.5,43,42.5,40.5,2886,2863,2858,2860,40.5,35,35,5544,28,122,230.25,4560,24,122,230.5
,,0,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:43:36Z,sdgp,bmc,46.5,43,42.5,40.5,2836,2862,2863,2859,40.5,35,35,5544,28,123,230.5,4560,24,122,230.5
,,0,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:43:59Z,sdgp,bmc,46.5,43,42.5,40,2839,2863,2861,2873,40.5,35,35,5520,28,123,230.25,4560,24,123,230.25
,,0,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:44:22Z,sdgp,bmc,46.5,43,42.5,40,2836,2863,2870,2857,40.5,35,35,5544,28,123,230.75,4560,24,123,230.75
,,0,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:44:45Z,sdgp,bmc,46.5,43,42.5,40,2836,2872,2857,2862,40.5,35,35,5544,28,123,230.5,4528,24,123,230.5
,,0,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:45:08Z,sdgp,bmc,46.5,43,43,40,2839,2860,2856,2861,40.5,35,35,5520,28,124,230.25,4528,24,123,230.25
,,0,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:45:34Z,sdgp,bmc,46.5,43,43,40.5,2835,2860,2860,2863,40.5,35,35,5544,28,123,230.25,4528,24,123,230.5
,,0,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:45:57Z,sdgp,bmc,46.5,43,43,40.5,2836,2858,2860,2861,41,35,35,5544,28,123,230.75,4560,24,123,230.75
,,0,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:46:21Z,sdgp,bmc,46.5,43,43,40.5,2882,2868,2864,2860,41,35,35,5544,28,123,230.5,4528,24,123,230.75
,,0,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:46:44Z,sdgp,bmc,46.5,43,43,40,2839,2862,2863,2860,40.5,35,35,5520,28,124,230.25,4528,24,123,230.5
,,0,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:47:07Z,sdgp,bmc,46.5,43,43,40.5,2883,2869,2872,2862,41,35,35,5520,28,123,230.25,4528,24,123,230.5
,,0,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:47:30Z,sdgp,bmc,46.5,43,43,40.5,2839,2864,2873,2860,40.5,35,35,5544,28,124,230.5,4528,24,123,230.5
,,0,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:48:21Z,sdgp,bmc,46.5,43,43,40.5,2839,2861,2872,2862,41,35,35,5520,28,123,230.5,4528,24,123,230.5
,,0,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:48:44Z,sdgp,bmc,46.5,43,43,40.5,2841,2860,2858,2873,41,35,35,5544,28,123,230.75,4528,24,123,230.75
,,0,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:49:07Z,sdgp,bmc,46.5,43,43,40.5,2835,2872,2863,2873,41,35,35,5544,28,123,230.5,4528,24,122,230.5
,,0,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:49:30Z,sdgp,bmc,46.5,43,43,40.5,2841,2860,2859,2860,41,35,35,5544,28,122,231,4560,24,122,231
,,0,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:49:54Z,sdgp,bmc,46.5,43,43,40.5,2840,2860,2861,2859,41,35,35,5544,28,123,230.75,4528,24,123,230.75
,,0,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:50:16Z,sdgp,bmc,46.5,43,43,40.5,2839,2863,2859,2864,41,34.5,35,5544,28,123,230.5,4528,24,123,230.75
,,0,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:50:49Z,sdgp,bmc,46.5,43,43,40.5,2840,2864,2862,2859,41,35,35,5544,28,122,230.5,4560,24,122,230.5
,,0,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:51:36Z,sdgp,bmc,46.5,43,43,40.5,2676,2691,2695,2686,40.5,35,35,5544,28,122,230,4528,24,122,230
,,0,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:52:00Z,sdgp,bmc,46.5,43,43,40.5,2675,2691,2697,2702,41,35,35,5544,28,122,230.25,4528,24,121,230.25
,,0,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:52:22Z,sdgp,bmc,46.5,43,43,40.5,2720,2704,2694,2698,41,35,35,5544,28,122,229.75,4528,24,121,230
,,0,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:52:46Z,sdgp,bmc,47,43.5,43,40,2675,2706,2695,2700,41,35,35,5544,28,121,229.75,4528,24,122,229.75
,,0,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:53:09Z,sdgp,bmc,46.5,43.5,43,40.5,2675,2703,2695,2699,41,35,35,5544,28,121,229.5,4528,24,121,229.75
,,0,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:53:32Z,sdgp,bmc,47,43.5,43,40.5,2673,2694,2706,2688,41,35,35,5544,28,122,229.5,4560,24,122,229.5

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,string,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,branch_misses,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_cycles,cpu_migrations,cpu_usage,ctx_switches,cycles,event,instructions,load_1,load_15,load_5,mem_usage,page_faults
,,1,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:39:42Z,sdgp,host,4737201,9521465,208478426,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,738022899,2,1.2,1221,738672361,,489843792,0.35,0.56,0.57,3.8,4
,,1,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:39:48Z,sdgp,host,142225,511915,14812830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118591806,0,0.3,312,113881284,,39955099,0.32,0.56,0.56,3.81,4
,,1,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:39:53Z,sdgp,host,117535,374366,8490434,0,0.99,0.99,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69419777,0,1.1,288,64647600,,18898888,0.29,0.56,0.55,3.81,4
,,1,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:39:59Z,sdgp,host,135689,420751,9268310,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,28.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,79347642,0,0.2,546,72726178,,20497749,0.27,0.55,0.54,3.81,6
,,1,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:40:04Z,sdgp,host,177833,491361,10622359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0.99,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107831151,3,0.2,385,90603220,,28087701,0.25,0.55,0.53,3.81,6
,,1,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:40:10Z,sdgp,host,5058239,10012175,216464285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,777968294,0,0.4,1148,771545152,,513697062,0.23,0.55,0.52,3.81,5
,,1,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:40:15Z,sdgp,host,4204625,8841370,189698486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.07,0,6.12,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2.97,0,0,0,0,0,0,0,0,0,0,697446180,2,0.3,1873,701625592,,440996942,0.21,0.54,0.51,3.81,10
,,1,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:40:21Z,sdgp,host,5263585,12533303,394837390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1670888966,18,0.3,19233,1666198839,,1178930586,0.19,0.54,0.5,3.81,150
,,1,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:40:26Z,sdgp,host,125167,393862,8850967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68965264,0,0.4,292,64159604,,20059070,0.26,0.54,0.51,3.81,4
,,1,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:40:32Z,sdgp,host,131168,418460,9443420,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.99,0,0,0,0,0,0,0,0,12.37,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95,2,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.86,0,29,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,2.97,0,0,0,0,0,0,0,0,0,0,78042884,0,0.3,314,70618897,,21070292,0.24,0.54,0.5,3.8,6
,,1,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:40:37Z,sdgp,host,2844564,6133902,121774017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475350400,1,0.3,310,457864812,,287494035,0.2,0.54,0.49,3.81,7
,,1,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:40:43Z,sdgp,host,5081170,10060862,216762751,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784687710,2,1.1,1416,779975421,,515642660,0.18,0.53,0.48,3.81,4
,,1,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:40:48Z,sdgp,host,1336550,2745862,73201752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306138989,0,0.3,1149,309591172,,178305554,0.17,0.53,0.47,3.81,4
,,1,2023-06-18T06:53:39.297441757Z,2023-06-18T07:53:39.297441757Z,2023-06-18T07:40:54Z,sdgp,host,131640,424382,9485257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78212840,0,0.7,306,71424712,,21241297,0.15,0.53,0.46,3.82,4
