#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T08:59:56Z,sdgp,bmc,41,39,38.5,38,5430,5472,5457,5450,38,34.5,33,4888,28,123,229.5,4528,26,122,229.5
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:00:19Z,sdgp,bmc,41,39,38.5,38,5426,5468,5455,5454,38,34.5,33,4888,28,124,229.5,4528,26,124,229.75
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:00:42Z,sdgp,bmc,41,39,38.5,38,5425,5471,5459,5447,38,34.5,33,4888,28,123,229.5,4528,26,123,229.5
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:01:05Z,sdgp,bmc,41,39,38.5,38,5426,5470,5460,5448,38,34.5,33,4888,28,123,229.75,4560,26,123,229.75
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:01:29Z,sdgp,bmc,41,39,38.5,38,5425,5472,5460,5456,38,34.5,33,4888,28,123,229.5,4528,26,123,229.75
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:01:52Z,sdgp,bmc,41,39,38.5,38,5429,5468,5457,5448,38,34.5,33,4888,28,124,229.5,4528,26,123,229.25
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:02:15Z,sdgp,bmc,41,39,38.5,37.5,5426,5471,5458,5449,38,34.5,33,4888,28,134,229.25,4528,26,149,229
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:02:38Z,sdgp,bmc,41,39,39.5,38,5424,5474,5455,5452,38,34.5,33,4944,28,153,229,4560,26,161,229.25
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:03:01Z,sdgp,bmc,41.5,39.5,40,38.5,5427,5470,5455,5450,38.5,34.5,33,5064,29,154,228.75,4528,26,163,228.5
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:03:25Z,sdgp,bmc,41.5,39.5,40.5,39,5428,5470,5457,5448,38.5,35,33.5,5064,29,156,229,4560,26,163,229
