#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:25:33Z,sdgp,bmc,49.5,46,49,46.5,3498,3526,3519,3511,44,39,38.5,6264,32,157,230.75,5064,27,166,231
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:26:30Z,sdgp,bmc,50.5,47.5,50.5,48,1697,1695,1687,1697,43.5,41,38.5,6504,33,157,230.75,5304,28,167,231
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:26:54Z,sdgp,bmc,51,48,51,48.5,1701,1684,1682,1696,44,41.5,39,6536,33,161,231,5368,28,170,230.75
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:27:18Z,sdgp,bmc,51.5,48.5,52,49,1696,1696,1683,1688,44,42,39,6536,34,165,231,5336,28,173,230.75
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:27:41Z,sdgp,bmc,52,48.5,53,50,2840,2863,2871,2854,44.5,42,39.5,6720,34,167,230.5,5368,28,175,230.5
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:28:04Z,sdgp,bmc,52,49.5,53.5,50.5,2837,2868,2867,2856,45,41.5,39.5,6688,33,168,230.75,5368,28,176,230.75
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:28:28Z,sdgp,bmc,52.5,49.5,54,51,2837,2862,2854,2852,45,41.5,40,6688,33,169,230.5,5336,28,176,230.25
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:28:52Z,sdgp,bmc,52.5,50,54.5,51,2838,2872,2865,2855,45.5,41.5,40,6720,33,169,230.5,5336,28,177,230.5
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:29:16Z,sdgp,bmc,52.5,50,54.5,51.5,4134,4176,4167,4157,45.5,41.5,40.5,6984,33,171,230.25,5336,28,179,230.25
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:29:40Z,sdgp,bmc,52.5,50,54.5,51.5,4138,4177,4164,4157,45.5,41,40.5,6744,33,170,230.25,5064,28,177,230.5
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:30:04Z,sdgp,bmc,52.5,49.5,54,51,4140,4172,4161,4157,45.5,40.5,40.5,6744,32,170,230.5,5096,27,178,230.75
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:30:28Z,sdgp,bmc,52.5,49.5,54,51,4140,4172,4164,4156,45.5,40,40.5,6688,32,169,230.5,5064,27,177,230.75
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:30:52Z,sdgp,bmc,52.5,48.5,53.5,50.5,5261,5303,5296,5286,45.5,39.5,40.5,6720,32,170,230.75,5096,27,178,230.5
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:31:15Z,sdgp,bmc,52,48.5,52.5,50,5258,5301,5293,5292,45.5,39,40,6720,32,171,230.75,5096,27,179,230.5
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:31:39Z,sdgp,bmc,51.5,48,52,49.5,5261,5303,5291,5287,45.5,38.5,40,6688,31,171,231,5096,27,179,230.5
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:32:04Z,sdgp,bmc,51.5,47,51,49,5259,5303,5296,5288,45.5,38.5,40,6536,31,169,230.75,4888,27,177,230.5
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:32:27Z,sdgp,bmc,50.5,46.5,50,48.5,6541,6605,6583,6573,45,38,39.5,6536,31,172,230.75,4888,27,180,230.5
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:32:51Z,sdgp,bmc,50,46,49.5,47.5,6542,6601,6576,6575,44.5,37.5,39,6264,31,172,230.75,4888,27,180,231
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:33:15Z,sdgp,bmc,49.5,45.5,48.5,47,6545,6607,6585,6576,44.5,37.5,39,6264,30,171,231,4888,27,179,230.75
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:33:39Z,sdgp,bmc,49,45,47.5,46.5,6543,6591,6576,6568,44,37,38.5,6264,30,170,231,4616,27,178,230.75
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:34:33Z,sdgp,bmc,48,44,46,45,7668,7725,7706,7703,43.5,36.5,38,6088,30,175,230.75,4616,26,182,230.5
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:34:56Z,sdgp,bmc,47,43,44.5,44,7664,7725,7704,7701,42.5,36,37.5,5784,30,173,231,4560,26,181,231
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:35:19Z,sdgp,bmc,46,43,43.5,43.5,7663,7729,7712,7701,42,36,37,5784,30,173,231,4528,26,182,231
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:35:43Z,sdgp,bmc,45.5,42.5,43.5,43,7664,7729,7708,7704,42,35.5,37,5488,29,172,231,4528,26,180,231
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:36:07Z,sdgp,bmc,44.5,42,43,42.5,8933,9004,8978,8959,41.5,35.5,36.5,5520,29,180,231,4528,26,189,231
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:36:31Z,sdgp,bmc,44,41.5,42.5,42,8933,9009,8985,8969,41,35,36.5,5520,29,181,230.75,4528,26,190,231
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:37:06Z,sdgp,bmc,43.5,41.5,42,41.5,8935,9003,8973,8968,40.5,35,36,5336,29,180,231,4528,26,188,231.25
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:37:46Z,sdgp,bmc,42,40.5,40.5,41.5,9185,10168,10291,10238,39.5,34.5,35.5,5096,29,179,231,4560,26,189,230.75
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:38:10Z,sdgp,bmc,41.5,40,40.5,41,10212,10301,10263,10244,39,34.5,35,5064,29,187,231,4528,26,197,230.5
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:38:33Z,sdgp,bmc,41,39.5,39.5,40.5,10207,10299,10263,10250,39,34,35,4920,29,189,231,4560,26,199,231
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:38:57Z,sdgp,bmc,40.5,39.5,40,40,10211,10299,10270,10243,38.5,34,34.5,4888,28,188,230.75,4528,26,197,230.75
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:39:21Z,sdgp,bmc,40,39,39.5,40,11323,11421,11386,11365,38,34,34.5,4888,28,198,230.75,4528,26,207,230.5
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:39:45Z,sdgp,bmc,39.5,39,39.5,40,11325,11428,11386,11362,38,34,34,4616,28,198,230.5,4528,26,207,230.5
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:40:08Z,sdgp,bmc,39.5,38.5,39,39.5,11325,11428,11393,11360,37.5,33.5,34,4616,28,198,230.25,4528,26,207,230.75
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:40:31Z,sdgp,bmc,39,38,39,39.5,12605,12706,12569,12585,37.5,33.5,34,4616,28,202,231,4528,26,214,231
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:40:55Z,sdgp,bmc,38.5,38,38.5,39,12596,12706,12665,12628,37,33.5,33.5,4528,28,211,230.75,4528,26,222,231
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:41:19Z,sdgp,bmc,38.5,37.5,38,38.5,12594,12693,12652,12636,37,33.5,33.5,4496,28,210,230.75,4528,26,222,230.75
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:41:43Z,sdgp,bmc,38,37.5,38,38.5,12592,12704,12652,12635,36.5,33.5,33.5,4528,28,211,230.25,4560,26,222,230.25
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:42:07Z,sdgp,bmc,37.5,37.5,38,38,13706,13816,13769,13740,36.5,33,33,4560,28,215,230.75,4616,26,238,230.5
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:42:31Z,sdgp,bmc,37.5,37,37.5,38,13715,13824,13780,13738,36.5,33,33,4584,28,227,230.5,4616,26,238,230.25
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:42:55Z,sdgp,bmc,37,37,37.5,38,13709,13829,13780,13746,36,33,33,4560,28,245,230.25,4616,26,238,230.5
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:43:18Z,sdgp,bmc,37,36.5,37.5,37.5,14696,14086,13880,13732,36,33,32.5,4648,28,228,230.5,4768,26,238,230
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:43:42Z,sdgp,bmc,37,36.5,37,38,15306,15025,15321,15340,36,33,32.5,4888,28,253,230.5,4920,26,260,230.75
,,0,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:44:06Z,sdgp,bmc,36.5,36.5,37,37.5,15306,15045,15313,15342,35.5,33,32.5,4616,28,246,230.25,4888,26,259,230.5

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,branch_misses,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_cycles,cpu_migrations,cpu_usage,ctx_switches,cycles,instructions,load_1,load_15,load_5,mem_usage,page_faults
,,1,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:25:37Z,sdgp,host,23216084,32653416,526411712,100,100,62.77,1.98,65.81,53.61,100,60.53,55.21,100,22.77,49.5,42.27,69.52,53.61,100,63.25,59.79,100,68.1,100,56.31,50,54.55,100,23.3,52.53,48.39,51.52,100,58.51,67.48,57.14,100,56.44,100,100,66.32,100,69.9,58.82,100,69.52,69.52,100,69.89,57.61,100,58.33,59.18,100,56.63,100,59,60.82,61.32,100,100,60.38,56.67,53.41,54.84,100,69.89,64.44,66.32,100,70.41,61.18,100,64.95,52.33,60,55.24,55.43,57.29,59.8,100,63.92,100,59.57,100,31.58,100,100,55.14,52.63,36.84,66.99,86,60.19,60.2,72.73,53.26,57.45,100,58.76,99.02,56.73,59.05,56.44,55.79,58.59,61.68,100,100,100,73.08,70.71,68,67.31,100,69.89,68.82,100,58.33,85.15,68.13,54.64,55.1,64.17,100,100,61.95,43.64,60.91,58.42,99.01,33601062506,2329,69.2,47572,33458823710,1094697107,96.04,27.14,63.62,65.98,95
,,1,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:25:45Z,sdgp,host,30410891,54039914,807698336,96.88,100,52,65.66,68.1,72.22,100,59.38,59.6,100,100,55.32,55.06,56.18,60.2,100,61.05,60.87,100,51.02,56.52,57.73,100,58.42,100,52.13,64,53.93,19.39,100,25.74,29.33,48.21,100,52.04,100,75.76,73.96,100,73.68,100,100,74.75,74.75,100,55.67,59.18,100,53.19,55.68,100,27.17,100,50.55,100,59.55,100,100,55.43,56.52,57.73,54.74,33.68,46.94,54.55,48.39,100,53.06,60.19,100,49.47,61.29,41.38,96.08,58.7,59.14,60.44,100,67.01,100,100,64.65,95.88,61.22,100,59.79,61.22,58.89,59.79,100,53.68,64.58,57.14,55.43,57.29,100,56.84,100,68.27,66.67,65.66,74.23,62.5,78,100,100,100,60.38,58.18,48.48,62.93,100,64.29,69.61,100,100,53.01,100,55.32,58.42,63.79,63.3,100,57.14,57.52,35.64,60.91,100,36505757825,2696,70.4,46789,35820994539,1778605913,95.4,27.47,64.02,65.98,79
,,1,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:25:51Z,sdgp,host,27871273,44973931,707524716,51.09,59.6,66.33,51.82,57.94,58.93,100,57.45,53.19,100,100,58.65,55.79,63.73,62.62,100,62.5,58.1,100,48.19,55.32,56.44,100,45.78,100,81.91,57.65,64.86,62.75,79.8,63.46,86.87,61.17,100,63.64,100,71.15,69.07,100,67.82,100,100,69,74.76,100,57.58,61.76,100,57.58,58.42,100,100,57.14,58,100,100,100,100,0,58.41,50.56,56.86,100,100,55.32,52.69,100,54.46,53.19,100,53.47,84.04,51.58,100,62.5,58.16,62.63,100,66.99,100,48.84,53.61,100,60.19,100,54.81,55.66,51.09,43.88,100,62.24,57.73,53.93,62.83,53.06,100,49.46,61.11,70.19,68.18,68.52,63.73,67.33,65.66,100,100,100,52.75,46.39,55.88,52.08,100,61.54,53.12,100,98.02,53.47,62.24,56.57,66.67,22.86,58.33,100,54.17,43.52,44.55,44.58,100,34167599868,2152,70.9,46342,33836508572,1491441978,95.05,27.81,64.47,65.98,24
,,1,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:25:57Z,sdgp,host,27648360,44355043,697458252,70.71,100,65.96,55.86,60.36,50.51,100,68.32,68.32,100,100,64.13,64.29,69.07,60.22,100,56.44,57.89,100,54.46,52.87,50.55,100,59.82,100,100,53.76,52.75,57.41,53.47,56.73,55.66,51.69,100,67.02,100,55.21,50,88.46,100,100,100,99.02,67.37,100,97.03,52.63,100,61.62,54.64,100,100,56.52,53,45.54,100,100,100,100,0,57.43,50.55,100,62.26,100,59.6,100,51.49,55,100,62.04,45.26,59.62,100,57.58,57.29,55.45,100,62.89,100,66.32,62.38,100,59.14,100,60,58.42,61.05,60.38,100,54.74,51.09,53.61,100,55.32,36.56,55.1,52.75,54.9,52.53,43.3,51.52,57.58,58.33,100,100,100,25.27,48.45,8.08,0.99,100,57.89,71.43,100,56.7,100,68.37,45.45,55.56,55.34,60,100,60.95,57.61,54.17,61.47,100,33837176457,2436,70.3,45288,33524454844,1472525970,93.98,28.45,65.25,65.91,130
,,1,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:26:03Z,sdgp,host,26739593,42837327,664780060,19.78,100,52.38,63.64,58.33,54.44,100,57.43,54.26,100,100,52.69,51.61,52,49.46,100,52.69,52.58,100,62.5,0.99,56.73,100,55.32,100,100,53.68,54.08,57.43,47.87,54.08,55.1,57.01,100,49.06,100,59.14,62.86,100,100,100,100,100,70.53,100,100,55.88,100,54.84,56.44,100,100,53.47,55.1,54.95,100,100,100,100,52.34,57.73,51,100,74.55,100,61.86,100,57.89,63,100,62.14,63.54,63.54,100,64.29,65.66,69.07,100,63.27,100,53.76,50,100,54,100,52.94,46.74,53.06,50,100,100,100,35.16,100,49.51,21.28,17.17,52.04,68.27,67.65,67.31,58.7,65,66,100,100,100,56.19,56.19,56.04,51.09,100,54.9,50,100,60.91,100,52.69,53.54,57.14,61.7,55.1,100,54.64,45.26,50,50,100,32791739191,2719,72,44410,32489616393,1419864486,93.42,28.77,65.61,65.93,39
,,1,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:26:09Z,sdgp,host,29710693,52679614,836892016,38.46,100,100,57.73,31.87,54.55,100,52.17,56.86,100,100,48.86,50,100,56,100,60.22,56.38,100,53.92,47,53.26,100,53.06,100,100,56.57,15.69,37.11,53.06,56,50,53.61,100,68.32,100,100,48.45,100,100,100,100,100,51.58,100,100,54.37,100,63.64,59.41,100,100,63.27,60,60.4,100,100,100,100,1.98,35.48,42.39,100,61.05,59.57,65,100,58.06,60.82,100,61.86,59.41,50.53,100,52.13,52.58,50.51,100,69.31,100,69.9,64,100,60.64,100,58.7,59.79,63.21,60,100,53.54,51.11,61.76,100,100,58.59,100,56.57,67,67.65,64.71,82.69,100,67.68,100,100,100,55.45,52.13,56.31,93.07,100,53.85,60.78,100,53.45,56.86,69.15,49.51,60,64.71,48.28,100,59,62.86,49.04,48.48,100,32495329033,2015,72.4,44832,32592241390,1795988642,92.19,29.03,65.81,65.9,34
,,1,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:26:15Z,sdgp,host,23578224,36249760,557736732,60.44,100,100,64.95,61.05,74.29,100,59.22,53.68,56.12,54.17,100,57.29,100,100,100,57.14,55.56,100,52.17,0,56.12,100,56.84,100,100,0,0,45.45,55.43,56.25,53.76,55.1,100,62.63,100,100,58.33,100,100,100,100,100,52.69,100,100,100,100,45.65,55.24,100,61.11,54.35,50,61.7,100,100,100,100,46.32,50,0,100,100,77.66,71.72,100,68.42,69.79,100,93.81,75.51,100,100,64.04,100,70.65,100,56.12,100,63.83,59.38,100,42.39,100,54.55,100,45.37,56.12,100,55.06,100,100,100,0,47.87,53.54,63.81,70.97,100,64.52,67.03,68.57,69.81,100,100,68.18,70.53,71.76,71.88,71.13,100,74.23,69.15,100,63.64,63.81,67,100,100,56.18,59.79,100,100,100,52.48,52.63,100,29711097640,1985,75,37892,29518940131,1190596774,91.29,29.31,66.07,65.92,113
,,1,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:26:21Z,sdgp,host,22004438,33988003,501943815,62.38,100,100,67.35,61.11,40.4,100,100,73.27,100,71.28,100,70.1,100,69,100,25,49.44,100,21.28,51.69,38.2,100,60.19,100,100,58.1,46.32,16.67,57.28,66.35,51.11,54.74,100,65.31,100,100,39.36,100,100,100,100,100,42.86,100,100,100,100,55.42,60.67,100,100,100,66.02,69,100,100,100,60.78,36.46,57.84,58.59,100,53.19,48.35,100,100,54.17,54.74,100,58,85,100,100,62,100,63.46,100,68.69,100,56.38,63.54,100,100,100,100,100,62.28,64.76,100,59.6,100,95.96,100,62.5,68.75,63.54,48.84,68.54,100,67.37,59.55,65.96,65.35,100,100,69.57,55.43,57,58.33,59.8,100,58.43,62.24,100,67.35,100,73.96,100,100,59.22,55.56,100,100,78.79,40.91,71.58,100,27439473827,2394,76.9,34171,27175065001,1071234056,91.75,29.68,66.58,65.94,37
,,1,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:26:27Z,sdgp,host,21228900,34251734,492093946,51.55,100,0,55.67,43.16,45.74,100,100,68.93,66.34,67.35,100,67.68,100,67.37,100,48.39,55.67,100,64.6,63.44,56.44,100,56.04,100,100,32.35,51.11,55.45,49.09,100,29.59,54.21,100,100,100,100,66.38,100,100,100,100,100,46.51,100,100,100,100,57.29,64.89,100,51.52,100,61.96,73,100,100,100,66.35,43.3,55.1,53.92,100,100,63.37,100,100,61.76,60.42,100,57.14,47.83,100,100,50.54,100,68.69,100,65.69,100,61.7,60.92,100,100,100,100,100,45.56,55.1,100,9.9,55.56,53.19,100,100,58.82,33.66,56.32,68.89,100,71.11,100,66.67,72.16,100,100,100,40.51,53.76,65.31,69.09,100,59.22,100,100,100,100,100,42.71,100,55.1,42.17,100,100,60.2,52.63,47.25,100,27198350283,1891,77.4,34689,26775402632,1037132291,91.3,30.31,67.3,65.95,35
,,1,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:26:33Z,sdgp,host,24278881,46626013,644846315,72.92,100,100,60.22,65.71,66.67,100,100,53.61,45.19,54.55,53.26,100,100,31.31,100,100,46.46,100,61.32,59.81,47.78,100,64.13,100,100,56.44,48.98,60.4,52.22,100,59.41,53.26,100,100,100,100,54.64,100,100,59.57,100,100,54.26,100,48.89,100,100,55.45,100,100,58.06,100,65.26,100,100,100,100,55.1,49.45,51.09,25,100,76.24,73,100,100,90.1,64.52,100,70.53,68.69,83.33,100,67.96,100,66.67,100,61.46,100,64.76,64.95,100,100,100,100,100,100,58.33,100,60.19,100,59,100,100,100,47.78,54.37,62.24,50,52.63,47.96,50,53.76,100,100,68.93,1,58,100,51.06,100,100,100,100,100,2.04,100,100,100,44.44,100,57.14,99.01,59.52,67.02,67.65,100,28944359221,1373,79.1,30910,28839389772,1389843011,92.88,30.74,68.03,65.96,98
,,1,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:26:39Z,sdgp,host,27281826,51920501,860092206,57.47,100,100,63.33,56.84,62.77,100,100,62.64,65.26,64.13,100,100,100,65.98,100,100,99.01,100,100,60,67.65,100,60.61,100,100,10.1,55.88,11,43.01,100,36.36,17.02,100,100,100,90,61.82,100,100,57.73,100,100,64.44,100,63.27,100,100,60.2,92,100,100,100,60.64,56.7,100,100,100,52.17,58.76,62.63,62.89,100,83.17,73.91,100,100,100,69.89,100,69.57,62.38,65.71,100,58.76,100,56.52,100,52.87,100,72.28,59,100,100,100,100,100,100,100,58,55.79,100,52.81,100,100,100,59.78,100,58,100,54.17,73.47,50,100,94.12,100,0,56.25,100,49.02,100,100,100,100,100,62.64,53.12,100,100,100,54,100,53.76,100,100,63.16,51.55,100,26160699999,1934,80.9,46871,25971146628,1837745487,93.69,31.13,68.61,65.97,43
,,1,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:26:45Z,sdgp,host,20112218,32063977,461104464,46.51,100,100,63.83,55.79,61.62,100,100,58.24,59.57,67.57,100,100,100,61.05,100,100,44.68,100,68.87,91.09,29.9,100,78.12,100,100,61.05,63.37,59.41,65.42,100,56.86,58.89,100,100,100,61.96,72.83,100,100,100,100,100,70.83,100,63.11,66.98,100,59,100,100,100,100,61.76,68.27,100,100,100,43.75,59.38,51.46,100,100,61.11,100,100,100,100,65.66,100,66.99,100,65.35,100,59.38,100,45.63,100,49.46,100,48.42,16.48,100,100,100,100,100,72,100,100,59.57,100,100,65.74,38.78,59.18,100,100,55.79,89.11,47.17,100,100,92,100,100,48.39,100,100,1,100,100,100,100,100,62.5,59.34,100,100,100,50,100,51.65,99.01,62.22,67.35,62.75,100,23687514123,1559,81.9,28270,23275323272,986537219,94.68,31.53,69.23,65.97,72
,,1,2023-06-18T07:44:29.066914023Z,2023-06-19T07:44:29.066914023Z,2023-06-19T07:26:52Z,sdgp,host,20596437,45821663,816260988,100,100,100,58.24,58.7,67.71,100,100,76.24,94.17,76.47,100,100,100,72.04,100,95.05,60.44,62.77,78.02,100,95.05,68,57.43,100,100,66.04,36.17,57.29,100,100,63,53.41,100,100,100,56.12,61.62,100,100,100,100,100,67.01,100,68.18,45.56,100,67.89,59.18,100,100,100,100,62.11,100,100,100,53.54,54.44,100,100,100,92.23,100,100,75.26,72.34,100,100,100,59.79,100,92,64.04,75.56,59.18,100,50.53,100,61.96,100,100,100,100,100,100,68.75,100,100,100,100,100,54.08,100,93.81,100,45.56,100,100,57.14,100,100,65.69,100,100,85.29,100,0,1,100,100,100,100,100,55.91,52.58,100,100,100,55.45,100,59.18,100,66.67,59.55,100,100,29876566821,1710,84.8,22024,29753565743,2416304409,95.23,32.25,70.19,65.97,103
