#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-05-15T14:39:58.581769993Z,2023-07-05T14:39:58.581769993Z,2023-07-05T14:29:33Z,sdgp,bmc,43,42,41,40.5,0,0,0,0,38.5,38.5,33.5,5336,32,120,228.5,4616,27,128,228.5
,,0,2023-05-15T14:39:58.581769993Z,2023-07-05T14:39:58.581769993Z,2023-07-05T14:30:11Z,sdgp,bmc,44,43,42,41,0,0,0,0,38.5,41,34,5336,34,121,228.75,4648,28,128,228.5
,,0,2023-05-15T14:39:58.581769993Z,2023-07-05T14:39:58.581769993Z,2023-07-05T14:30:55Z,sdgp,bmc,45,44.5,44.5,43.5,0,0,0,0,39,44,34,5544,35,122,228.75,4888,29,129,229
,,0,2023-05-15T14:39:58.581769993Z,2023-07-05T14:39:58.581769993Z,2023-07-05T14:31:24Z,sdgp,bmc,46,45,46,44.5,0,0,0,0,39,45.5,34.5,5784,36,119,227.75,5064,29,134,228
,,0,2023-05-15T14:39:58.581769993Z,2023-07-05T14:39:58.581769993Z,2023-07-05T14:31:51Z,sdgp,bmc,46.5,46,47,46,0,0,0,0,39.5,46.5,34.5,6056,36,120,228,5128,29,135,228.25
,,0,2023-05-15T14:39:58.581769993Z,2023-07-05T14:39:58.581769993Z,2023-07-05T14:32:17Z,sdgp,bmc,47,47,48,46.5,0,0,0,0,39.5,48,34.5,6120,37,121,228,5368,30,136,228.25
,,0,2023-05-15T14:39:58.581769993Z,2023-07-05T14:39:58.581769993Z,2023-07-05T14:32:42Z,sdgp,bmc,47.5,47.5,49,47.5,0,0,0,0,40,49,35,6416,38,122,228.25,5544,30,136,228
,,0,2023-05-15T14:39:58.581769993Z,2023-07-05T14:39:58.581769993Z,2023-07-05T14:33:08Z,sdgp,bmc,48,48,50,48.5,0,0,0,0,40,50,35,6504,39,123,228.25,5544,31,138,228.5
,,0,2023-05-15T14:39:58.581769993Z,2023-07-05T14:39:58.581769993Z,2023-07-05T14:33:37Z,sdgp,bmc,49,49,51.5,49.5,0,0,0,0,40,51.5,35,6720,40,123,228.5,5544,31,139,228.75
,,0,2023-05-15T14:39:58.581769993Z,2023-07-05T14:39:58.581769993Z,2023-07-05T14:34:07Z,sdgp,bmc,49.5,49.5,52.5,51,0,0,0,0,40.5,52.5,35.5,7888,41,121,228.5,5816,33,138,228.25
,,0,2023-05-15T14:39:58.581769993Z,2023-07-05T14:39:58.581769993Z,2023-07-05T14:34:39Z,sdgp,bmc,50,50.5,54,52,0,0,0,0,40.5,53.5,35.5,8656,41,125,228.5,5816,33,140,228.25
,,0,2023-05-15T14:39:58.581769993Z,2023-07-05T14:39:58.581769993Z,2023-07-05T14:35:07Z,sdgp,bmc,50.5,51,55,52.5,0,0,0,0,41,54.5,36,9296,42,126,228.25,6056,34,142,228
,,0,2023-05-15T14:39:58.581769993Z,2023-07-05T14:39:58.581769993Z,2023-07-05T14:35:36Z,sdgp,bmc,51,51.5,55.5,53.5,0,0,0,0,41,55,36,9920,43,127,227.25,6088,34,142,227.25
,,0,2023-05-15T14:39:58.581769993Z,2023-07-05T14:39:58.581769993Z,2023-07-05T14:36:32Z,sdgp,bmc,51.5,52,57,55,0,0,0,0,41.5,56.5,36.5,10368,43,128,227.25,6088,35,143,227.25
,,0,2023-05-15T14:39:58.581769993Z,2023-07-05T14:39:58.581769993Z,2023-07-05T14:37:01Z,sdgp,bmc,52.5,53,58.5,56.5,0,0,0,0,41.5,57,37,11296,44,126,227.25,6264,35,143,227.75
,,0,2023-05-15T14:39:58.581769993Z,2023-07-05T14:39:58.581769993Z,2023-07-05T14:37:30Z,sdgp,bmc,53,53.5,59.5,56.5,0,0,0,0,42,57.5,37.5,12000,44,128,227.5,6264,36,144,227.5

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,branch_misses,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_cycles,cpu_migrations,cpu_usage,ctx_switches,cycles,instructions,load_1,load_15,load_5,mem_usage,page_faults
,,1,2023-05-15T14:39:58.581769993Z,2023-07-05T14:39:58.581769993Z,2023-07-05T14:29:13Z,sdgp,host,150759,591803,15930760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118175326,0,0.4,357,114829082,42339420,0.27,0.35,0.61,3.52,4
,,1,2023-05-15T14:39:58.581769993Z,2023-07-05T14:39:58.581769993Z,2023-07-05T14:29:18Z,sdgp,host,149425,499603,10283471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74812958,0,0.3,620,71452281,23232632,0.24,0.35,0.6,3.51,4
,,1,2023-05-15T14:39:58.581769993Z,2023-07-05T14:39:58.581769993Z,2023-07-05T14:29:24Z,sdgp,host,5537483,12002733,382750757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1584536165,0,0.4,19364,1581138964,897515064,0.22,0.35,0.59,3.51,44
,,1,2023-05-15T14:39:58.581769993Z,2023-07-05T14:39:58.581769993Z,2023-07-05T14:29:29Z,sdgp,host,134542,454822,9707508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,70998159,0,0.3,384,67639520,22551284,0.45,0.36,0.63,3.51,9
,,1,2023-05-15T14:39:58.581769993Z,2023-07-05T14:39:58.581769993Z,2023-07-05T14:29:35Z,sdgp,host,142160,472162,9892081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.85,0,2,1,0,0,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76065350,0,0.3,610,72535372,23210391,0.41,0.36,0.62,3.51,4
,,1,2023-05-15T14:39:58.581769993Z,2023-07-05T14:39:58.581769993Z,2023-07-05T14:29:40Z,sdgp,host,174800,489423,11442568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77253058,1,0.3,358,73576904,27809662,0.54,0.37,0.64,3.51,4
,,1,2023-05-15T14:39:58.581769993Z,2023-07-05T14:39:58.581769993Z,2023-07-05T14:29:46Z,sdgp,host,126210,468373,9503717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72831706,1,0.7,306,70437550,22519516,0.62,0.37,0.65,3.51,5
,,1,2023-05-15T14:39:58.581769993Z,2023-07-05T14:39:58.581769993Z,2023-07-05T14:29:51Z,sdgp,host,3714886,8812931,276604296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201044397,25,0.3,1064,1198040818,650041951,0.57,0.37,0.64,3.51,10716
,,1,2023-05-15T14:39:58.581769993Z,2023-07-05T14:39:58.581769993Z,2023-07-05T14:29:57Z,sdgp,host,127165,450310,9276489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70155929,1,0.3,311,66769974,21836258,0.6,0.37,0.65,3.51,4
,,1,2023-05-15T14:39:58.581769993Z,2023-07-05T14:39:58.581769993Z,2023-07-05T14:30:02Z,sdgp,host,145940,549567,14397880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90843481,0,0.3,572,94560140,33729166,0.55,0.37,0.64,3.51,6
