#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:44:23Z,sdgp,bmc,39,38.5,36.5,36,0,0,0,0,37.5,36,34,4888,31,118,228,4528,27,125,228.25
,,0,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:44:53Z,sdgp,bmc,39.5,39.5,38,37,0,0,0,0,37.5,38,34,5040,32,119,228.25,4528,27,126,228.25
,,0,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:45:45Z,sdgp,bmc,41.5,41.5,40.5,39.5,0,0,0,0,38,41.5,34.5,5336,33,120,227.75,4648,28,126,227.5
,,0,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:46:12Z,sdgp,bmc,42.5,43,42,41,0,0,0,0,38.5,43.5,34.5,5488,34,121,227,4888,29,127,227
,,0,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:46:39Z,sdgp,bmc,43.5,44,43.5,42.5,0,0,0,0,38.5,45,34.5,5848,35,119,227,5064,29,132,227.25
,,0,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:47:07Z,sdgp,bmc,44.5,45,45,44,0,0,0,0,39,46,34.5,5816,36,122,227.5,5064,30,130,227.5
,,0,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:47:35Z,sdgp,bmc,45,46,46.5,45.5,0,0,0,0,39,47.5,34.5,6088,36,120,227.25,5336,30,134,227.75
,,0,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:48:42Z,sdgp,bmc,46.5,47.5,49,47.5,0,0,0,0,39.5,50,35,6240,38,120,227.25,5544,31,135,227
,,0,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:49:13Z,sdgp,bmc,48,48.5,50.5,49,0,0,0,0,40,51.5,35.5,6720,39,122,227,5784,32,137,227.25
,,0,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:49:39Z,sdgp,bmc,48.5,49.5,52,50.5,0,0,0,0,40,52.5,35.5,7440,40,122,227.5,5784,33,138,227.5
,,0,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:50:05Z,sdgp,bmc,49,50,53,51.5,0,0,0,0,40.5,53.5,36,8336,41,124,227.5,6088,34,139,227.25
,,0,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:50:32Z,sdgp,bmc,49.5,50.5,54,52.5,0,0,0,0,40.5,54.5,36,9024,43,124,226.75,6088,34,140,226.75
,,0,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:50:59Z,sdgp,bmc,50,51,55,53.5,0,0,0,0,41,55.5,36.5,9472,43,125,226.75,6088,34,141,226.75
,,0,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:51:28Z,sdgp,bmc,51,52,56,54.5,0,0,0,0,41,56,36.5,10224,43,126,226.75,6264,35,143,227
,,0,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:51:58Z,sdgp,bmc,51.5,52.5,57,55.5,0,0,0,0,41.5,57,37,10848,44,124,226.75,6264,35,140,227
,,0,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:52:27Z,sdgp,bmc,52,53,58.5,56.5,0,0,0,0,41.5,57.5,37,11088,44,128,227,6264,36,144,227.25
,,0,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:52:53Z,sdgp,bmc,52.5,53.5,59,57,0,0,0,0,42,58,37,11808,44,125,227,6568,36,142,226.75

#group,false,false,true,true,false,true,true,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double
#default,_result,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,name
,,1,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:44:18Z,sdgp,eventgen,53
,,1,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:45:08Z,sdgp,eventgen,56
,,1,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:46:45Z,sdgp,eventgen,57
,,1,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:47:21Z,sdgp,eventgen,59
,,1,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:48:59Z,sdgp,eventgen,60
,,1,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:49:29Z,sdgp,eventgen,64
,,1,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:49:40Z,sdgp,eventgen,66
,,1,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:49:48Z,sdgp,eventgen,67
,,1,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:50:02Z,sdgp,eventgen,68
,,1,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:50:45Z,sdgp,eventgen,70
,,1,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:51:25Z,sdgp,eventgen,72
,,1,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:51:38Z,sdgp,eventgen,74
,,1,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:52:21Z,sdgp,eventgen,75
,,1,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:52:59Z,sdgp,eventgen,76

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,branch_misses,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_cycles,cpu_migrations,cpu_usage,ctx_switches,cycles,instructions,load_1,load_15,load_5,mem_usage,page_faults
,,2,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:43:57Z,sdgp,host,4269593,2604691,733674967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,8.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033253569,0,0.4,618,1018907023,1769218294,0.99,0.42,0.54,3.6,7
,,2,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:44:02Z,sdgp,host,9972355,12115360,1525817932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,9.09,0,2,0,5.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,2448366656,0,1.1,4285,2438041402,3664543803,1.07,0.43,0.58,3.61,849
,,2,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:44:08Z,sdgp,host,5848761,3634459,1015971159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.99,0,0,4.95,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393998249,0,0.4,567,1377719023,2444935048,1.06,0.44,0.58,3.61,8
,,2,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:44:13Z,sdgp,host,7841217,8861479,1281424559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,2.02,18,0,0,0,0,0,0,0,1,0.99,0,0.99,0,0.99,0,0,0,18.81,0.99,0.99,1,0.99,1,0.99,0,0,7.07,0,0,0.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,59,0,0.99,1,1,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1860753536,1,2,628,1865158851,3059539432,1.06,0.44,0.59,3.61,1229
,,2,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:44:19Z,sdgp,host,6022502,3777697,1043919743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.77,58.51,0,1,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1429721798,1,0.3,800,1415322533,2511517653,1.13,0.45,0.61,3.61,5
,,2,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:44:24Z,sdgp,host,5085684,8213586,648042437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170809520,11,1.1,884,1175676453,1533275633,1.12,0.45,0.62,3.62,3707
,,2,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:44:30Z,sdgp,host,9518058,5684456,1661577055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,2.94,0,30,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,2214649624,2,0.9,437,2208096566,3983011108,1.11,0.46,0.63,3.63,4
,,2,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:44:35Z,sdgp,host,3862744,6883663,546072898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,916678675,1,1.1,856,909245035,1316293907,1.1,0.46,0.63,3.55,811
,,2,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:44:41Z,sdgp,host,9519582,5371838,1661588067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,26.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2172501586,2,1,307,2165340289,3983420213,1.01,0.46,0.62,3.55,6
,,2,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:44:46Z,sdgp,host,149595,522029,10492416,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,2.97,0,0,7,3.92,6,2,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,79405077,0,0.6,604,75817707,23670150,1.01,0.46,0.63,3.54,5
,,2,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:44:52Z,sdgp,host,5294648,11524587,354395206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1493341758,5,0.3,19262,1490101160,820947471,0.93,0.46,0.62,3.54,153
,,2,2023-05-15T14:53:50.265026461Z,2023-07-05T14:53:50.265026461Z,2023-07-05T14:44:57Z,sdgp,host,122600,480797,9865146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72717957,0,0.3,324,67924571,22769851,0.86,0.46,0.61,3.54,5
