#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T14:57:41Z,sdgp,bmc,47,45,43,42,0,0,0,0,42.5,41,38,6264,34,119,226,5280,29,122,226
,,0,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T14:58:07Z,sdgp,bmc,48,46,44.5,43.5,0,0,0,0,42.5,43,38,6600,35,121,225.75,5304,30,127,226
,,0,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T14:58:33Z,sdgp,bmc,48.5,47,46,44.5,0,0,0,0,42.5,45,38,6536,36,121,226,5544,30,128,225.75
,,0,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T14:58:59Z,sdgp,bmc,49,47.5,47,45.5,0,0,0,0,43,45.5,38,6504,36,122,225.75,5520,31,130,226
,,0,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T14:59:22Z,sdgp,bmc,49.5,48.5,48,46,1365,1352,1359,1362,43,46,38,6688,36,119,226,5544,31,134,226
,,0,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T14:59:46Z,sdgp,bmc,50,49,48.5,46.5,1365,1344,1364,1364,43.5,46,38.5,6688,36,123,226,5696,31,130,229
,,0,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T15:00:10Z,sdgp,bmc,50.5,49.5,49,47,3010,3031,3028,3028,44,45.5,38.5,6688,36,120,229,5784,30,136,229.25
,,0,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T15:00:33Z,sdgp,bmc,51,49.5,49.5,47.5,3002,3026,3024,3014,44,44.5,39,6720,35,121,228.5,5784,30,129,228.5
,,0,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T15:00:56Z,sdgp,bmc,51,50,49.5,47.5,3006,3027,3025,3017,44.5,43.5,39,6960,35,122,228.5,5520,30,129,228.75
,,0,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T15:01:20Z,sdgp,bmc,51,49.5,49.5,47,4454,4491,4483,4474,44.5,42.5,39.5,6840,34,123,228.25,5544,30,138,228.5
,,0,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T15:01:43Z,sdgp,bmc,51,49,49,47,4452,4493,4488,4473,44.5,41.5,39.5,6744,33,122,228.5,5544,29,137,228.5
,,0,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T15:02:08Z,sdgp,bmc,50.5,48.5,48.5,46.5,4457,5218,5945,5883,45,40.5,39.5,6720,33,120,228.25,5544,29,130,228.5
,,0,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T15:02:32Z,sdgp,bmc,50,47.5,47.5,45.5,6074,6136,6112,6099,44.5,39.5,39,6688,32,128,228.25,5520,29,136,228.75
,,0,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T15:03:24Z,sdgp,bmc,49,46.5,46,44,6072,6124,6114,6100,44,38,38.5,6504,32,127,228.25,5336,28,135,228.25
,,0,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T15:03:47Z,sdgp,bmc,47.5,45,44,42.5,7489,7561,7540,7527,43.5,37,38.5,6264,31,128,228.5,5096,28,143,228.5
,,0,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T15:04:10Z,sdgp,bmc,46,44,43,41.5,9102,9152,9221,9192,43,36.5,38,6088,31,128,228.25,5064,28,155,228.25
,,0,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T15:04:33Z,sdgp,bmc,45,43,42,40.5,9092,9173,9160,9124,42.5,36,37.5,5784,30,139,228.25,4888,28,151,228.25
,,0,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T15:04:57Z,sdgp,bmc,44,42,40.5,39.5,9091,9173,9151,9127,42,35.5,37.5,5784,30,138,228.5,4616,28,150,228.75
,,0,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T15:05:20Z,sdgp,bmc,42.5,41,39.5,38.5,10678,10765,10742,10718,41,35.5,37,5520,30,153,228,4648,27,159,227.75
,,0,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T15:06:01Z,sdgp,bmc,41.5,40,38.5,37,10674,10765,10734,10710,40,35,36,5336,30,152,228,4528,27,160,227.5
,,0,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T15:06:33Z,sdgp,bmc,39.5,38.5,37,36.5,12126,12218,12190,12162,39,34.5,35.5,4888,29,168,227.75,4528,27,175,227.75
,,0,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T15:06:56Z,sdgp,bmc,39,38,36.5,36,12121,12226,12208,12167,38.5,34,35,4888,29,168,227.5,4560,27,175,227.75
,,0,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T15:07:19Z,sdgp,bmc,38,37.5,36,35.5,13698,13814,13784,13734,38,34,34.5,4616,29,188,227.5,4528,27,197,227.75
,,0,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T15:07:42Z,sdgp,bmc,38,37,35.5,35,13706,13814,13769,13744,37.5,34,34,4528,29,188,227.75,4496,27,198,227.75
,,0,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T15:08:07Z,sdgp,bmc,37.5,37,35.5,35,13706,13829,13780,13740,37,33.5,34,4528,29,188,227.5,4528,27,198,227

#group,false,false,true,true,false,true,true,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double
#default,_result,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,name
,,1,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T14:57:01Z,sdgp,eventgen,59
,,1,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T14:59:12Z,sdgp,eventgen,61
,,1,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T15:00:06Z,sdgp,eventgen,64
,,1,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T15:00:55Z,sdgp,eventgen,66
,,1,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T15:01:17Z,sdgp,eventgen,69
,,1,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T15:02:08Z,sdgp,eventgen,78
,,1,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T15:03:12Z,sdgp,eventgen,85
,,1,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T15:04:12Z,sdgp,eventgen,87
,,1,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T15:05:05Z,sdgp,eventgen,90
,,1,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T15:06:10Z,sdgp,eventgen,94
,,1,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T15:07:18Z,sdgp,eventgen,96
,,1,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T15:08:12Z,sdgp,eventgen,99

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,branch_misses,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_cycles,cpu_migrations,cpu_usage,ctx_switches,cycles,instructions,load_1,load_15,load_5,mem_usage,page_faults
,,2,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T14:56:43Z,sdgp,host,172007,624947,16449672,0,0.99,1,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0.99,0,2,0,0,0,0,0.99,0,0,35,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,7.07,8,11,1,7.84,0,2,18.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,125085543,0,0.4,594,121235002,43116748,0.64,0.48,0.58,3.57,4
,,2,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T14:56:48Z,sdgp,host,135975,467772,9863595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72569085,0,0.3,368,68542727,22385090,0.66,0.48,0.59,3.57,5
,,2,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T14:56:54Z,sdgp,host,143629,601102,10981686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88005966,0,0.3,375,85972474,26058749,0.64,0.48,0.59,3.58,4
,,2,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T14:56:59Z,sdgp,host,136485,536924,10450694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81604035,0,0.3,407,78151381,24851168,0.59,0.48,0.58,3.57,4
,,2,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T14:57:05Z,sdgp,host,128578,491040,9814057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75457295,0,0.3,355,71901730,23334738,0.62,0.48,0.59,3.57,5
,,2,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T14:57:10Z,sdgp,host,144272,483446,10286083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,76422198,0,0.3,632,73128189,24074654,0.57,0.48,0.58,3.57,4
,,2,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T14:57:16Z,sdgp,host,137101,503971,10254018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77780838,0,0.3,397,73783122,23591481,0.61,0.48,0.58,3.57,4
,,2,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T14:57:21Z,sdgp,host,4413295,10305807,317880707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311061570,1,0.3,19016,1314084709,721004016,0.56,0.48,0.57,3.57,7
,,2,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T14:57:27Z,sdgp,host,144309,554485,10765810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84857893,0,0.3,617,80125581,24653096,0.59,0.48,0.58,3.56,4
,,2,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T14:57:33Z,sdgp,host,880751,1437023,47294702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.59,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252109349,2,0.3,443,235946575,133489515,0.55,0.48,0.57,3.57,61
,,2,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T14:57:38Z,sdgp,host,228870,682418,14252807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97894197,0,0.3,522,93302068,33193904,0.58,0.48,0.58,3.57,4
,,2,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T14:57:44Z,sdgp,host,139633,571159,10766302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.99,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88470962,0,1.3,394,82524850,25155639,0.54,0.48,0.57,3.56,4
,,2,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T14:57:49Z,sdgp,host,137771,550372,10586777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80744204,0,0.3,376,76157445,24688426,0.67,0.49,0.6,3.57,4
,,2,2023-05-15T15:08:53.929281483Z,2023-07-05T15:08:53.929281483Z,2023-07-05T14:57:55Z,sdgp,host,156429,571159,10844068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88124643,0,0.4,662,84133419,25743792,0.7,0.49,0.61,3.56,4
