#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:06:03Z,sdgp,bmc,42,42,41,40,1709,1709,1686,1681,38,39,34,5336,31,121,229.25,4616,27,127,229.5
,,0,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:06:27Z,sdgp,bmc,42.5,43,41.5,40.5,1703,1691,1686,1686,38.5,39,34,5336,31,121,229.25,4920,27,127,229.5
,,0,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:06:51Z,sdgp,bmc,43.5,43.5,42.5,41.5,1683,1695,1685,1692,38.5,39.5,34.5,5520,31,121,229.75,4888,27,127,229.25
,,0,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:07:15Z,sdgp,bmc,44,44,43,42,1702,1698,1675,1688,39,40,35,5520,32,120,229,4888,28,128,229.25
,,0,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:07:41Z,sdgp,bmc,45,44.5,43.5,42.5,1674,1696,1684,1691,39.5,40.5,35.5,5520,32,121,229.75,4888,28,128,229.5
,,0,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:08:28Z,sdgp,bmc,45.5,45.5,44.5,43,1706,1690,1686,1698,40,41,36,5784,32,122,229.25,4888,28,128,229.5
,,0,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:08:56Z,sdgp,bmc,46.5,46.5,45,43.5,1701,1689,1681,1684,40.5,41,36.5,5816,33,122,229.5,5096,28,129,229.75
,,0,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:09:20Z,sdgp,bmc,47,47,45.5,44,1707,1695,1677,1690,40.5,41.5,36.5,6056,33,122,229.5,5096,28,129,229.5
,,0,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:09:45Z,sdgp,bmc,47.5,47,46,44.5,1676,1693,1695,1688,41,41.5,37,6088,33,122,229.75,5064,28,129,229.5
,,0,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:10:09Z,sdgp,bmc,48,47.5,46.5,44.5,1678,1700,1682,1695,41.5,42,37.5,6088,33,121,229.5,5096,28,130,229.5
,,0,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:10:34Z,sdgp,bmc,48.5,48,47,45,1709,1696,1679,1688,41.5,42,37.5,6264,33,122,229.75,5096,28,129,230
,,0,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:10:58Z,sdgp,bmc,49,48.5,47,45.5,1676,1694,1694,1683,42,42.5,38,6240,34,122,229.75,5096,28,129,229.75
,,0,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:11:23Z,sdgp,bmc,49.5,49,47.5,45.5,1674,1696,1694,1690,42,42.5,38,6240,34,119,229.5,5064,28,134,229.5
,,0,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:11:47Z,sdgp,bmc,50,49,48,46,1669,1694,1682,1691,42.5,42.5,38.5,6240,34,120,229.5,5368,29,127,229.75
,,0,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:12:12Z,sdgp,bmc,50,49.5,48,46,1700,1702,1688,1686,43,43,39,6416,34,120,229.75,5336,29,127,229.75
,,0,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:12:36Z,sdgp,bmc,50.5,49.5,48.5,46,1671,1690,1688,1689,43,43,39,6536,34,119,229.75,5368,29,134,229.75
,,0,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:13:01Z,sdgp,bmc,51,50,49,46,1701,1698,1686,1685,43.5,43,39.5,6536,34,119,229.75,5336,29,134,229.5
,,0,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:13:25Z,sdgp,bmc,51.5,50,49,46.5,1707,1697,1688,1702,43.5,43,39.5,6536,34,119,229.5,5336,29,134,229.75
,,0,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:13:55Z,sdgp,bmc,51.5,50.5,49.5,46.5,1699,1687,1693,1693,44,43.5,40,6536,34,120,229.75,5488,29,134,230.25
,,0,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:14:43Z,sdgp,bmc,52.5,51,49.5,47,1705,1705,1679,1685,44.5,43.5,40.5,6720,35,123,230,5520,29,130,230
,,0,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:15:07Z,sdgp,bmc,52.5,51,50,47,1702,1701,1694,1697,45,43.5,40.5,6744,35,120,229.5,5544,29,134,230.25
,,0,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:15:32Z,sdgp,bmc,53,51.5,50,47,1703,1694,1694,1695,45,44,41,6720,35,120,230,5544,29,134,230
,,0,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:15:57Z,sdgp,bmc,53,51.5,50.5,47.5,1674,1705,1695,1696,45,44,41,6720,35,120,229.75,5544,29,135,230
,,0,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:16:21Z,sdgp,bmc,53.5,52,50.5,47.5,1682,1694,1693,1685,45.5,44,41,6688,35,123,230,5544,29,131,230
,,0,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:16:46Z,sdgp,bmc,53.5,52,51,47.5,1704,1692,1676,1697,45.5,44,41.5,6984,35,120,229.75,5544,29,134,230

#group,false,false,true,true,false,true,true,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string
#default,_result,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,name
,,1,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:07:15Z,sdgp,eventgen,startprediction

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,branch_misses,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_cycles,cpu_migrations,cpu_usage,ctx_switches,cycles,instructions,load_1,load_15,load_5,mem_usage,page_faults
,,2,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:05:56Z,sdgp,host,141139,534780,10309126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76767240,0,0.4,368,73713853,23902839,0.39,0.53,0.56,3.66,4
,,2,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:06:02Z,sdgp,host,5166362,11776832,352970734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1493460754,1,0.3,19158,1490424525,817879868,0.33,0.52,0.54,3.65,126
,,2,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:06:08Z,sdgp,host,132175,490102,9985710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72590960,0,0.3,344,69763064,22706931,0.3,0.52,0.54,3.66,6
,,2,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:06:13Z,sdgp,host,165494,623655,16693650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,29.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,21.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116805891,1,0.3,371,112542648,43647809,0.28,0.52,0.53,3.66,4
,,2,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:06:19Z,sdgp,host,148501,510564,10238598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74779036,1,0.3,583,69673080,23568358,0.26,0.51,0.52,3.66,5
,,2,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:06:24Z,sdgp,host,134070,457246,9559474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67341869,1,0.3,351,64056727,22124677,0.24,0.51,0.51,3.66,4
,,2,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:06:30Z,sdgp,host,175549,535113,11871065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77062857,0,0.4,341,73702438,29615935,0.22,0.51,0.5,3.66,4
,,2,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:06:35Z,sdgp,host,150564,502331,10148331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74528601,0,0.3,585,71979860,23210827,0.28,0.51,0.51,3.66,6
,,2,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:06:41Z,sdgp,host,136073,472406,9698602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70192406,0,0.4,357,66502807,22241783,0.26,0.51,0.5,3.66,6
,,2,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:06:46Z,sdgp,host,141221,571858,10743159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80158100,2,0.3,342,76775613,24881304,0.24,0.5,0.49,3.66,5
,,2,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:06:52Z,sdgp,host,4880553,11849341,338416424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1448549397,2,0.3,19123,1453257421,767149117,0.22,0.5,0.48,3.66,6
,,2,2023-05-15T16:17:03.859839998Z,2023-07-05T16:17:03.859839998Z,2023-07-05T16:06:57Z,sdgp,host,137754,514289,9962779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74231823,0,0.3,341,69932586,23299537,0.26,0.5,0.48,3.66,4
