#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T16:56:23Z,sdgp,bmc,58.5,55.5,53.5,50,1706,1699,1688,1685,50,44.5,44.5,8240,35,120,228,5728,30,128,228.5
,,0,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T16:56:54Z,sdgp,bmc,58.5,55.5,53.5,49,1702,1692,1687,1695,50,44.5,44.5,8184,35,120,228.25,5664,29,128,228.25
,,0,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T16:57:25Z,sdgp,bmc,58.5,55.5,53.5,49,1705,1691,1681,1702,50,44.5,44.5,8160,35,120,228.25,5728,29,127,228.5
,,0,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T16:58:05Z,sdgp,bmc,58.5,55.5,53.5,49,1707,1683,1687,1698,50,44.5,44.5,8160,35,120,228.5,5520,29,127,228.5
,,0,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T16:58:41Z,sdgp,bmc,58.5,55.5,53.5,49,1700,1699,1691,1689,50.5,44.5,44.5,8160,35,120,228.25,5544,29,127,228.75
,,0,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T16:59:15Z,sdgp,bmc,58.5,55.5,53.5,49,1670,1688,1684,1684,50,44,44.5,8184,35,120,228.75,5544,29,127,228.5
,,0,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T16:59:47Z,sdgp,bmc,58.5,55.5,53.5,49,1700,1685,1688,1680,50.5,44,44.5,8184,35,119,228.5,5520,29,127,228.5
,,0,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T17:00:19Z,sdgp,bmc,58.5,55.5,53.5,49,1677,1694,1680,1703,50.5,44,44.5,8184,35,120,228.25,5544,29,127,228.75
,,0,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T17:00:51Z,sdgp,bmc,58.5,55.5,53.5,49,1673,1699,1692,1688,50.5,44,44.5,7920,34,120,228.25,5544,29,127,228.5
,,0,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T17:01:26Z,sdgp,bmc,58.5,55.5,53.5,49,1710,1696,1687,1697,50.5,44,44,8128,34,120,228.25,5520,29,126,228.75
,,0,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T17:01:59Z,sdgp,bmc,58.5,54.5,53.5,48.5,1678,1690,1680,1699,50.5,44,44,8040,34,120,228.75,5640,29,126,228.75
,,0,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T17:02:30Z,sdgp,bmc,58.5,55,53.5,48.5,1704,1691,1687,1695,50.5,44,44,7944,34,121,228.75,5544,29,127,228.5
,,0,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T17:03:24Z,sdgp,bmc,58.5,54.5,53.5,49,1681,1692,1680,1687,50.5,43.5,44,7856,34,120,228.5,5544,29,127,228.75
,,0,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T17:04:02Z,sdgp,bmc,58.5,55,53.5,49,1697,1682,1690,1693,50,43.5,44,7680,34,120,228.75,5544,29,127,228.75
,,0,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T17:04:39Z,sdgp,bmc,58.5,54.5,53,48.5,1679,1684,1681,1685,50,43.5,44,7648,34,120,228.75,5544,29,127,228.75
,,0,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T17:05:09Z,sdgp,bmc,58.5,54.5,53,48.5,1704,1688,1691,1686,50,43.5,44,7648,34,120,228.5,5520,28,127,229
,,0,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T17:05:40Z,sdgp,bmc,58.5,55,53,48.5,1680,1690,1694,1690,50,43.5,44,7648,34,120,228.5,5520,28,127,228.75
,,0,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T17:06:11Z,sdgp,bmc,58.5,54.5,53,48,1680,1699,1689,1700,50,43.5,44,7648,34,120,228.75,5544,28,127,229
,,0,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T17:06:45Z,sdgp,bmc,58.5,55,53,48.5,1708,1700,1694,1697,50,43.5,44,7680,34,119,228.5,5544,28,127,228.5
,,0,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T17:07:17Z,sdgp,bmc,58.5,55,53,48.5,1668,1695,1681,1696,50,43,44,7648,34,119,228.75,5544,28,126,228.75
,,0,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T17:07:47Z,sdgp,bmc,58.5,55,53,48.5,1707,1690,1691,1684,50,43.5,44,7648,34,119,228.5,5544,28,126,228.75
,,0,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T17:08:19Z,sdgp,bmc,58.5,55,53,48.5,1700,1689,1689,1690,50,43,44,7648,34,120,228.75,5520,28,127,228.75
,,0,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T17:08:52Z,sdgp,bmc,58.5,54.5,53,48,1705,1692,1681,1701,50,43,44,7648,34,120,229,5520,28,127,228.75
,,0,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T17:09:26Z,sdgp,bmc,58,55,53,48.5,1707,1683,1686,1695,50,43,44,7584,34,119,228.5,5520,28,127,228.75

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,branch_misses,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_cycles,cpu_migrations,cpu_usage,ctx_switches,cycles,instructions,load_1,load_15,load_5,mem_usage,page_faults
,,1,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T16:56:00Z,sdgp,host,407785,1216006,42261943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231079729,0,0.3,546,228279478,105708851,0.67,0.26,0.35,3.62,4
,,1,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T16:56:06Z,sdgp,host,358355,1050157,33392814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177807482,0,1.2,390,174358562,79035396,0.7,0.27,0.36,3.61,5
,,1,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T16:56:11Z,sdgp,host,155916,701733,17827303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124017123,0,0.3,342,121207194,46917844,0.64,0.27,0.35,3.62,5
,,1,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T16:56:17Z,sdgp,host,354613,1064961,33724985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183163624,0,0.4,387,179000633,79793723,0.59,0.27,0.35,3.62,4
,,1,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T16:56:22Z,sdgp,host,121346,499266,10988307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68488182,0,0.3,308,60732964,19597380,0.54,0.26,0.34,3.62,4
,,1,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T16:56:27Z,sdgp,host,353520,1058240,33657183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181527996,0,0.5,550,177355338,79887680,0.46,0.26,0.33,3.62,4
,,1,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T16:56:33Z,sdgp,host,973437,2076134,79941375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423012047,2,0.3,503,436507515,191396362,0.42,0.26,0.32,3.62,5
,,1,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T16:56:38Z,sdgp,host,353027,1072712,33750992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184095134,0,0.4,401,181726089,79929231,0.39,0.26,0.32,3.62,4
,,1,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T16:56:44Z,sdgp,host,5299157,11454019,358295977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1579828449,1,0.4,19225,1556677524,830604935,0.36,0.26,0.31,3.62,39
,,1,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T16:56:49Z,sdgp,host,118758,494462,10816405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70010952,0,0.3,310,67096677,25034064,0.33,0.26,0.31,3.62,4
,,1,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T16:56:55Z,sdgp,host,7286309,12962030,319897413,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,6.93,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.38,21,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1063564413,0,0.4,568,1049790285,718889765,0.3,0.25,0.3,3.62,1045
,,1,2023-05-16T17:09:52.060176752Z,2023-07-06T17:09:52.060176752Z,2023-07-06T16:57:00Z,sdgp,host,149949,620502,17242687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116309726,0,0.3,308,112453701,44786908,0.36,0.26,0.31,3.64,4
