#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-05-17T13:56:37.916910359Z,2023-07-07T13:56:37.916910359Z,2023-07-07T13:40:16Z,sdgp,bmc,45,41.5,41,39,3395,3364,3366,3365,40.5,34,34.5,5336,27,117,232,4528,24,122,231.75
,,0,2023-05-17T13:56:37.916910359Z,2023-07-07T13:56:37.916910359Z,2023-07-07T13:40:49Z,sdgp,bmc,45,41.5,41,39,3339,3363,3360,3363,40,34,34,5336,27,117,232,4528,24,123,232.25
,,0,2023-05-17T13:56:37.916910359Z,2023-07-07T13:56:37.916910359Z,2023-07-07T13:41:52Z,sdgp,bmc,44.5,41.5,40.5,38.5,3340,3366,3363,3362,40,34,34,5336,27,117,231.75,4528,24,123,231.75
,,0,2023-05-17T13:56:37.916910359Z,2023-07-07T13:56:37.916910359Z,2023-07-07T13:42:45Z,sdgp,bmc,44.5,41.5,40.5,38.5,3339,3368,3363,3364,40,34,34,5336,27,117,231.75,4528,24,122,232
,,0,2023-05-17T13:56:37.916910359Z,2023-07-07T13:56:37.916910359Z,2023-07-07T13:43:21Z,sdgp,bmc,44.5,41,40.5,38.5,3341,3367,3365,3322,40,34,34,5336,27,117,231.5,4528,24,123,231.75
,,0,2023-05-17T13:56:37.916910359Z,2023-07-07T13:56:37.916910359Z,2023-07-07T13:43:58Z,sdgp,bmc,44.5,41,40.5,38.5,3067,3036,3067,3173,40,34,34,5336,28,117,232,4560,24,122,232.5
,,0,2023-05-17T13:56:37.916910359Z,2023-07-07T13:56:37.916910359Z,2023-07-07T13:44:37Z,sdgp,bmc,44.5,41.5,40.5,38.5,2840,2993,3020,3021,40,34.5,34,5336,28,116,232.25,4560,24,122,231.75
,,0,2023-05-17T13:56:37.916910359Z,2023-07-07T13:56:37.916910359Z,2023-07-07T13:45:21Z,sdgp,bmc,44.5,41.5,41,39,2836,2869,2864,2858,40,34.5,34,5336,28,117,232.25,4528,24,122,232
,,0,2023-05-17T13:56:37.916910359Z,2023-07-07T13:56:37.916910359Z,2023-07-07T13:46:01Z,sdgp,bmc,44.5,41.5,41,39,2837,2858,2875,2855,40,34.5,34,5336,28,117,232,4528,24,122,231.5
,,0,2023-05-17T13:56:37.916910359Z,2023-07-07T13:56:37.916910359Z,2023-07-07T13:46:39Z,sdgp,bmc,45,42,41,39,2839,2862,2859,2861,40,35,34,5336,28,118,232,4528,24,123,231.75
,,0,2023-05-17T13:56:37.916910359Z,2023-07-07T13:56:37.916910359Z,2023-07-07T13:47:26Z,sdgp,bmc,45,42,41.5,39.5,2884,2859,2860,2860,40,35,34,5304,28,117,231.75,4528,24,123,231.75
,,0,2023-05-17T13:56:37.916910359Z,2023-07-07T13:56:37.916910359Z,2023-07-07T13:52:15Z,sdgp,bmc,45.5,42.5,42,40,2883,2873,2873,2861,40.5,35,34.5,5544,28,117,231.75,4528,24,122,231.75
,,0,2023-05-17T13:56:37.916910359Z,2023-07-07T13:56:37.916910359Z,2023-07-07T13:52:38Z,sdgp,bmc,45.5,42.5,42,40,2836,2870,2862,2859,40.5,35,34.5,5520,28,117,231.25,4528,24,122,231.5
,,0,2023-05-17T13:56:37.916910359Z,2023-07-07T13:56:37.916910359Z,2023-07-07T13:53:02Z,sdgp,bmc,45.5,43,42,40,2836,2868,2867,2860,40.5,35,34.5,5520,28,117,231.25,4528,24,122,231.5
,,0,2023-05-17T13:56:37.916910359Z,2023-07-07T13:56:37.916910359Z,2023-07-07T13:53:26Z,sdgp,bmc,45.5,43,42,40,2840,2861,2862,2859,40.5,35,34.5,5544,28,117,231.25,4528,24,123,231.5
,,0,2023-05-17T13:56:37.916910359Z,2023-07-07T13:56:37.916910359Z,2023-07-07T13:53:50Z,sdgp,bmc,45.5,42.5,42,40,2839,2862,2858,2874,40.5,35.5,35,5520,28,117,231.5,4528,24,123,232
,,0,2023-05-17T13:56:37.916910359Z,2023-07-07T13:56:37.916910359Z,2023-07-07T13:54:13Z,sdgp,bmc,45.5,43,42,39.5,2838,2858,2860,2873,40.5,35,35,5520,28,117,231.75,4528,24,122,231.75
,,0,2023-05-17T13:56:37.916910359Z,2023-07-07T13:56:37.916910359Z,2023-07-07T13:54:37Z,sdgp,bmc,46,43,42,40,2887,2859,2860,2861,40.5,35,35,5520,28,117,231.5,4528,24,122,231.75
,,0,2023-05-17T13:56:37.916910359Z,2023-07-07T13:56:37.916910359Z,2023-07-07T13:55:01Z,sdgp,bmc,46,43,42,40,2836,2863,2858,2860,40.5,35,35,5520,28,117,231.5,4528,24,123,232

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,branch_misses,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_cycles,cpu_migrations,cpu_usage,ctx_switches,cycles,flag1,flag2,flag3,flag4,instructions,load_1,load_15,load_5,mem_usage,page_faults
,,1,2023-05-17T13:56:37.916910359Z,2023-07-07T13:56:37.916910359Z,2023-07-07T13:39:47Z,sdgp,host,126711,419872,9038565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70365473,0,0.3,329,64836491,0,0,0,0,20634285,0.2,0.46,0.44,3.66,4
,,1,2023-05-17T13:56:37.916910359Z,2023-07-07T13:56:37.916910359Z,2023-07-07T13:39:53Z,sdgp,host,5170066,11489569,353553377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1474831399,0,0.3,19464,1471682708,0,0,0,0,819080405,0.24,0.46,0.44,3.67,62
,,1,2023-05-17T13:56:37.916910359Z,2023-07-07T13:56:37.916910359Z,2023-07-07T13:39:59Z,sdgp,host,130285,423998,9476177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67640630,0,0.4,377,65039764,0,0,0,0,21315251,0.22,0.45,0.43,3.68,6
,,1,2023-05-17T13:56:37.916910359Z,2023-07-07T13:56:37.916910359Z,2023-07-07T13:40:04Z,sdgp,host,124838,408740,9158982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.46,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69053639,0,0.6,338,64753646,0,0,0,0,20659676,0.21,0.45,0.43,3.68,7
,,1,2023-05-17T13:56:37.916910359Z,2023-07-07T13:56:37.916910359Z,2023-07-07T13:40:10Z,sdgp,host,149837,540413,10722931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,83950536,0,0.3,466,79542189,0,0,0,0,24789815,0.19,0.45,0.42,3.68,6
,,1,2023-05-17T13:56:37.916910359Z,2023-07-07T13:56:37.916910359Z,2023-07-07T13:40:16Z,sdgp,host,143981,456355,10073642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76230818,0,0.3,629,73195140,0,0,0,0,23040969,0.17,0.45,0.41,3.68,6
,,1,2023-05-17T13:56:37.916910359Z,2023-07-07T13:56:37.916910359Z,2023-07-07T13:40:22Z,sdgp,host,126168,424161,9151585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67287549,0,0.3,358,64427765,0,0,0,0,21165844,0.16,0.44,0.4,3.69,7
,,1,2023-05-17T13:56:37.916910359Z,2023-07-07T13:56:37.916910359Z,2023-07-07T13:40:28Z,sdgp,host,299204,803941,16343108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131487882,0,0.3,694,128405036,0,0,0,0,36225683,0.13,0.44,0.39,3.68,563
,,1,2023-05-17T13:56:37.916910359Z,2023-07-07T13:56:37.916910359Z,2023-07-07T13:40:33Z,sdgp,host,4156453,9670216,271386550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129603455,2,0.4,18126,1110525918,0,0,0,0,615109599,0.12,0.44,0.38,3.69,38
,,1,2023-05-17T13:56:37.916910359Z,2023-07-07T13:56:37.916910359Z,2023-07-07T13:40:39Z,sdgp,host,791740,2198679,50717037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517755356,11,0.3,768,515049054,0,0,0,0,119478722,0.11,0.43,0.38,3.69,4
