#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:08:45Z,sdgp,bmc,55,52,51,47.5,1698,1690,1679,1693,47.5,43,42,6984,34,119,229,5368,29,134,229.5
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:09:08Z,sdgp,bmc,55,52,51,47.5,1698,1692,1680,1695,47.5,43.5,42,6984,34,119,229.5,5544,28,133,229.5
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:09:31Z,sdgp,bmc,55.5,52.5,51,47.5,1675,1687,1690,1694,47.5,43.5,42,7016,34,119,229.75,5520,29,134,229.75
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:09:55Z,sdgp,bmc,55.5,52.5,51.5,47.5,1703,1691,1689,1696,47.5,43.5,42.5,6984,34,119,229.75,5520,29,134,229.75
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:10:18Z,sdgp,bmc,55.5,53,51.5,47.5,1671,1686,1683,1697,47.5,43.5,42.5,6984,34,119,229.75,5544,29,133,230
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:10:41Z,sdgp,bmc,55.5,52.5,51.5,47.5,1703,1679,1683,1693,47.5,43.5,42.5,7200,34,119,229.5,5544,29,134,230
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:11:04Z,sdgp,bmc,56,53,51.5,48,1700,1684,1681,1693,48,43.5,42.5,7200,34,120,230,5544,29,134,230
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:11:27Z,sdgp,bmc,56,53,51.5,48,1702,1691,1693,1693,48,43.5,42.5,7168,34,119,229.75,5544,29,134,229.5
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:11:50Z,sdgp,bmc,56,53.5,51.5,48,1672,1696,1688,1697,48,43.5,42.5,7320,34,120,229.75,5520,29,134,230
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:12:24Z,sdgp,bmc,56,53,52,48,1702,1686,1687,1692,48,43.5,43,7376,34,120,229.75,5544,29,134,229.75
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:12:58Z,sdgp,bmc,56,53.5,52,48,1704,1681,1692,1697,48,44,43,7408,34,119,229.75,5520,29,134,230
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:13:33Z,sdgp,bmc,56.5,53.5,52,48,1702,1697,1689,1693,48.5,44,43,7464,34,119,230,5544,29,134,230
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:14:10Z,sdgp,bmc,56.5,54,52,48.5,1682,1689,1682,1703,48.5,44,43,7464,34,119,229.25,5544,29,134,229.5
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:14:39Z,sdgp,bmc,56.5,54,52,48.5,1699,1693,1682,1684,48.5,44,43,7464,34,119,229.5,5544,29,134,229.5
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:15:14Z,sdgp,bmc,56.5,54,52.5,48.5,1700,1696,1688,1700,48.5,44,43.5,7440,35,120,229.5,5520,29,135,230
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:15:47Z,sdgp,bmc,57,54,52.5,48.5,1710,1688,1680,1692,48.5,44,43.5,7496,35,120,229.75,5520,29,134,229.5
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:16:19Z,sdgp,bmc,57,54,52.5,48.5,1678,1704,1686,1694,49,44,43.5,7616,35,121,229.75,5544,29,130,230
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:16:54Z,sdgp,bmc,57,54,52.5,48.5,1672,1691,1690,1692,49,44,43.5,7648,35,120,229,5544,29,134,229
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:17:27Z,sdgp,bmc,57,54.5,52.5,48.5,1706,1683,1690,1700,49,44,43.5,7648,35,120,229,5520,29,135,229
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:18:02Z,sdgp,bmc,57,54.5,52.5,48.5,1705,1692,1688,1693,49,44,43.5,7680,35,120,229.5,5544,29,135,229.75
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:18:36Z,sdgp,bmc,57,54.5,52.5,48.5,1703,1699,1688,1688,49,44,43.5,7648,35,120,229.5,5520,29,135,229.75
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:19:08Z,sdgp,bmc,57.5,54.5,53,48.5,1701,1684,1684,1691,49,44,43.5,7648,35,120,229.5,5520,29,135,229.5
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:19:40Z,sdgp,bmc,57.5,54.5,53,48.5,1706,1690,1682,1701,49,44.5,43.5,7648,35,120,229.25,5544,29,135,229.25
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:20:15Z,sdgp,bmc,57.5,54.5,53,49,1701,1688,1697,1697,49.5,44,44,7616,35,120,229.25,5520,29,135,229.25
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:20:52Z,sdgp,bmc,57.5,54.5,53,49,1675,1696,1684,1678,49.5,44.5,44,7648,35,120,229,5544,29,135,228.75
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:21:22Z,sdgp,bmc,57.5,54.5,53,48.5,1672,1687,1682,1698,49.5,44.5,44,7648,35,121,229.25,5544,29,135,229.25
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:21:56Z,sdgp,bmc,57.5,54.5,53,49,1671,1699,1690,1703,49.5,44.5,44,7648,35,121,228.75,5544,29,135,228.75
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:22:30Z,sdgp,bmc,58,54.5,53,49,1701,1684,1687,1697,49.5,44.5,44,7768,35,121,229,5520,29,135,229.25
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:23:05Z,sdgp,bmc,58,54.5,53,49,1672,1683,1678,1699,49.5,44.5,44,7680,35,120,229,5544,29,136,229
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:23:37Z,sdgp,bmc,58,55,53,48.5,1698,1690,1681,1696,49.5,44.5,44,7800,35,121,228.75,5544,29,137,228.75
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:24:13Z,sdgp,bmc,58,55,53.5,49,1681,1687,1680,1697,50,44.5,44,7824,35,121,229,5520,29,136,228.75
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:24:48Z,sdgp,bmc,58,55,53.5,49,1698,1694,1682,1684,50,44.5,44,7768,35,121,229,5520,29,136,229
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:25:20Z,sdgp,bmc,58,55,53.5,49,1701,1693,1697,1698,50,44.5,44,7888,35,121,228.5,5520,29,136,229
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:25:56Z,sdgp,bmc,58,55,53.5,49,1701,1695,1689,1697,50,44.5,44,7888,35,121,228.75,5544,29,136,229
,,0,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:26:31Z,sdgp,bmc,58,55,53.5,48.5,1677,1697,1680,1688,50,44.5,44.5,7920,35,121,228.75,5520,29,135,229

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,branch_misses,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_cycles,cpu_migrations,cpu_usage,ctx_switches,cycles,flag1,flag2,flag3,flag4,instructions,load_1,load_15,load_5,mem_usage,page_faults
,,1,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:08:29Z,sdgp,host,200665,592691,12874360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.99,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92704983,0,0.3,518,88669336,0,0,0,0,29431113,6.08,18.83,5.71,4.19,4
,,1,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:08:34Z,sdgp,host,157757,539986,11340341,2,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84459172,0,0.3,484,80771293,0,0,0,0,26312348,5.59,18.72,5.62,4.19,5
,,1,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:08:40Z,sdgp,host,140362,498862,10661890,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77047127,0,0.3,368,73755562,0,0,0,0,24502617,5.14,18.62,5.52,4.18,5
,,1,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:08:46Z,sdgp,host,3238368,7630090,212621950,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.69,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,1000679566,4,0.3,11095,983271758,0,0,0,0,486537032,4.73,18.52,5.43,4.17,8
,,1,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:08:51Z,sdgp,host,5240520,10506097,229480083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891406664,1,0.3,664,884870048,0,0,0,0,550838400,4.35,18.42,5.34,4.18,521
,,1,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:08:57Z,sdgp,host,5215272,10254591,222044405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19.8,0,0,6,8.08,0,1.01,1,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,2.02,0,0,0,0,0,0,0,0,0,0,740512199,1,0.3,681,737362464,0,0,0,0,527152187,4,18.32,5.25,4.17,5
,,1,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:09:03Z,sdgp,host,5215872,10263065,223100951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735476228,2,0.4,782,739691649,0,0,0,0,527609310,3.46,18.13,5.1,4.17,4
,,1,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:09:09Z,sdgp,host,134032,474207,10220609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79418031,0,0.2,353,74917730,0,0,0,0,23282842,3.18,18.04,5.01,4.16,4
,,1,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:09:14Z,sdgp,host,139636,488114,10572175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74807529,0,0.4,394,71638174,0,0,0,0,23948733,2.93,17.94,4.93,4.17,5
,,1,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:09:20Z,sdgp,host,135462,506667,10580978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82117738,0,0.9,373,78631619,0,0,0,0,24443228,2.69,17.84,4.85,4.17,4
,,1,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:09:26Z,sdgp,host,332828,984199,26816062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.99,0,1.01,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189977707,0,0.3,407,207786381,0,0,0,0,63705900,2.56,17.75,4.78,4.17,5
,,1,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:09:31Z,sdgp,host,164611,651442,17492561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126657427,0,0.3,434,123566803,0,0,0,0,46152038,2.35,17.65,4.7,4.17,4
,,1,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:09:37Z,sdgp,host,1353310,2515665,119437379,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.84,0.99,6,0,0,1.01,3,12.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,2,0,21.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502942040,0,0.2,1287,483228865,0,0,0,0,575090118,2.16,17.56,4.62,4.16,81
,,1,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:09:43Z,sdgp,host,5012251,9641985,194732308,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687610015,0,0.2,711,671692527,0,0,0,0,468425453,1.83,17.37,4.47,4.16,7
,,1,2023-05-18T10:26:50.712946609Z,2023-07-08T10:26:50.712946609Z,2023-07-08T10:09:48Z,sdgp,host,5206442,10251861,221996852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739081013,0,0.7,662,735782323,0,0,0,0,526947977,1.68,17.28,4.4,4.15,4
