#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_CIN,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_CIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:20:21Z,sdgp,bmc,49000,48000,46500,44500,1707,1685,1688,1690,42500,41500,38500,660,6264,34000,149000000,229500,696,5064,28000,157000000,229250
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:20:32Z,sdgp,bmc,49500,47500,47000,45000,1698,1679,1687,1699,42500,42000,38500,657,6240,34000,149000000,229750,695,5400,28000,157000000,229500
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:20:43Z,sdgp,bmc,49500,48500,47500,45000,1701,1695,1691,1693,43000,42000,38500,659,6504,34000,149000000,229500,696,5368,28000,156000000,229250
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:20:54Z,sdgp,bmc,49500,48000,48000,45500,1700,1697,1681,1691,43000,42000,38500,660,6536,34000,149000000,229750,697,5368,28000,157000000,229250
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:21:05Z,sdgp,bmc,50000,48000,48500,46000,1675,1694,1680,1693,43000,42000,38500,660,6536,34000,150000000,229750,697,5368,28000,157000000,229500
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:21:16Z,sdgp,bmc,50000,48500,49000,46500,1696,1692,1693,1696,43000,42500,39000,663,6536,34000,150000000,229250,700,5336,28000,158000000,229500
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:21:27Z,sdgp,bmc,50000,49000,49500,47000,1708,1684,1685,1681,43000,42500,39000,664,6504,35000,151000000,229250,701,5336,28000,157000000,229750
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:21:38Z,sdgp,bmc,50500,48500,49500,47000,1707,1692,1687,1689,43000,42500,39000,667,6504,35000,151000000,229750,703,5368,28000,158000000,229500
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:21:48Z,sdgp,bmc,50500,49000,50000,47500,1671,1700,1698,1690,43500,42500,39000,667,6536,35000,151000000,229500,705,5368,28000,158000000,229250
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:21:59Z,sdgp,bmc,51000,49500,50500,47500,1672,1685,1686,1693,43500,43000,39500,669,6656,35000,152000000,229500,704,5368,28000,159000000,229250
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:22:10Z,sdgp,bmc,51000,49000,51000,48000,1698,1695,1704,1684,43500,43000,39500,669,6688,35000,152000000,229000,706,5368,28000,159000000,229500
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:22:21Z,sdgp,bmc,51000,49500,51000,48500,1701,1681,1685,1699,43500,43000,39500,670,6688,35000,152000000,229250,708,5368,28000,160000000,229250
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:22:32Z,sdgp,bmc,51500,50000,51500,48500,1672,1691,1680,1699,43500,43500,39500,670,6720,35000,152000000,229250,711,5368,28000,160000000,229500
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:22:43Z,sdgp,bmc,51500,50000,52000,49000,1672,1682,1686,1691,44000,43500,39500,673,6688,35000,153000000,229250,713,5368,28000,160000000,229250
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:22:55Z,sdgp,bmc,51500,50500,52000,49000,1702,1689,1692,1683,44000,43500,40000,674,6688,35000,153000000,229250,711,5368,28000,160000000,229000
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:23:06Z,sdgp,bmc,52000,50500,52500,49500,1699,1691,1687,1688,44000,43500,40000,677,6720,35000,154000000,229250,712,5400,28000,160000000,229750
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:23:17Z,sdgp,bmc,52000,50500,53000,49500,1673,1686,1680,1692,44000,43500,40000,686,6720,35000,156000000,229250,722,5544,28000,163000000,229500
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:23:27Z,sdgp,bmc,52500,51000,53000,50000,1699,1696,1678,1692,44000,44000,40000,685,6984,35000,156000000,229500,723,5544,28000,164000000,229750
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:23:38Z,sdgp,bmc,52500,51000,53500,50000,1679,1690,1686,1684,44500,44000,40500,687,6960,35000,157000000,229250,724,5544,28000,163000000,229000
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:23:49Z,sdgp,bmc,52500,51000,53500,50500,1669,1689,1681,1694,44500,44000,40500,686,7136,35000,156000000,229250,725,5544,28000,164000000,229250
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:24:00Z,sdgp,bmc,53000,51000,54000,50500,1672,1690,1694,1698,44500,44000,40500,689,7440,36000,157000000,228750,728,5520,28000,164000000,229250
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:24:12Z,sdgp,bmc,53000,51500,54000,51000,1698,1692,1695,1687,44500,44000,40500,689,7496,36000,157000000,229250,726,5544,28000,164000000,229250
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:24:25Z,sdgp,bmc,53000,51500,54500,51000,1674,1688,1691,1697,44500,44500,41000,688,7584,36000,157000000,229500,728,5544,28000,165000000,229000
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:24:38Z,sdgp,bmc,53500,51500,54500,51500,1672,1693,1690,1681,45000,44500,41000,687,7616,36000,157000000,229500,728,5544,28000,165000000,229250
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:24:48Z,sdgp,bmc,53500,52000,55000,51500,1698,1681,1692,1688,45000,44500,41000,692,7888,36000,157000000,229250,730,5544,28000,164000000,229250
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:24:59Z,sdgp,bmc,53500,52000,55000,51500,1705,1700,1687,1681,45000,44500,41000,692,7888,36000,157000000,229000,730,5544,28000,164000000,229250
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:25:10Z,sdgp,bmc,54000,52000,55500,52000,1672,1685,1696,1692,45000,45000,41000,696,8160,36000,158000000,228750,732,5544,28000,166000000,228750
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:25:21Z,sdgp,bmc,54000,52000,55500,52000,1670,1698,1696,1685,45000,45000,41500,683,8160,36000,156000000,229250,720,5544,28000,162000000,229000
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:25:32Z,sdgp,bmc,54000,52500,55500,52500,1701,1687,1680,1691,45500,45000,41500,687,8160,36000,156000000,229500,722,5544,28000,163000000,229250
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:25:44Z,sdgp,bmc,54500,52500,56000,52500,1704,1699,1683,1695,45500,45000,41500,687,8160,36000,156000000,229250,724,5544,28000,163000000,229500
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:25:55Z,sdgp,bmc,54500,52000,56000,52500,1677,1690,1686,1678,45500,45000,41500,684,8336,36000,156000000,229500,722,5544,28000,163000000,229500
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:26:06Z,sdgp,bmc,54500,52500,56000,52500,1672,1688,1691,1695,45500,45000,41500,686,8336,36000,156000000,229250,724,5544,28000,163000000,229500
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:26:16Z,sdgp,bmc,55000,52500,56500,53000,1696,1706,1690,1683,46000,45000,42000,686,8608,36000,156000000,229250,723,5544,28000,163000000,229500
,,0,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:26:27Z,sdgp,bmc,55000,53000,56500,53000,1706,1687,1688,1701,46000,45000,42000,685,8608,36000,156000000,229500,724,5544,28000,164000000,229250

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,L1_dcache_load_misses,L1_dcache_loads,L1_dcache_store_misses,L1_dcache_stores,L1_icache_load_misses,L1_icache_loads,branch_misses,bus_cycles,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_migrations,cpu_usage,ctx_switches,cycles,dTLB_load_misses,flag1,flag2,flag3,flag4,freq1,freq2,freq3,freq4,freq5,freq6,freq7,freq8,iTLB_load_misses,instructions,kvm_entry,kvm_exit,kvm_vcpu_wakeup,load_1,load_15,load_5,mem_usage,page_faults,temp1,temp2,temp3,temp4,temp5,temp6,temp7,temp8,temp9
,,1,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:20:21Z,sdgp,host,22797805,50561099556,22488105,50449857486,14117293,45669369224,63417032,137584462265,22925839,50808077268,100,100,100,0,0,0,0,46,0,0,100,0,0,100,0,0,49.5,0,100,0,0,0,0,0,100,0,0,100,0,0,0,0,0,100,100,100,100,7.14,100,100,100,100,100,100,100,64.65,100,100,100,100,100,100,2,100,100,12.24,4.17,100,89,100,100,100,100,79,100,100,38.38,100,100,100,100,100,100,100,10,100,100,100,10,100,100,100,32.04,14.14,27.27,9.9,11,100,100,100,0,0,0,0,100,100,0,14,100,0,100,0,0,0,0,0,4.12,100,0,0,0,0,0,0,0,44.55,71.72,100,0,0,0,100,0,0,65,100,9.09,0,246,51.1,2187,137243081985,3757154,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,321428,122973734761,0,0,0,11.52,7.48,7.61,3.75,20987,66,65.1,66.1,64.8,65.9,65.1,66.6,66,54
,,1,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:20:29Z,sdgp,host,10935098,51113529268,7759893,51099774693,5752650,45963121721,59684744,136321025026,13040397,51260331051,100,100,0,0,0,0,0,22.77,22.55,14.85,23.08,14,18.56,100,100,100,100,100,0,0,0,32,0,0,100,79,100,0,0,0,0,0,2.02,100,100,100,0,0,100,100,100,100,100,100,100,100,100,100,100,63,21.78,100,100,0,100,100,100,100,0,0,100,0,1.02,100,100,0,100,100,100,100,37.62,0,0,100,100,79,100,100,100,100,81,100,0,100,0,100,100,19.8,100,19.8,0,100,100,0,100,100,0,0,1.01,3.96,100,0,1.01,2.94,2,2.02,0,0,100,0,0,1,0,0,100,100,100,100,0,0,0,0,0,0,90.1,81,100,0,40,51.2,806,136100006239,1291256,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,132547,123754510431,0,0,0,19.82,8.1,9.51,3.74,2409,65.9,63.8,65.8,64.8,66.6,65.5,66.7,66.6,54
,,1,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:20:37Z,sdgp,host,5075572,50890597661,4629039,50755409952,4598517,45879442345,57365965,135897799714,5010599,51124618167,0,100,0,0,0,0,100,98.02,0,0,0,0,0,100,100,100,0,100,100,0,0,0,0,100,100,0,100,0,100,0,0,30,100,100,100,100,33.33,0,100,100,0,0,31.68,100,100,100,100,100,100,100,0,100,0,0,67,100,100,55.56,12.87,0,0,100,0,0,100,100,100,100,100,0.99,0,0,0,100,99.01,100,100,100,100,0,100,100,13,100,100,0,100,0,100,71,9,71.29,0,100,0,100,100,0,100,0,100,100,0,0.99,0,0.99,0,100,100,0,0,0,0,0,100,58.42,29,0,51.49,0,0,100,0,100,0,100,100,0,12,50.3,687,135639341724,748713,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,52836,123467023049,0,0,0,23.52,8.41,10.45,3.73,16,65.6,64.1,66.7,63.9,66.6,65.8,66.7,65.5,54
,,1,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:20:45Z,sdgp,host,12763886,50930951442,12020479,50888317807,4784550,45900829470,58119915,135977298539,10312982,51152943598,16.49,0.99,0,0,0,0,100,46,0,100,0,34.07,5.94,100,100,100,100,0,100,100,0,0,0,0,100,100,0,100,100,10.1,0,0.99,0,100,100,100,67.33,0,100,25.24,0,54,100,100,100,67.33,100,100,0,100,0,100,0,100,62,100,100,0,0,0,100,100,100,0,100,100,100,100,100,0.99,0,100,0,100,0,0,100,100,100,54.55,76,100,100,56.57,100,0,0,100,0,0,0,100,2,100,0,100,100,100,26.73,100,73.74,100,0,0,0,0.99,0,100,98,0,0,46.08,0,54.55,89.11,100,0,0,0,0,0,100,0,100,100,0,100,0,19,50.9,780,135720350343,857330,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,78901,123731610185,0,0,0,29.97,9.02,12.26,3.73,814,66.7,64.6,66.8,65.7,66.7,64.8,67,66.3,54
,,1,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:20:52Z,sdgp,host,13052836,50449436132,12642563,50361850485,36771289,45412651990,58530436,136343921064,13077837,50661259349,1.02,0.99,0,0,0,0,0,0,0,100,100,0,0,100,100,100,100,100,100,100,0,0,0,0,100,100,0,2,1.02,0,100,100,100,100,100,100,0.99,0,0,100,0,100,100,100,0,100,100,100,100,0,0,100,0,0,100,0,100,0,0,0,100,100,100,0,0,100,100,100,100,0,100,0,0,100,0,0,100,100,100,100,100,100,0,100,100,0,0,100,0,100,100,100,0,100,0,100,0,0,100,100,100,0,0.99,0.99,0.99,100,0.99,0,100,0,100,0,0,0,100,0,100,0,100,0,0,100,0,0,100,100,100,0,18,51.2,20416,136118678342,5116075,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,639897,122300039819,0,0,0,32.86,9.33,13.16,3.71,522,67.2,65,67.1,66.1,66.9,65.2,67.3,65.5,54
,,1,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:21:00Z,sdgp,host,6988409,50499954948,6203659,50380482541,11135541,45400132408,56633209,135787452343,7524146,50665835465,3.06,0.99,0,0,0,0,87,0,0,0,100,0,100,100,100,100,100,23.76,100,13.86,0,0,0,90,0,0,75.25,0,0,100,0,100,91,100,100,100,0.99,0,0,100,0,100,100,100,0,100,100,15.84,100,100,0,100,0,1.96,0,29.7,71,0,0,100,100,100,100,0,0,0,100,100,100,85,100,100,0,100,0,0,0,100,100,100,100,0,0,100,100,0,0,100,100,14,100,100,100,100,0,100,0,0,100,100,100,0,0.99,0.99,0.99,100,0,100,100,11,100,0,0,0,100,55,0,0,0,72.28,100,100,0,0,24.75,45.54,100,100,72,51.4,2332,135742851826,1731336,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,202080,122242053720,0,0,0,37.8,9.93,14.86,3.71,5276,67.5,65.1,67.6,66.6,67.3,65.5,67.6,66.2,54
,,1,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:21:08Z,sdgp,host,2815997,50199305377,2544197,50090730037,2985675,45078632198,53555044,135215891292,3530672,50437714519,0,0.99,0,0,0,0,100,0,100,0,0,0,100,100,100,100,38.61,100,100,0,0,0,0,100,0,46.08,2.02,2,5.1,100,15,100,100,100,100,100,0,0,0,100,0,100,100,100,0,100,0,0,100,100,0,100,100,0,2.97,0,0,100,0,100,100,100,100,0,0,0,100,100,100,100,100,100,0,100,0,0,0,100,100,100,100,0,0,100,100,0,0,100,100,100,0,100,100,100,0,100,0,0,100,100,100,0,0.99,0.99,0.99,100,0,61.62,100,0,100,0,0,0,100,100,0,0,100,100,0,100,0,0,61.62,0,100,100,13,50.1,767,135090944606,889791,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,91763,121858264792,0,0,0,39.98,10.22,15.7,3.71,528,68.1,66,68.2,66.7,67.7,66.2,68.3,67.4,54
,,1,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:21:16Z,sdgp,host,7474864,51784174972,7164028,51671456756,7791739,46549342163,62145744,136898683137,7552779,51992303778,100,0,0,0,0,0,0,0,0,0,0,69,100,100,100,100,100,0,100,0,0,0,0,100,0,100,0,0,66,0,0,100,100,100,100,100,0,100,0,0,0,100,100,100,0,0,1.96,100,100,90.1,0,100,100,0,0,0,0,100,0,100,100,100,100,0.99,0,0,100,100,100,100,100,100,0,0,0,100,0,100,100,100,100,100,100,0,100,0,0,100,0,10,100,100,0,100,0,100,0,100,0,100,100,0,0,0,100,100,0,100,100,18,0,0,0,31.68,100,82.18,32,0,0,100,0,100,0,100,68.32,100,100,100,10,51.8,548,136644549256,1397582,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,91189,125467025641,0,0,0,43.83,10.81,17.32,3.71,18,68.6,66.5,68.2,66,68.1,67,68.8,69.2,54
,,1,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:21:24Z,sdgp,host,2511052,50075156422,2270167,49939546193,2115071,44978123794,53116229,134895314501,2829661,50316720074,0,3.03,0,0,0,0,0,100,34,22.77,0.99,100,1,100,100,100,0,100,100,0,0,0,100,100,0,0,100,0,0,100,0,100,100,100,100,100,0,0,0,39.39,0,84.16,100,100,100,100,0,100,100,0,0,100,100,0,0,0,0,100,0,100,100,100,100,0,0,0,100,100,100,100,100,100,100,0,0,100,0,100,0,0,100,100,76,100,100,0,0,100,0,66.67,100,100,16.83,100,1,100,0,0.99,100,100,100,0.99,1,0,0,100,0,0,100,0,100,0,0,0,100,37,37,0,100,0,0.99,100,0,100,47,100,100,100,9,50.3,739,134608068062,610217,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,60299,121563737310,0,0,0,47.16,11.4,18.91,3.71,7,68.6,66.8,69.3,66.6,68.4,67.2,69.5,69.1,54
,,1,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:21:31Z,sdgp,host,7462518,51771516783,7352752,51605966083,8006114,46490377259,61912571,136907502404,7458867,51986134224,0,0,0,0,0,0,0,100,88,100,73.74,100,0,100,0,11,0,0,100,0,0,3,100,100,100,0,97,0,0,0,22.22,100,100,100,100,100,0,0,0,0,0,100,100,100,100,100,0,100,100,0,0,100,100,0,100,0,0,100,0,100,100,0,100,0,0,0,0,100,100,100,100,100,100,100,0,100,0,100,0,0,0,100,100,100,100,0,0,100,0,100,100,100,0,100,0,100,0,0,100,100,100,0,0,0,0,100,0,74.26,100,25,100,0,0,0,100,100,0,0,78,0,0,100,0,100,100,100,100,100,11,50.8,551,136635846113,1488979,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,106179,125494949588,0,0,0,48.58,11.69,19.67,3.71,8,69.4,67.2,69.2,66.9,69.6,67.8,69.6,69.4,54
,,1,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:21:39Z,sdgp,host,2663481,50206519259,2704636,50097868137,2413264,45309312502,53102867,134944910904,3081634,50395766758,1.02,0,0,10,0,0,0,100,32,100,0.99,100,0,100,0,100,35.64,0.99,0,0,0,100,100,100,100,54.55,100,0,0,0,100,0,100,100,100,100,0,0.99,0,0,0,100,100,100,100,72,0,100,100,0,0,100,100,0,100,0.99,0,100,0,100,100,0,100,0,27.72,0,0,100,100,100,100,100,100,100,0,100,0,100,0,0,0,100,100,100,100,0,0,100,0,100,100,100,0,100,0,100,0,0,100,100,46,100,100,2,0,0,0,34.34,100,0,0,100,0,0,100,65.35,100,0,100,52.53,0,0,0,100,47.52,100,100,100,5,50.2,1094,134678642009,593708,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,53700,121700460544,0,0,0,51.11,12.26,21.17,3.72,10,69.8,67.7,69.5,67.4,69.9,68.1,70,70.3,54
,,1,2023-05-31T07:26:47.335446088Z,2023-07-21T07:26:47.335446088Z,2023-07-21T07:21:47Z,sdgp,host,11202017,51685909756,14049294,51503230913,8171939,46630497324,61586819,136971287593,9278278,51944314918,0,0,0,9,0,0,0,87,93.94,21,100,90,0,0,0,0,100,100,40,0,0,0,34,100,100,17,0,0,0,100,100,0,100,100,100,100,100,0,0,0,0,100,0,100,100,100,100,100,100,0,0,100,100,0,100,0,0,100,0,100,100,0,100,0,0,0.99,0,100,100,100,100,60,100,100,100,100,0,100,0,0,0,100,100,100,100,100,0.99,0,0,99,100,100,0,100,0,100,0,0,100,100,0,100,0,100,0,0,40,0,100,100,0,0,0,0,100,0,100,0,100,100,0,0,0.99,100,100,100,100,100,8,51.1,768,136719283192,1588123,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,105963,125583412714,0,0,0,52.3,12.55,21.91,3.72,53,70.5,68.3,70.4,67.8,70.3,68.8,70.7,70.5,54
