#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_CIN,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_CIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:45:36Z,sdgp,bmc,52000,48000,46500,45000,1703,1693,1685,1689,46500,39500,40500,669,6720,34000,151000000,229000,706,5368,28000,159000000,228750
,,0,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:45:47Z,sdgp,bmc,52000,48500,47000,45000,1678,1683,1689,1701,46500,40000,40500,669,6688,34000,152000000,229250,705,5368,28000,158000000,229250
,,0,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:45:58Z,sdgp,bmc,52000,48500,47500,45500,1699,1692,1686,1693,46000,40000,40500,669,6688,34000,152000000,229000,708,5336,28000,159000000,229250
,,0,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:46:08Z,sdgp,bmc,52000,49000,48000,46000,1702,1699,1690,1698,46000,40500,40500,670,6720,35000,153000000,229500,711,5336,28000,160000000,229500
,,0,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:46:19Z,sdgp,bmc,52500,49000,48500,46500,1699,1685,1691,1689,46000,41000,40500,671,6688,35000,153000000,229000,709,5400,28000,159000000,229000
,,0,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:46:30Z,sdgp,bmc,52500,49500,48500,47000,1705,1699,1683,1697,46000,41000,40500,674,6688,35000,153000000,229000,712,5544,28000,160000000,229250
,,0,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:46:41Z,sdgp,bmc,52500,49500,49000,47500,1671,1694,1689,1695,46000,41500,40500,675,6720,35000,153000000,229500,712,5520,28000,161000000,229000
,,0,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:46:53Z,sdgp,bmc,52500,49500,49500,47500,1702,1697,1684,1690,46000,42000,41000,677,6720,35000,154000000,229250,713,5544,28000,160000000,229250
,,0,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:47:04Z,sdgp,bmc,53000,50000,50000,47500,1697,1700,1680,1689,46000,42000,41000,680,6688,36000,155000000,229500,718,5520,28000,161000000,229500
,,0,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:47:14Z,sdgp,bmc,53000,50000,50500,48000,1697,1689,1690,1683,46000,42500,41000,679,6984,36000,155000000,229250,719,5544,28000,162000000,229250
,,0,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:47:25Z,sdgp,bmc,53000,50500,51000,48500,1707,1701,1689,1693,46000,42500,41000,680,6960,36000,155000000,229500,722,5544,28000,163000000,229250
,,0,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:47:36Z,sdgp,bmc,53000,50500,51500,49000,1706,1691,1687,1694,46000,43000,41000,686,7104,36000,156000000,229250,722,5520,29000,163000000,229250
,,0,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:47:47Z,sdgp,bmc,53500,50500,52000,49000,1707,1701,1701,1683,46000,43000,41000,686,7168,36000,156000000,229750,722,5520,29000,163000000,229500
,,0,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:47:57Z,sdgp,bmc,53500,51000,52000,49500,1703,1692,1689,1682,46500,43500,41000,686,7440,36000,157000000,229500,725,5520,29000,164000000,229500
,,0,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:48:08Z,sdgp,bmc,53500,51000,52500,50000,1674,1689,1686,1686,46500,43500,41000,686,7528,36000,156000000,229500,726,5544,29000,164000000,229500
,,0,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:48:20Z,sdgp,bmc,54000,51500,53000,50500,1698,1691,1681,1694,46500,43500,41500,688,7616,37000,157000000,229500,727,5520,29000,164000000,229250
,,0,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:48:32Z,sdgp,bmc,54000,51500,53500,50500,1674,1687,1690,1701,46500,44000,41500,691,7616,37000,157000000,229250,729,5544,29000,165000000,229250
,,0,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:48:42Z,sdgp,bmc,54000,52000,53500,51000,1671,1698,1688,1690,46500,44000,41500,695,7824,37000,158000000,229500,730,5544,29000,165000000,229250
,,0,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:48:53Z,sdgp,bmc,54500,52000,54000,51000,1697,1688,1692,1703,46500,44000,41500,695,7888,37000,158000000,229250,731,5544,29000,165000000,229000
,,0,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:49:04Z,sdgp,bmc,54500,52000,54000,51500,1703,1694,1697,1688,46500,44500,41500,696,8128,37000,158000000,229250,731,5520,29000,166000000,229250
,,0,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:49:15Z,sdgp,bmc,54500,52500,54500,52000,1699,1694,1675,1694,46500,44500,41500,696,8128,37000,158000000,229500,732,5520,29000,166000000,229250
,,0,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:49:25Z,sdgp,bmc,55000,52500,55000,52000,1704,1700,1680,1694,46500,44500,41500,696,8128,37000,158000000,229500,732,5520,29000,165000000,229250
,,0,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:49:36Z,sdgp,bmc,55000,52500,55000,52500,1672,1692,1677,1678,46500,45000,42000,697,8208,37000,158000000,229000,734,5520,29000,166000000,229250
,,0,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:49:47Z,sdgp,bmc,55000,53000,55500,52500,1672,1707,1683,1696,47000,45000,42000,696,8336,37000,158000000,229750,734,5544,29000,166000000,229250
,,0,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:49:58Z,sdgp,bmc,55500,53000,55500,53000,1698,1694,1680,1688,47000,45000,42000,698,8608,37000,159000000,229750,737,5520,29000,167000000,229750
,,0,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:50:10Z,sdgp,bmc,55500,53000,56000,53000,1706,1688,1681,1692,47000,45000,42000,696,8640,37000,158000000,229750,732,5544,29000,166000000,229750
,,0,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:50:20Z,sdgp,bmc,55500,53500,56000,53000,1700,1690,1682,1689,47000,45500,42000,698,8608,37000,158000000,229250,736,5520,29000,166000000,229250

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,L1_dcache_load_misses,L1_dcache_loads,L1_dcache_store_misses,L1_dcache_stores,L1_icache_load_misses,L1_icache_loads,branch_misses,bus_cycles,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_migrations,cpu_usage,ctx_switches,cycles,dTLB_load_misses,flag1,flag2,flag3,flag4,freq1,freq2,freq3,freq4,freq5,freq6,freq7,freq8,iTLB_load_misses,instructions,kvm_entry,kvm_exit,kvm_vcpu_wakeup,load_1,load_15,load_5,mem_usage,page_faults,temp1,temp2,temp3,temp4,temp5,temp6,temp7,temp8,temp9
,,1,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:45:34Z,sdgp,host,95203653,2144087107,91587634,2087828939,13993967,5199907090,12866328,142876486504,99006994,2236863343,0,2,69,1,2.94,0,0,0,0,0,100,0,100,0,100,100,100,0,0,0,0,100,96.97,100,0,64.65,100,13.13,0,0,100,16.83,73.27,100,15.15,100,50.5,0,100,1,0,12,100,100,100,100,0,100,100,0,0,100,100,0,100,1,29,0,100,100,1.98,100,100,100,100,0,100,4.04,100,14.29,100,100,0,100,100,100,100,0,0,0,58.42,84.16,100,50.51,100,100,0.99,0,0,25,6,0,13.86,100,0,100,100,100,0,0,0.99,100,1,100,100,100,100,41.41,0,0.99,0,39.6,100,100,100,100,0,0,100,100,0,0,0,54.46,86.87,100,1,100,38,50.5,2327,140191127662,23127289,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2629946,10934322652,0,0,0,14.39,9.07,4.53,10.29,1350758,60.7,58,61.2,58.2,60.3,59.2,60.2,59.7,57
,,1,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:45:44Z,sdgp,host,100386073,2091988444,103873913,2160648356,12125059,5356401536,11709247,141306203161,103318701,2132716022,1.14,100,66.34,0,0.99,0,0,50,50,0,100,0,100,0,100,100,9.09,1,0,0,0,100,100,100,0,100,19,12.12,0,0.99,100,100,0,100,100,100,0.99,0,3.92,100,0,0,100,100,100,100,0,100,100,0,0,0,100,0,0,100,100,100,1,100,1,0,100,0,100,0,100,12,0,100,100,100,100,100,100,100,0,0,0,0,0,100,100,0,100,100,0,0,100,10,100,1,0,0,100,100,100,100,0,0,0.99,100,0.99,100,100,100,100,0,0,0.99,0,81.19,100,100,100,90.1,90.1,34.65,100,1.98,0,0,0,100,100,0,100,100,16,50.6,981,139185578445,24053139,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2926927,10554236670,0,0,0,22.16,9.67,6.52,10.27,1311544,61.8,59.3,62,59.1,61.2,60.5,61,60.2,57
,,1,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:45:54Z,sdgp,host,101672724,2275497006,95493727,2150217675,12658258,5445865668,11730933,139346907196,98249435,2285125114,0,0,0,0,0,0,0,100,33,0,0,100,100,0,100,0,100,18.81,0,0,0,100,100,0,0,0,0,100,0,0,100,81,100,100,0,100,0,0,0,0,0,100,100,100,100,100,100,100,0,0,0,100,100,0,27,100,100,100,100,0,0,0,100,0,85.15,0,100,1.96,100,100,100,100,100,100,100,100,0,0,0,0,100,0,0,100,100,100,0,0,100,0,0,0.99,0,33.66,100,100,100,100,100,0,1,0,0,100,100,100,100,0,100,0,0,0,100,100,100,33,100,87,0,0,0,0,100,100,100,100,100,100,14,50.4,782,137791943881,23620074,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2654900,10820249577,0,0,0,28.6,10.25,8.41,10.5,1345987,62.6,59.9,62.9,59.5,62.3,60.5,62.2,61.1,57
,,1,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:46:05Z,sdgp,host,92963829,2149035683,91261173,2124220499,11937061,5561400670,12246464,141242355431,95399915,2191711050,68.75,29.47,100,18,21,78.22,0.99,100,0,0,0,100,100,100,100,0,35,20,1,43,57.58,0.99,100,77.78,0,26,24,38.61,0,100,0,78,100,0,64,100,0,0,1,0,75,100,100,100,100,34,0,100,0,100,0,0,100,100,0,100,0.99,100,0.99,1,100,100,0,36,0,0,100,100,100,0,100,100,100,100,0,0,100,0,0,100,0,100,100,0,100,100,0,0,100,0.99,0,0,0,83,100,100,100,100,100,0,0.99,0.99,0.99,100,100,100,0,21,0,0.99,0,80,100,100,100,100,0,100,100,0,0,0,99,100,0,100,0,100,21,50.6,1035,139467232495,24561685,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2882363,11067197668,0,0,0,34.04,10.83,10.24,10.55,1365442,63.7,60.7,64.2,60.8,62.9,61.7,63.3,61.9,57
,,1,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:46:15Z,sdgp,host,92858843,2179890085,91271924,2106282794,11895675,5508261647,12005596,140452393279,93029833,2176349717,100,0,0,100,100,0,0.99,0,0,0,0,100,100,100,100,100,100,100,0,0,100,0,100,0,100,13,100,0,0,0,100,100,0,100,0,100,0,0,0,0,0,100,100,100,100,0,0,100,100,100,0,100,0,100,1,100,100,100,0,100,0,0,100,100,0,0,100,100,100,0,100,100,100,0,0,0,100,0,0,100,0,100,0,100,100,100,0,0,100,0,100,1,0,0,100,100,100,100,0.99,0,100,1,0.99,100,100,100,0,86.14,0,0,0,0,100,100,100,0,100,0,0,0,100,0,0,100,100,0,0,100,16,50.9,756,138482209104,24580005,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2822545,10894139834,0,0,0,38.65,11.4,12.01,10.93,1352844,64.4,61.6,64.7,61.3,64,62.7,63.6,62.8,57
,,1,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:46:26Z,sdgp,host,92572295,2149414681,91966003,2112721544,12048696,5380538199,12048062,141144494098,98555068,2197241119,1.12,0,0,100,100,0,100,100,0,0,0,0,100,81,100,100,0,100,24,76.77,0,0,0,100,100,100,100,0,0,0,0,100,0,0,100,100,0,0.99,0,0,0,100,100,100,100,0,0,100,100,100,0,100,0,100,100,100,100,100,19.19,0,0,0,100,96.04,0,0,100,100,100,0,100,0,100,100,100,100,100,0,0,0,0,100,0,0,100,100,0,100,100,0,0,0,100,100,0,100,100,100,0,0,0,0,100,100,100,100,3.03,0,100,0,0,0,100,100,100,0,0,0,0,0,100,100,100,100,100,0,0,0,19,50.8,755,138413357677,23589818,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2766857,10878411176,0,0,0,42.54,11.96,13.73,10.67,1351989,65.1,62.6,65.5,62.1,64.7,63,64.7,63.1,57
,,1,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:46:36Z,sdgp,host,97056579,2224392828,95575638,2161651529,13501060,5417613665,11887587,141331370819,98103343,2199303377,0,0,0,9,100,91,100,0,0,0,100,0,100,0,100,100,100,100,0,0,0,1,0.99,100,0,0,0,0,0,100,0,100,100,100,100,100,0,0,0,0.99,0.99,100,100,100,100,0,0,100,100,100,0,100,0,100,100,100,100,0,100,0,0.99,0,100,0,0,100,100,100,100,0,100,0,100,100,100,100,100,0,0,0,100,0,0,0,100,100,13.13,87,100,0,0,0,100,100,0.99,100,100,100,0,0.99,0,0.99,100,100,100,100,100,100,100,1,0,0,0,100,100,0,0,0,0,0,100,100,100,100,100,0,0,0,21,50.9,1044,138775107409,24446388,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2798573,10777838423,0,0,0,45.92,12.53,15.4,10.72,1340174,65.8,63.8,66.3,62.8,65.2,64.1,65.4,64,57
,,1,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:46:47Z,sdgp,host,95175440,2234894855,94345854,2215776879,32629303,5539542763,14536422,141495788223,96732695,2285090448,0,100,100,0,100,100,100,100,0,0,0,0,100,0,100,100,100,100,0,0,0,0,58.59,100,100,100,76,0,0,100,0,0,100,100,100,100,0,0,0,0,1,100,100,100,100,100,0,100,100,0,0,100,100,0,52,100,100,100,0,0,0,35.35,100,100,0,100,100,0,100,0,100,0,100,0,100,0,100,0,0,100,100,47,0,0,0,100,100,0,66,0,0,2,100,100,0.99,100,100,100,100,0.99,1,0.99,0,100,100,100,0,0,0,0,0,65.35,100,100,100,69,0,0,0,0,100,100,100,0,30.69,0,0,0,26,50.8,11366,139256545379,26137100,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,3135735,11209593655,0,0,0,48.7,13.08,17,10.55,1342033,66.6,64.1,66.9,63.5,66.1,64.8,66,64.6,57
,,1,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:46:57Z,sdgp,host,112302477,2356071673,111103436,2328031020,36887268,5564609473,15134430,145393965004,111315951,2361967940,0,0,100,0,100,0,100,0,0,0,0,100,100,0,100,100,100,100,40.4,0,0,0,0,100,0,56,0,100,0,0,0,100,100,100,100,100,0,0,73,27.45,100,0,100,100,100,100,0,100,100,0,0,100,0,100,100,100,100,100,0,0,0,0,100,100,0,100,100,0.99,100,0,100,100,100,100,100,0,100,0,0,0,9,100,90.1,1,0,100,0,100,0,0,0,0,0,100,100,0,100,100,100,1,0,0,0,100,100,100,0,8,75,0,0.99,21,100,100,100,100,100,0,0,0,100,0,100,0,100,20.2,79.21,0.99,32,50.4,17863,143411846526,26351943,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,3171760,11176086749,0,0,0,51.13,13.63,18.56,10.01,1337746,67.2,65,67.5,64.4,66.7,65.2,66.7,65.5,57
,,1,2023-05-31T07:50:28.79207691Z,2023-07-21T07:50:28.79207691Z,2023-07-21T07:47:08Z,sdgp,host,98743305,2352116948,102103233,2389396297,23379717,5776658561,13856937,141892226664,94927330,2262268264,0,0,100,0,100,0,100,100,0,0,0,0,100,100,100,100,100,100,0,0,0,84,100,0,0,63,35,43.56,100,0,0,100,0,0,100,100,0,100,0.99,0,100,0,100,100,100,0,100,0,100,100,0,100,100,0,100,100,100,0,0,0,100,0,100,100,0,0.99,100,100,100,0,100,100,100,100,100,0,100,0,0,0,100,0,100,0,0,100,0,100,0,100,0,0,0,100,100,0,0.99,100,100,0.99,0.99,0,0.99,100,100,100,0,0,36.63,0,0,81,56,100,100,100,100,0,0,0,100,0,100,0,0,100,100,0,13,50.9,8577,140160790636,26158008,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2993002,11067826780,0,0,0,53.19,14.18,20.08,9.72,1343527,67.7,65.5,68.1,65.2,67.3,65.8,67.2,65.8,57
