#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_CIN,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_CIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:38:25Z,sdgp,bmc,55,52.5,50.5,47.5,1701,1686,1686,1702,47,43,42.5,0.52,7320,35,118,230,0.56,5520,28,126,230
,,0,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:38:37Z,sdgp,bmc,55,52.5,50.5,47.5,1674,1702,1695,1693,47,43,42.5,0.52,7440,35,118,229.75,0.56,5544,28,125,229.75
,,0,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:38:48Z,sdgp,bmc,55,52.5,50.5,47.5,1675,1701,1688,1682,47,43,42.5,0.53,7224,35,119,230,0.56,5544,28,125,229.75
,,0,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:39:00Z,sdgp,bmc,55,52.5,50.5,47.5,1703,1690,1692,1688,47,43,42.5,0.52,7408,35,118,230,0.56,5544,28,125,230.25
,,0,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:39:12Z,sdgp,bmc,55,52.5,50.5,47.5,1699,1687,1684,1689,47,43.5,42.5,0.53,7344,35,120,229.5,0.56,5520,28,127,229.75
,,0,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:39:25Z,sdgp,bmc,55,52.5,50.5,47.5,1672,1697,1688,1703,47,43.5,42.5,0.53,7288,35,119,229.5,0.56,5544,28,126,230
,,0,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:39:36Z,sdgp,bmc,55,52.5,51,47.5,1677,1685,1693,1699,47,43.5,42.5,0.53,7288,35,119,229.5,0.56,5544,28,126,229.5
,,0,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:39:47Z,sdgp,bmc,55,53,50.5,47.5,1701,1699,1681,1687,47.5,43.5,42.5,0.52,7320,35,118,229.25,0.56,5544,28,125,229.5
,,0,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:39:58Z,sdgp,bmc,55,52.5,51,47.5,1701,1694,1684,1688,47.5,43,42.5,0.52,7464,35,119,229.5,0.56,5544,28,126,230
,,0,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:40:09Z,sdgp,bmc,55,52.5,51,47.5,1697,1689,1692,1694,47.5,43,42.5,0.53,7256,35,119,229.75,0.56,5544,28,126,229.75
,,0,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:40:19Z,sdgp,bmc,55,52.5,51,47.5,1702,1693,1690,1690,47.5,43.5,42.5,0.53,7256,35,119,229.75,0.56,5544,28,126,229.75
,,0,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:40:32Z,sdgp,bmc,55,52.5,51,47.5,1709,1694,1701,1701,47.5,43.5,42.5,0.53,7440,35,119,229.75,0.56,5544,29,126,229.75
,,0,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:40:43Z,sdgp,bmc,55.5,52.5,51,47.5,1672,1698,1693,1684,47.5,43,42.5,0.53,7464,35,119,230,0.56,5544,28,126,230
,,0,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:40:54Z,sdgp,bmc,55,52.5,51,48,1697,1697,1686,1692,47.5,43.5,42.5,0.53,7320,35,119,229.5,0.56,5520,28,126,229.75
,,0,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:41:06Z,sdgp,bmc,55.5,53,51,47.5,1705,1681,1681,1691,47.5,43.5,42.5,0.53,7288,35,119,229.75,0.56,5520,29,126,229.75
,,0,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:41:17Z,sdgp,bmc,55.5,52.5,51,47.5,1701,1693,1688,1690,47.5,43.5,42.5,0.53,7464,35,119,230,0.56,5544,29,126,230
,,0,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:41:28Z,sdgp,bmc,55.5,53,51,47.5,1676,1683,1682,1702,47.5,43.5,42.5,0.53,7408,35,120,229.75,0.56,5544,29,126,229.75
,,0,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:41:39Z,sdgp,bmc,55.5,53,51,47.5,1698,1695,1698,1694,47.5,43.5,42.5,0.53,7464,35,119,229.75,0.56,5520,29,126,230.25
,,0,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:41:51Z,sdgp,bmc,55.5,52.5,51,47.5,1700,1693,1693,1683,47.5,43.5,42.5,0.53,7464,35,119,229.5,0.56,5520,29,126,229.75
,,0,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:42:02Z,sdgp,bmc,55.5,53,51,47.5,1703,1698,1691,1691,47.5,43.5,42.5,0.52,7408,35,119,229.75,0.56,5544,28,126,229.5
,,0,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:42:16Z,sdgp,bmc,55.5,53,51,47.5,1705,1701,1686,1695,47.5,43.5,42.5,0.52,7464,35,118,229.5,0.56,5544,28,126,229.75
,,0,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:42:30Z,sdgp,bmc,55.5,53,51,47.5,1702,1688,1678,1698,47.5,43.5,42.5,0.53,7464,35,119,229.75,0.56,5520,29,126,230
,,0,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:42:43Z,sdgp,bmc,55.5,53,51,47.5,1675,1686,1694,1685,47.5,43.5,42.5,0.53,7440,35,119,229.75,0.56,5544,29,126,230
,,0,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:42:57Z,sdgp,bmc,55.5,53,51,47.5,1699,1698,1686,1696,47.5,43.5,42.5,0.52,7464,35,118,229.5,0.56,5544,29,125,229.5
,,0,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:43:09Z,sdgp,bmc,55.5,53,51,47.5,1703,1695,1693,1692,47.5,43.5,42.5,0.52,7496,35,118,229.75,0.56,5544,29,126,229.75

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,L1_dcache_load_misses,L1_dcache_loads,L1_dcache_store_misses,L1_dcache_stores,L1_icache_load_misses,L1_icache_loads,branch_misses,bus_cycles,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_migrations,cpu_usage,ctx_switches,cycles,dTLB_load_misses,flag1,flag2,flag3,flag4,freq1,freq2,freq3,freq4,freq5,freq6,freq7,freq8,iTLB_load_misses,instructions,kvm_entry,kvm_exit,kvm_vcpu_wakeup,load_1,load_15,load_5,mem_usage,page_faults,temp1,temp2,temp3,temp4,temp5,temp6,temp7,temp8,temp9,total_vcpu,total_vm
,,1,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:38:25Z,sdgp,host,2084613,46079579,2074589,39980482,946558,66259708,452868,896809415,2128629,45294487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,431,871727579,119399,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,40447,91957108,0,0,0,0.14,0.4,0.53,3.68,6,61.5,59.6,61.9,59.7,61.6,59.7,61.8,60.6,58,0,0
,,1,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:38:33Z,sdgp,host,1637681,36155570,1360338,38161405,1494581,82881937,549909,1014090527,2026041,40026632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0.3,519,1026664907,368223,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,60357,141789695,0,0,0,0.21,0.41,0.53,3.69,114,61.4,59.6,62,59.8,61.7,59.8,61.9,60.5,58,0,0
,,1,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:38:41Z,sdgp,host,2356974,46434471,1647048,40601533,1324466,65239767,550954,931302813,2302413,53808760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.4,533,921492474,157488,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,45735,133109811,0,0,0,0.25,0.41,0.53,3.69,120,61.7,59.6,62,59.6,61.7,59.7,61.9,60.5,58,0,0
,,1,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:38:48Z,sdgp,host,1714248,36838236,1213084,30863228,424958,58896347,615768,920958304,2105281,43305242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.99,0,0,0,0,0.99,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,720,942160646,165558,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,48985,120628915,0,0,0,0.31,0.41,0.54,3.66,5,61.6,59.7,61.9,59.7,61.6,59.8,61.9,60.5,58,0,0
,,1,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:38:56Z,sdgp,host,2280036,55146134,2114754,49639810,1323074,83337210,622529,1023773361,1983164,49335231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,1,5,0,0,17.71,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.3,755,1023994902,146943,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,51240,110324542,0,0,0,0.26,0.41,0.52,3.66,224,61.7,59.5,62,59.7,61.7,59.7,61.9,60.5,58,0,0
,,1,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:39:04Z,sdgp,host,13720363,410860677,13906121,410948317,36400156,499186731,5314720,2572429895,13594217,406580517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,1,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.3,19485,2577161571,4961241,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,734867,878135015,0,0,0,0.24,0.4,0.51,3.67,130,61.5,59.5,61.9,59.7,61.7,60.2,61.9,60.6,58,0,0
,,1,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:39:12Z,sdgp,host,24389775,602361296,24502901,600861079,14532836,901059332,11558820,4075149198,24721289,607666639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.02,0,0,1,0,0,0,0,0,0,0,0,1,0,16.67,11.88,9,8.25,0,9.28,18.37,20.95,19.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,180,1.2,2311,4088776795,3808575,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,361798,1799114361,0,0,0,0.6,0.43,0.58,3.72,22782,61.7,59.7,62.3,59.8,61.8,59.8,62.3,60.7,59,0,0
,,1,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:39:20Z,sdgp,host,25260020,636975822,26101564,656746189,18108837,915300557,12590176,4149923793,26347024,666894338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.63,9,12.12,13.86,9.09,12.12,15.15,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,1,0,0,0,0,0,0,0,0.99,0,0,0,2.02,0,0,3,0,0,1.98,0,0,0,0,2.97,0,0,0,0,0,0,0,0,0,0,204,1.2,2562,4269768688,4282249,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,426321,1936200599,0,0,0,0.97,0.46,0.66,3.71,25458,61.8,59.9,62.2,59.8,61.8,60,62,60.7,59,0,0
,,1,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:39:28Z,sdgp,host,7940518,519004011,3616136,589222345,3039084,569583160,4592407,1921740864,11419030,487735654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0.99,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.99,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.5,1140,1953338443,824561,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,94036,1180260424,0,0,0,1.06,0.46,0.68,3.73,922,61.9,59.8,62.2,59.8,61.7,59.8,62.6,60.8,59,0,0
,,1,2023-06-09T08:43:18.940243154Z,2023-07-30T08:43:18.940243154Z,2023-07-30T08:39:36Z,sdgp,host,8215990,1398688301,4927928,1237641265,4954782,1091152074,8775842,2494129890,8370704,1437003668,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.05,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,13.59,5.05,0,17.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.1,987,2518015923,900839,0,0,0,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,84317,3290332703,0,0,0,1.05,0.47,0.69,3.74,14,61.8,59.7,62.1,59.8,61.8,59.8,62.1,60.7,59,0,0
