#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_CIN,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_CIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-06-09T09:34:02.45265784Z,2023-07-30T09:34:02.45265784Z,2023-07-30T09:09:56Z,sdgp,bmc,56,52.5,51.5,47.5,2341,2362,2369,2358,49,41.5,43,0.54,7288,34,122,229,0.54,5336,28,122,229.25
,,0,2023-06-09T09:34:02.45265784Z,2023-07-30T09:34:02.45265784Z,2023-07-30T09:10:09Z,sdgp,bmc,56,52,51,48,1702,1701,1703,1695,49,41.5,43,0.54,7168,34,121,229.5,0.54,5336,28,120,229
,,0,2023-06-09T09:34:02.45265784Z,2023-07-30T09:34:02.45265784Z,2023-07-30T09:10:23Z,sdgp,bmc,56,52,50.5,47,1696,1684,1688,1704,49,41.5,43,0.54,7168,35,121,229,0.54,5336,28,121,229
,,0,2023-06-09T09:34:02.45265784Z,2023-07-30T09:34:02.45265784Z,2023-07-30T09:10:36Z,sdgp,bmc,56,51.5,50.5,47.5,1699,1687,1692,1682,48.5,42,43,0.55,7168,35,124,229.25,0.55,5368,28,124,229.25
,,0,2023-06-09T09:34:02.45265784Z,2023-07-30T09:34:02.45265784Z,2023-07-30T09:10:48Z,sdgp,bmc,56,51.5,50.5,47.5,1673,1696,1687,1687,48.5,42,42.5,0.58,7168,35,131,229,0.65,5336,28,146,229
,,0,2023-06-09T09:34:02.45265784Z,2023-07-30T09:34:02.45265784Z,2023-07-30T09:10:59Z,sdgp,bmc,56,51.5,50.5,47,1697,1690,1685,1690,48.5,42,42.5,0.64,7224,35,144,229.25,0.68,5520,28,152,229
,,0,2023-06-09T09:34:02.45265784Z,2023-07-30T09:34:02.45265784Z,2023-07-30T09:11:10Z,sdgp,bmc,56,52,50.5,47.5,1704,1692,1683,1689,48.5,42.5,42.5,0.65,7408,35,148,228.75,0.69,5544,28,155,229
,,0,2023-06-09T09:34:02.45265784Z,2023-07-30T09:34:02.45265784Z,2023-07-30T09:11:21Z,sdgp,bmc,56,52,51,48,1699,1701,1680,1696,48.5,42.5,42.5,0.62,7440,35,141,228.75,0.67,5520,28,151,228.5
,,0,2023-06-09T09:34:02.45265784Z,2023-07-30T09:34:02.45265784Z,2023-07-30T09:11:34Z,sdgp,bmc,56,52,51,48,1700,1693,1692,1695,48.5,42.5,42.5,0.63,7440,35,141,229,0.67,5544,29,152,229
,,0,2023-06-09T09:34:02.45265784Z,2023-07-30T09:34:02.45265784Z,2023-07-30T09:11:46Z,sdgp,bmc,56,52.5,51.5,48.5,1701,1681,1685,1695,48.5,43,42.5,0.67,7464,35,150,228.75,0.7,5520,29,157,228.75
,,0,2023-06-09T09:34:02.45265784Z,2023-07-30T09:34:02.45265784Z,2023-07-30T09:11:57Z,sdgp,bmc,56,52.5,51.5,48.5,1707,1696,1681,1681,48.5,43,42.5,0.64,7616,35,145,228.75,0.68,5520,29,152,228.75
,,0,2023-06-09T09:34:02.45265784Z,2023-07-30T09:34:02.45265784Z,2023-07-30T09:12:08Z,sdgp,bmc,56,52.5,51.5,49,1670,1699,1686,1687,48.5,43,42.5,0.64,7616,35,145,228.75,0.68,5544,29,152,228.75
,,0,2023-06-09T09:34:02.45265784Z,2023-07-30T09:34:02.45265784Z,2023-07-30T09:12:19Z,sdgp,bmc,56,52.5,52,49.5,1700,1680,1684,1693,48.5,43.5,42.5,0.66,7616,35,148,228.75,0.7,5544,29,156,228.5
,,0,2023-06-09T09:34:02.45265784Z,2023-07-30T09:34:02.45265784Z,2023-07-30T09:12:30Z,sdgp,bmc,56,52.5,52,49.5,1705,1695,1695,1684,48.5,43.5,43,0.66,7824,35,149,229,0.7,5520,29,157,228.75
,,0,2023-06-09T09:34:02.45265784Z,2023-07-30T09:34:02.45265784Z,2023-07-30T09:12:41Z,sdgp,bmc,56,53,52.5,50,1700,1695,1686,1685,48.5,43.5,43,0.66,7888,36,149,229,0.7,5544,29,157,229
,,0,2023-06-09T09:34:02.45265784Z,2023-07-30T09:34:02.45265784Z,2023-07-30T09:12:54Z,sdgp,bmc,56,53,52.5,50,1671,1700,1683,1694,48.5,44,43,0.67,7920,36,151,228.75,0.71,5544,29,159,228.75
,,0,2023-06-09T09:34:02.45265784Z,2023-07-30T09:34:02.45265784Z,2023-07-30T09:13:08Z,sdgp,bmc,56,53,53,50.5,1672,1698,1685,1700,48.5,44,43,0.68,8128,36,152,229,0.71,5520,29,160,229
,,0,2023-06-09T09:34:02.45265784Z,2023-07-30T09:34:02.45265784Z,2023-07-30T09:13:23Z,sdgp,bmc,56.5,53,53.5,51,1671,1703,1687,1692,48.5,44,43,0.68,8128,36,153,228.75,0.71,5544,29,161,228.5
,,0,2023-06-09T09:34:02.45265784Z,2023-07-30T09:34:02.45265784Z,2023-07-30T09:13:37Z,sdgp,bmc,56.5,53.5,53.5,51.5,1701,1701,1691,1682,48.5,44.5,43,0.68,8128,36,153,228.75,0.71,5520,29,160,228.75
,,0,2023-06-09T09:34:02.45265784Z,2023-07-30T09:34:02.45265784Z,2023-07-30T09:13:49Z,sdgp,bmc,56.5,53.5,54,51.5,1702,1696,1688,1684,48.5,44.5,43,0.67,8336,36,152,228.75,0.71,5544,29,159,228.5
,,0,2023-06-09T09:34:02.45265784Z,2023-07-30T09:34:02.45265784Z,2023-07-30T09:14:00Z,sdgp,bmc,56.5,53.5,54,52,1706,1687,1695,1700,48.5,44.5,43,0.67,8336,36,152,228.5,0.71,5544,29,159,228.75
