#group,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_CIN,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_CIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,2023-11-14T16:43:23.830222823Z,2024-01-04T16:43:23.830222823Z,2024-01-04T16:06:26Z,sdgp,bmc,50,48.5,47,45,1683,1682,1695,1695,43,42,39,0.52,6264,34,118,229.75,0.55,5064,28,124,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,2023-11-14T16:43:23.830222823Z,2024-01-04T16:43:23.830222823Z,2024-01-04T16:06:38Z,sdgp,bmc,50,48.5,47,45,1702,1686,1685,1674,43,42,39,0.52,6536,34,118,229.5,0.55,5096,28,124,229.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,2023-11-14T16:43:23.830222823Z,2024-01-04T16:43:23.830222823Z,2024-01-04T16:06:49Z,sdgp,bmc,50,48.5,47,45.5,1713,1692,1698,1683,43.5,42,39.5,0.52,6504,34,118,229.75,0.55,5064,28,123,229.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,2023-11-14T16:43:23.830222823Z,2024-01-04T16:43:23.830222823Z,2024-01-04T16:06:59Z,sdgp,bmc,50.5,49,47.5,45.5,1699,1688,1700,1694,43.5,42,39.5,0.52,6504,34,118,229.75,0.55,5096,28,124,229.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,2023-11-14T16:43:23.830222823Z,2024-01-04T16:43:23.830222823Z,2024-01-04T16:07:11Z,sdgp,bmc,50.5,49,47.5,46,1672,1689,1700,1681,43.5,42,39.5,0.52,6536,34,118,229.25,0.55,5064,28,123,229.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,2023-11-14T16:43:23.830222823Z,2024-01-04T16:43:23.830222823Z,2024-01-04T16:07:22Z,sdgp,bmc,50.5,49,47.5,45.5,1675,1685,1702,1692,43.5,42,39.5,0.54,6536,34,122,229.5,0.6,5096,28,135,229.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,2023-11-14T16:43:23.830222823Z,2024-01-04T16:43:23.830222823Z,2024-01-04T16:07:34Z,sdgp,bmc,51,49,48,46,1671,1693,1694,1691,43.5,42.5,39.5,0.76,6504,34,172,228.75,0.8,5368,28,180,228.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,2023-11-14T16:43:23.830222823Z,2024-01-04T16:43:23.830222823Z,2024-01-04T16:07:46Z,sdgp,bmc,51,49.5,48,47,1671,1686,1687,1681,43.5,42.5,39.5,0.77,6536,35,175,228.75,0.81,5336,28,182,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,2023-11-14T16:43:23.830222823Z,2024-01-04T16:43:23.830222823Z,2024-01-04T16:07:58Z,sdgp,bmc,51,49.5,49,47.5,1700,1682,1692,1698,44,42.5,40,0.78,6536,35,177,228.75,0.82,5368,28,185,229.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,2023-11-14T16:43:23.830222823Z,2024-01-04T16:43:23.830222823Z,2024-01-04T16:08:09Z,sdgp,bmc,51,49.5,49.5,48,1707,1699,1700,1689,44,43,40,0.79,6504,35,179,229,0.83,5336,28,186,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
