#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_CIN,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_CIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:17:28Z,sdgp,bmc,55.5,51,49,44.5,1693,1693,1688,1690,46.5,38,40.5,0.53,6240,30,120,231.5,0.56,5336,28,127,231.5
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:17:39Z,sdgp,bmc,55.5,50.5,49,44.5,1692,1696,1699,1684,46.5,38,40.5,0.52,6240,31,120,231.5,0.56,5368,28,127,231.75
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:17:50Z,sdgp,bmc,55.5,52,49,44.5,1688,1681,1689,1693,46.5,38,40.5,0.55,6264,31,125,231.25,0.62,5368,28,141,231.5
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:18:03Z,sdgp,bmc,55.5,51,49,44.5,1696,1680,1694,1686,46,38,40.5,0.58,6264,31,133,231.5,0.65,5368,28,148,231.25
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:18:14Z,sdgp,bmc,55.5,50.5,49.5,44.5,1692,1691,1700,1685,46,38,40.5,0.6,6264,31,137,231.25,0.67,5368,28,151,231.25
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:18:25Z,sdgp,bmc,56,50.5,49.5,45,1690,1680,1703,1696,46,38,40.5,0.56,6240,31,128,231.25,0.63,5368,28,144,231.5
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:18:36Z,sdgp,bmc,55.5,50.5,49.5,45,1677,1694,1699,1688,46,38.5,40.5,0.57,6240,31,129,231.5,0.63,5336,28,145,231.5
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:18:48Z,sdgp,bmc,56,51,50,45,1696,1698,1705,1684,46,38,40.5,0.57,6240,31,129,231.5,0.64,5368,28,145,231.5
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:19:00Z,sdgp,bmc,56,52,50,45.5,1697,1682,1701,1685,46,38.5,40.5,0.58,6240,31,132,231.25,0.65,5368,28,147,231.25
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:19:11Z,sdgp,bmc,56,51,50,45.5,1691,1680,1694,1696,46,38.5,40.5,0.54,6240,31,123,231.5,0.61,5368,28,138,231.5
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:19:22Z,sdgp,bmc,56,51,50.5,45.5,1697,1689,1703,1684,46,38.5,40.5,0.54,6240,31,124,231.25,0.61,5368,28,140,231.5
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:19:35Z,sdgp,bmc,56,51,50.5,45.5,1689,1678,1698,1688,46,38.5,40.5,0.55,6240,31,125,231.5,0.62,5368,28,141,231.25
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:19:47Z,sdgp,bmc,56,52,50.5,45.5,1703,1681,1699,1684,46,38.5,40.5,0.55,6240,31,125,231.25,0.62,5520,28,141,231.25
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:19:59Z,sdgp,bmc,56,51,50.5,45.5,1690,1685,1699,1691,46,38.5,40.5,0.55,6240,31,125,231.5,0.62,5544,28,140,231.5
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:20:10Z,sdgp,bmc,56,52,51,45.5,1677,1685,1699,1696,46,38.5,40.5,0.55,6264,31,125,231.5,0.62,5544,28,141,231.5
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:20:22Z,sdgp,bmc,56,52,51,45.5,1670,1695,1698,1695,46,39,40.5,0.55,6264,31,125,231.75,0.62,5544,28,140,231.75
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:30:57Z,sdgp,bmc,53.5,49,48,44,1682,1675,1702,1696,45.5,38,39,0.52,6264,31,118,231.75,0.54,5368,28,123,231.75
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:31:08Z,sdgp,bmc,53.5,49,48,44.5,1694,1678,1699,1693,45.5,38,39,0.52,6240,31,118,232,0.54,5368,28,123,231.75
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:31:19Z,sdgp,bmc,54,49.5,48,44,1705,1693,1697,1686,45.5,38,39.5,0.52,6240,31,119,232,0.54,5368,28,123,232.25
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:31:31Z,sdgp,bmc,54,49.5,48,44,1671,1677,1695,1690,45.5,38,39.5,0.52,6240,32,118,232.25,0.54,5368,28,122,232
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:31:44Z,sdgp,bmc,54,49.5,48,44.5,1678,1680,1692,1684,45.5,38,39.5,0.51,6264,32,117,232,0.54,5368,28,122,232
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:31:56Z,sdgp,bmc,54,50,48,44.5,1696,1681,1699,1686,45.5,38.5,39.5,0.51,6264,32,118,232,0.54,5336,28,123,232
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:32:07Z,sdgp,bmc,54,49.5,48,44.5,1696,1675,1704,1690,45.5,38.5,39.5,0.51,6240,32,117,231.5,0.54,5368,29,122,231.75
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:32:18Z,sdgp,bmc,54,49.5,48,44,1681,1689,1698,1685,45.5,38.5,39.5,0.51,6240,32,117,232,0.54,5368,29,122,232
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:32:29Z,sdgp,bmc,54,49.5,48,44.5,1679,1681,1703,1693,45.5,38.5,39.5,0.51,6240,32,117,231.75,0.54,5336,29,121,231.75
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:32:40Z,sdgp,bmc,54,50,48,44.5,1673,1686,1690,1694,45.5,38.5,39.5,0.51,6240,32,117,231.75,0.53,5368,29,122,232
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:32:52Z,sdgp,bmc,54,50,48,44.5,1694,1682,1700,1690,45.5,38.5,39.5,0.51,6240,32,116,231.5,0.54,5336,29,122,231.75
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:33:03Z,sdgp,bmc,54.5,50,48,44,1684,1681,1696,1684,45.5,38.5,40,0.51,6264,32,117,231.75,0.54,5336,29,121,231.75
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:33:15Z,sdgp,bmc,54.5,50,48,44.5,1694,1681,1693,1693,46,38.5,40,0.51,6240,32,117,232.25,0.54,5336,29,122,232.25
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:33:27Z,sdgp,bmc,54.5,50,48,44.5,1687,1674,1693,1694,46,38.5,40,0.51,6264,32,116,232.25,0.53,5336,29,121,232.5
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:33:43Z,sdgp,bmc,54.5,50,48,44.5,1676,1676,1692,1690,46,38.5,40,0.51,6240,32,116,232.25,0.53,5336,29,121,232.25
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:33:58Z,sdgp,bmc,54.5,50,48,44.5,1681,1677,1703,1696,45.5,38.5,40,0.51,6264,32,116,232,0.54,5368,29,122,232.25
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:34:10Z,sdgp,bmc,54.5,50,48,44.5,1696,1695,1705,1693,46,38.5,40,0.51,6264,32,116,232.25,0.53,5368,29,120,232
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:34:23Z,sdgp,bmc,54.5,50.5,48,44.5,1675,1693,1701,1695,46,38.5,40,0.51,6240,32,115,232,0.53,5336,29,120,232.5
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:34:35Z,sdgp,bmc,54.5,50,48,44,1672,1676,1706,1690,46,38.5,40,0.51,6240,32,116,232,0.53,5368,29,121,231.75
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:34:47Z,sdgp,bmc,54.5,50,48.5,44.5,1675,1696,1698,1685,46,38.5,40,0.51,6264,32,115,231.75,0.53,5368,29,120,231.75
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:34:59Z,sdgp,bmc,54.5,50.5,48,44,1690,1685,1698,1693,46,38.5,40,0.51,6240,32,116,231.5,0.53,5368,29,120,232
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:35:13Z,sdgp,bmc,55,50.5,48,44,1696,1691,1699,1686,46,38.5,40,0.5,6264,32,114,231.75,0.52,5336,29,118,232
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:35:26Z,sdgp,bmc,55,50.5,48,44,1702,1685,1700,1687,46,38.5,40,0.5,6264,32,114,232,0.52,5368,29,118,232.25
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:35:39Z,sdgp,bmc,54.5,51,48,44,1681,1693,1697,1684,46,38.5,40.5,0.49,6264,32,114,232,0.52,5336,29,118,232.25
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:35:50Z,sdgp,bmc,55,51,48,44,1677,1684,1698,1694,46,38.5,40,0.49,6264,32,113,232.25,0.52,5336,29,118,232.25
,,0,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:36:01Z,sdgp,bmc,55,51,48,44,1700,1683,1699,1684,46,38.5,40.5,0.49,6240,32,113,232.25,0.52,5368,29,118,232.25

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,branch_misses,cache_misses,cache_references,core0,core1,core2,core3,core4,core5,core6,core7,cpu_cycles,cpu_migrations,cpu_usage,ctx_switches,cycles,instructions,load_1,load_15,load_5,mem_usage,page_faults
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:17:24Z,sdgp,controller,9765509,23314009,137339693,16.49,8.16,6.19,7.14,8,14,10.1,10.31,2186014799,792,7.5,17239,2174002654,2014991004,1.1,0.88,0.84,19.04,1510
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:17:29Z,sdgp,controller,6150108,13332303,87502909,11.34,8.16,11.22,8.08,7.14,6.19,6.06,6.19,1205299013,331,9.4,10668,1235809344,1088747057,1.1,0.89,0.84,18.99,534
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:17:34Z,sdgp,controller,5338144,11301424,75164955,5.05,3.09,20,5.05,5.1,4.04,4.04,7.07,1115458317,209,9.5,9185,1116431016,1018514456,1.09,0.89,0.85,19,388
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:17:40Z,sdgp,controller,6987487,15472054,94871375,13.13,8.08,2.06,4.04,5.15,7.22,9,10.1,1418245148,349,14.2,11094,1436250834,1332897805,1,0.88,0.83,18.98,792
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:17:45Z,sdgp,controller,5304631,10680589,76769250,3.06,4.08,6.12,18.18,4.08,5.05,3.03,4.08,1076141930,247,6.5,9599,1075402517,907673103,0.92,0.88,0.82,19.02,610
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:17:50Z,sdgp,controller,6800565,13960680,91391871,17.35,7.14,6,6,4.12,11.11,6.06,9.18,1432012279,335,15,10464,1426874781,1232205307,0.85,0.87,0.8,19.01,1156
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:17:55Z,sdgp,controller,32227175,51992816,284349246,18.18,21.21,21.43,18.18,18.37,22,46.46,21.21,5303706414,400,9,11753,5280473299,6109146115,0.78,0.87,0.79,18.99,31469
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:18:01Z,sdgp,controller,4654136,7695461,64816891,8.08,6.86,9.09,5.15,7.22,7.07,17,9,931651003,241,7,8565,934920565,754577131,0.8,0.87,0.79,19.77,549
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:18:06Z,sdgp,controller,6291553,13050510,89953546,3.06,4,15,7,4.08,4.04,4.12,8,1234279180,309,15.8,11279,1213448712,1013037099,0.81,0.87,0.8,19.71,1672
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:18:11Z,sdgp,controller,7754467,17354614,115400548,8.25,8.16,20.2,6.12,12.37,9.38,8.08,8.25,1554497581,509,15.7,13954,1568072223,1229598859,0.84,0.87,0.8,19.67,881
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:18:16Z,sdgp,controller,11951679,48753867,171946539,6.32,22.45,15.15,8.16,7.22,12.12,10.1,9.28,2439269312,968,25.8,16523,2414330348,1842464826,0.85,0.87,0.81,19.71,2065
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:18:22Z,sdgp,controller,11465498,44071382,171191383,12.24,11.88,11.22,13.13,23.23,14.43,17.17,25.77,2428964902,1076,16.4,16117,2456287675,2006225572,1.03,0.88,0.84,19.73,3182
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:18:27Z,sdgp,controller,12604678,36508907,167299727,16.49,8.25,24,6.12,11.34,10.2,11.11,11.11,3170539945,1047,8.4,19188,3206138755,2888040613,1.02,0.88,0.85,19.77,7327
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:18:32Z,sdgp,controller,7945501,20826907,109883243,16.16,14.29,16.33,16.49,15.31,18.18,17.35,15.31,1678983363,566,13.6,11991,1672516920,1437461197,1.1,0.89,0.87,19.73,2899
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:18:38Z,sdgp,controller,20999479,74330305,262981427,16.16,12.24,12.24,14.14,24.24,19.59,14.29,9.28,5181892151,1416,11.9,18806,5159586527,4389736473,1.01,0.89,0.85,19.71,9722
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:18:43Z,sdgp,controller,11958972,49516324,181512287,17.35,10,10.1,4.08,6.12,19.19,5.15,4.12,2623304099,1092,11.7,16928,2656357212,2246350743,1.01,0.89,0.86,19.67,4459
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:18:48Z,sdgp,controller,9639545,20591214,137593736,14,6.06,3.06,3.06,6,3.03,2.06,6,2035835680,736,5.8,15049,2023846350,1842806948,0.93,0.88,0.84,19.71,3591
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:18:53Z,sdgp,controller,9082704,28492948,132590789,17.35,25.51,18.37,16.16,20.2,20,17,22.22,2044108094,661,16.7,13773,2006233523,1887828357,0.94,0.88,0.84,19.67,5924
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:18:59Z,sdgp,controller,13762099,79653350,231631075,17.17,14.14,13.27,26.26,19.59,15.31,15.84,35.71,3314442902,1019,27.7,16119,3325783018,3068963308,0.86,0.88,0.83,19.84,3100
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:19:04Z,sdgp,controller,11520096,39916113,160218710,16.33,11.22,12.12,11.34,15.15,10.2,11.34,11.22,2421913480,870,13.7,15854,2438409914,2038535736,0.79,0.87,0.82,19.74,3675
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:19:09Z,sdgp,controller,9952013,32993591,155539461,12.24,19.19,19.19,13.27,17.35,24,13,13.13,2089306257,841,14.8,15866,2110772092,1747700572,0.89,0.88,0.84,19.72,3541
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:19:14Z,sdgp,controller,13040889,51220199,235030180,23.23,15.46,19.19,20,20.41,19.59,21,18.37,5883396474,989,21.8,31844,5851841210,5634223592,0.82,0.87,0.82,19.77,2568
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:19:20Z,sdgp,controller,18817456,44983569,200997441,10.1,7.14,7.14,7.22,8,11,7,9.28,3628789755,796,7.2,17382,3619121318,3501383101,0.75,0.87,0.81,19.61,3995
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:19:25Z,sdgp,controller,7378538,20203313,116740616,11.22,14.14,9.18,10.2,10.2,11.11,13,22.22,1598803503,481,11.2,13364,1608282688,1488315029,0.77,0.87,0.81,19.58,1181
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:19:30Z,sdgp,controller,9089675,31435996,140407026,14.14,11.22,4.95,4.08,8.16,6.19,3.09,3.06,1923047654,680,10.3,14014,1911637220,1530920590,0.95,0.88,0.85,19.69,1350
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:19:36Z,sdgp,controller,14642205,52763552,203814553,19.19,17.17,11.22,13.4,10,14.43,7.14,6.12,3088819374,1111,8.4,18648,3057412248,2348992566,0.96,0.88,0.85,19.59,4430
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:19:41Z,sdgp,controller,12857940,55536816,188046741,18.81,20.62,19.59,17.82,13,11.11,9.28,13.4,2624717147,1084,16.1,17788,2662561548,2081790441,1.2,0.9,0.9,19.63,1255
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:19:46Z,sdgp,controller,17086942,47212382,189477726,8.16,11,10,6.12,6.12,14,9,6.19,3494335072,740,6.3,15191,3437582755,3332115177,1.02,0.89,0.87,19.63,6722
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:19:51Z,sdgp,controller,11910561,41161831,165074664,9.09,10,11.11,6.12,13.13,13,10.2,13,2489201807,974,22.2,16784,2562349897,1918882110,1.01,0.89,0.88,19.77,4058
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:19:57Z,sdgp,controller,10086678,32528161,135806882,2.06,4.04,7.07,2.04,3.03,10.2,4.04,3.06,2101534862,648,11.6,14049,2113872274,1839325328,0.93,0.89,0.86,19.74,3085
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:20:02Z,sdgp,controller,8494000,26188773,126610842,5.1,7.22,7.14,6.12,9,16.16,15.31,12.12,1863565598,602,18.2,13157,1862296016,1684684230,0.86,0.88,0.85,19.71,4750
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:20:07Z,sdgp,controller,7280096,14547743,102229097,15.15,12.24,10,8.08,9.18,8.16,10,12,1396272184,418,13.7,12308,1385836051,1090285764,0.87,0.88,0.85,19.72,3866
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:20:13Z,sdgp,controller,6128374,11546457,84879323,3.09,8.16,4.12,2.08,2.06,3.06,3.06,12.12,1270110723,301,5.8,10227,1272759924,1094071132,0.8,0.88,0.83,19.74,1868
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:20:18Z,sdgp,controller,8849919,15903569,130769469,6.12,4.12,15.15,5.05,7.07,5.05,5.05,2.04,1836932253,692,7.6,15055,1821986218,1533002368,0.73,0.87,0.82,19.69,3929
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:20:23Z,sdgp,controller,7186977,17342509,110680073,4.08,2.06,7,16.33,4.12,6.06,7.22,7.92,1486534079,444,8.4,12361,1460388247,1144263985,0.68,0.87,0.81,19.7,1294
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:20:28Z,sdgp,controller,12827392,32814639,176692783,7.14,9.18,15.31,11.22,10.1,6.25,9.09,8.16,2578501822,1187,16.5,19861,2596183970,1849302604,0.62,0.86,0.79,19.7,1651
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:20:34Z,sdgp,controller,8149402,24994465,123968927,11.11,1.02,1.02,5.05,3,3.06,2.04,3.96,1584437597,686,5.7,14016,1590820960,1136797720,0.57,0.86,0.78,19.76,1008
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:20:39Z,sdgp,controller,5749023,11317711,76392111,12.12,11.11,12,8.08,21.88,16.16,11.88,19.8,1132275079,248,14.3,9838,1164841618,893403263,0.53,0.85,0.77,19.73,3591
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:20:44Z,sdgp,controller,6747176,11083191,85779429,9.18,8.08,17.17,9.09,11,12.12,31.63,10.1,1361855055,486,12.9,9821,1339130431,1101651112,0.64,0.86,0.79,19.72,1581
,,1,2025-04-13T09:36:43.354714666Z,2025-06-03T09:36:43.354714666Z,2025-06-03T09:20:50Z,sdgp,controller,9763534,35148629,141830440,7.14,6.19,3.03,6,16,4.04,4.17,4.04,1916450609,817,20.4,14945,1900671317,1281881607,0.59,0.85,0.77,19.65,963
