#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_CIN,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_CIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:01:54Z,hyperbmc,bmc,36.5,35,33,33,1690,1687,1705,1706,30.5,28,25.5,0.555,4560,22,126,233.5,0.625,4560,18,133,233.75
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:02:05Z,hyperbmc,bmc,36.5,35,33.5,33,1689,1687,1695,1703,30.5,28.5,25.5,0.526,4528,22,119,233.75,0.582,4560,18,133,234
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:02:16Z,hyperbmc,bmc,37,35.5,33.5,33,1688,1704,1697,1696,30.5,28,25.5,0.5720000000000001,4528,22,130,233.5,0.63,4560,18,146,233.75
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:02:27Z,hyperbmc,bmc,37,35.5,33.5,33,1688,1681,1705,1699,30.5,28,26,0.661,4528,22,140,233.75,0.6960000000000001,4560,18,167,233.75
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:02:38Z,hyperbmc,bmc,37.5,35.5,34,33.5,1678,1685,1693,1700,31,28,26,0.614,4528,22,137,233.5,0.669,4560,19,148,233.75
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:02:50Z,hyperbmc,bmc,37.5,36,34,33.5,1673,1696,1708,1699,31,28.5,26,0.721,4560,22,164,234,0.759,4528,19,173,233.5
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:03:00Z,hyperbmc,bmc,37.5,36,34.5,34,1696,1688,1707,1695,31,28.5,26,0.722,4528,22,176,233.75,0.758,4560,19,169,233.5
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:03:11Z,hyperbmc,bmc,38,36,35,34,1701,1685,1696,1698,31,28.5,26.5,0.727,4528,22,164,233.25,0.764,4560,19,179,233.5
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:03:23Z,hyperbmc,bmc,38,36.5,35.5,34.5,1698,1693,1691,1695,31,28.5,26.5,0.727,4528,22,164,233.75,0.764,4528,19,171,233.5
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:03:33Z,hyperbmc,bmc,38.5,36.5,35.5,35,1698,1685,1694,1699,31.5,28.5,26.5,0.734,4528,22,160,233.5,0.767,4560,19,167,233.5
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:03:44Z,hyperbmc,bmc,38.5,37,36,35,1698,1683,1689,1700,31.5,29.5,27,0.738,4528,22,156,232.75,0.77,4560,19,183,232.5
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:03:55Z,hyperbmc,bmc,38.5,37,36.5,35.5,1700,1695,1703,1690,31.5,29,27,0.742,4528,23,173,232.25,0.771,4560,19,174,232
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:04:06Z,hyperbmc,bmc,39,37.5,37,36,1688,1686,1699,1699,31.5,29,27,0.745,4528,23,173,232.25,0.774,4560,19,175,231.75
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:04:17Z,hyperbmc,bmc,39,37.5,37.5,36.5,1692,1699,1700,1697,31.5,29,27.5,0.744,4528,23,168,232,0.777,4528,19,176,232
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:04:28Z,hyperbmc,bmc,39.5,37.5,38,36.5,1691,1690,1705,1709,32,29.5,27.5,0.744,4528,23,166,232,0.777,4528,19,176,232.25
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:04:39Z,hyperbmc,bmc,39.5,38,38,37,1674,1685,1701,1702,32,30,27.5,0.745,4528,23,168,232.5,0.777,4560,19,167,232.25
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:04:50Z,hyperbmc,bmc,40,38,38.5,37,1673,1707,1697,1699,32,29.5,27.5,0.744,4528,23,165,232.5,0.777,4528,19,176,232.75
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:05:01Z,hyperbmc,bmc,40,38,39,37.5,1672,1705,1690,1694,32,30,28,0.749,4560,23,158,232.25,0.784,4560,19,168,232.25
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:05:12Z,hyperbmc,bmc,40.5,38.5,39,37.5,1688,1686,1700,1698,32,29.5,28,0.75,4528,23,168,232.5,0.782,4528,19,177,232.5
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:05:23Z,hyperbmc,bmc,40.5,38.5,39.5,38,1697,1689,1695,1692,32,30,28,0.75,4528,23,178,232,0.785,4560,19,176,232.75
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:05:34Z,hyperbmc,bmc,40.5,39,39.5,38,1694,1703,1694,1702,32.5,30,28.5,0.754,4528,23,167,232.25,0.787,4528,19,173,232.25
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:05:45Z,hyperbmc,bmc,41,39,40,38.5,1699,1696,1696,1698,32.5,30,28.5,0.747,4528,23,166,231.75,0.777,4528,19,180,232
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:05:56Z,hyperbmc,bmc,41,39,40.5,38.5,1700,1708,1701,1694,32.5,30,28.5,0.757,4528,24,170,231.75,0.787,4528,19,176,232
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:06:07Z,hyperbmc,bmc,41.5,39.5,40.5,38.5,1698,1691,1694,1696,32.5,30,29,0.756,4528,24,164,232.25,0.788,4560,19,179,232.5
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:06:18Z,hyperbmc,bmc,41.5,39.5,40.5,39,1698,1688,1694,1707,33,30.5,29,0.762,4528,24,178,232,0.792,4528,19,178,232.25
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:06:29Z,hyperbmc,bmc,41.5,39.5,41,39,1689,1684,1696,1688,33,30.5,29,0.731,4528,24,177,232.25,0.761,4528,19,152,232
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:06:40Z,hyperbmc,bmc,42,40,41,39,1697,1683,1707,1701,33,31,29.5,0.74,4528,24,175,232.25,0.757,4560,19,187,232.25
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:06:51Z,hyperbmc,bmc,42,40,41.5,39,1671,1700,1712,1708,33,30.5,29.5,0.737,4616,24,175,232,0.762,4528,20,156,232.5
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:07:03Z,hyperbmc,bmc,42.5,40,41.5,39.5,1673,1686,1699,1712,33,31,29.5,0.738,4616,24,185,232.75,0.761,4560,20,179,232.25
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:07:14Z,hyperbmc,bmc,42.5,40.5,41.5,39.5,1696,1683,1690,1707,33,30.5,30,0.74,4616,24,170,233,0.765,4560,20,183,232
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:07:25Z,hyperbmc,bmc,42.5,40.5,41.5,39,1686,1687,1697,1697,33.5,31,30,0.744,4648,24,158,231.75,0.764,4528,20,179,231.75
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:07:36Z,hyperbmc,bmc,43,40.5,42,39,1688,1686,1698,1700,33.5,30.5,30,0.749,4680,24,166,232,0.77,4528,20,154,231.25
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:07:47Z,hyperbmc,bmc,43,41,42,39.5,1699,1692,1708,1693,33.5,30.5,30,0.747,4704,24,157,232,0.771,4528,20,156,232.5
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:07:58Z,hyperbmc,bmc,43,41,42,39,1690,1680,1708,1708,33.5,31,30.5,0.744,4768,24,152,232,0.766,4528,20,157,232
,,0,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:08:09Z,hyperbmc,bmc,43,41,42,39.5,1698,1698,1706,1698,33.5,31,30.5,0.718,4648,24,179,231.25,0.748,4528,20,156,232.25

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,string,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_usage,cycles,freq1,freq2,freq3,freq4,freq5,freq6,freq7,freq8,instructions,mem_total_gpu0,mem_usage,mem_used_gpu0,name_gpu0,power_gpu0,temp_gpu0,util_gpu0
,,1,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:01:45Z,hyperbmc,host,740035,16118851,0,0,0,0,0,0,0,0,22,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0.3,98424749,0,0,0,0,0,0,0,0,45953202,15360,3.48,1,Tesla_T4,11.99,52,0
,,1,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:01:54Z,hyperbmc,host,635482,8676468,0,0,0,0,0,0,0,0,0,0,20.2,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,82104831,0,0,0,0,0,0,0,0,21869267,15360,3.52,1,Tesla_T4,27.77,53,0
,,1,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:02:01Z,hyperbmc,host,557263,7638874,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0.3,69269019,0,0,0,0,0,0,0,0,19133647,15360,3.5,1,Tesla_T4,14.12,53,0
,,1,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:02:08Z,hyperbmc,host,578845,7902072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,1.2,75578968,0,0,0,0,0,0,0,0,19893903,15360,3.49,1,Tesla_T4,27.77,53,0
,,1,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:02:15Z,hyperbmc,host,6352428,220433798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1290476421,0,0,0,0,0,0,0,0,547737705,15360,3.5,103,Tesla_T4,28.06,54,0
,,1,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:02:23Z,hyperbmc,host,56599613,1140888622,5,0,0,5,4.95,4.95,5,5,5.94,5,4.95,5,4.95,0,5,21.78,5,4,4.95,5,4,4.95,5,4.95,0,4.04,4.95,5,4.95,4.95,4.95,5,5,0,0.99,0,4.04,4.95,0,5,0,4.95,0,4,0,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95,4.04,0,0,0,5,4.95,4.04,4.95,4.04,5,4,5,5,4.04,0,4.95,5,4,4.95,4.95,11.76,93.07,4.95,4.04,4,0,5,4.95,4.95,4.95,4.04,5,4.95,4.95,5.88,5,0,4,5,5,4.95,5,5,4.95,5,4.95,4.04,1.2,11357874232,0,0,0,0,0,0,0,0,3153885933,15360,3.88,7043,Tesla_T4,67.5,60,77
,,1,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:02:31Z,hyperbmc,host,58399738,1232276925,5,4.95,4,4,4.04,4.04,4.04,4,4.04,4,4,4.04,4,4.04,4.95,5,4,4.04,4,4,5,4,4,4,4.95,4.95,4,5,4.04,4,4,4.95,4.04,4,4,3,4.04,4.04,5,4.04,4.95,5,5,5,5,4.95,4.95,5,4.04,5,4.95,5,4.04,4.95,5,0,0,0,0,0,4.95,5,4.04,4.04,4.95,5,4.04,1.03,5,5,4,4,0,4.04,0,0,0,0,4.04,0,5,4,5,4.95,4.04,4.95,4.95,4,5,4.04,4,4,4.95,4,4,4.95,4,4,4.95,5,4,4,4.04,4.95,4,4.04,4,4,4.04,4,4.04,4,4,4.04,4,4,4,5,4.95,4,4,4,4,100,5,4.04,4.04,4,1.2,14002552535,0,0,0,0,0,0,0,0,3390715798,15360,3.89,7043,Tesla_T4,72.26,64,68
,,1,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:02:40Z,hyperbmc,host,21148900,340939655,1.01,2,2,1.01,1.98,1,2,2,1,2,1.98,2,1,2,2,1,1,1.01,1.01,1.01,1.98,1.98,1,1.01,2,1.98,1.98,1.01,2,2,1.01,1.98,1,2,3.96,1.01,99.01,1.98,2,2,1.98,1.98,2,1.98,1.01,1,1.98,2,2,2,1.98,1.01,2,1,1.01,1.01,1.98,2,1.01,2,1,1,2,2,1.98,1.98,2,1.98,1.01,1.98,1,2,1.98,1.98,1.98,2,2,0,2,1.98,2,2,1.01,1.98,2,1.98,2,1,2,2,2,1.01,1,2.02,1.01,1.98,1.98,2,2,2,2,1.01,1.98,2,2,1.98,1,2,2,1.98,1.98,1.01,2,1,2,1.98,1.01,1.98,1.98,2,1.01,2,1.01,1.01,1.01,2,1,2,1.1,2842880328,0,0,0,0,0,0,0,0,640217656,15360,3.86,7043,Tesla_T4,66.92,65,91
,,1,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:02:48Z,hyperbmc,host,164621552,24999244264,69.79,82.83,84.38,53.61,53.61,53.12,51.58,53.06,50,52.58,53.06,52.58,53.54,83.33,54.08,52.58,52.04,54,53.06,54,53.47,52.58,55.1,52.58,82.83,52.08,52.58,55.1,52.04,52.04,53.06,51.04,55.21,82.83,64,83.67,83.67,83.67,83.67,83.67,82.83,82.65,68.37,82.47,82.47,83.51,83.84,83.84,84.69,84.21,84.54,83,83.67,83.67,83.67,83.67,83.33,84.38,82.65,82.65,78.12,82.47,82.11,83.51,82.47,82.47,82.29,83.17,82.47,83,81,83.84,83.67,83.51,83.67,83.67,83.84,83.51,84.54,83.84,83.33,83.16,83.33,83.67,83.16,79.38,83.51,83.51,83.51,54.08,52.04,52.58,53.06,52.08,52.08,83.67,52.58,52.58,52.08,53.54,52.58,52.08,51.06,52.08,52.08,52.08,84.54,52.53,52.08,52.58,51.55,52.08,54.08,52.58,51.09,53.54,54.08,83.67,54.08,52.58,52.58,53.61,52.08,53.06,54.08,52.58,52.63,52.63,70.9,174269288272,0,0,0,0,0,0,0,0,144928047058,15360,3.81,6707,Tesla_T4,29.52,65,21
,,1,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:02:56Z,hyperbmc,host,167646432,25637630801,46.74,72.45,75.25,48.94,47.87,48.42,49.47,46.81,46.81,47.92,47.37,47.37,47.87,74.51,46.24,47.92,47.92,47.37,47.96,47.92,45.74,60.2,46.32,47.92,73.96,49.49,48.45,47.96,47.42,47.96,47.92,47.92,47.87,73.96,72.92,73.47,73,74,54.17,74,72.16,73.74,74.75,73.2,74,74.23,74.23,74.49,73.2,74.23,73.47,71.13,74.75,73.68,74.49,74.23,73.74,74.75,74.26,74.76,74.49,75,75,73.47,71.13,73.47,74,74,73.74,73.47,72.73,74,87,74,73.74,73.47,74,73.74,73.74,74,73.2,72.92,73.96,74.23,75,74.75,74.23,74.49,73.47,48.96,47.92,47.37,47.31,46.81,48.96,75,47.37,47.31,49.48,47.37,48.45,48.45,48.42,46.24,48.42,45.74,75.25,48.96,46.88,46.32,47.37,48.45,48.45,47.37,47.37,47.37,47.87,74.75,47.37,49.48,50,49.49,51.02,49.48,49.47,50,49.47,50,72.2,176424658492,0,0,0,0,0,0,0,0,149107588146,15360,3.74,6707,Tesla_T4,33.84,65,0
,,1,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:03:06Z,hyperbmc,host,170045955,26718174937,43.62,74.49,76.29,50.52,51.55,48.96,51.55,50.51,50.51,50,51.52,51.52,51.52,76.53,51.52,52,51,50.51,50.51,49.49,48.45,48.45,48.45,47.42,73.96,51,51.49,51,51,50,50,50,46.81,73.96,73.96,51.58,76.04,76.29,75.51,76.29,74.49,77,77,76.29,76.77,75.53,75.79,76.84,75.27,77,77.23,74.49,76.53,76.77,77,76.53,76.53,76.77,77.23,76.77,76.29,76,76.04,75,74.74,75,74.74,74.23,76.04,75,74.49,75.53,74.74,76.29,76.04,75,75.79,84.85,75.51,75.26,76.29,76.77,76.29,76.04,76.53,76.29,76.29,76.04,75.79,50.53,50.51,52,51.49,50.52,50.52,76.77,49.48,50.52,50.51,50,50,50.52,51.52,52.43,50.51,52,76.53,48.96,50.51,51.52,51,49.49,58.16,50.51,50.51,51.52,50.52,76.29,50.51,51.02,51.02,52,51.02,50.51,50.52,50,51.52,49.47,70.6,178837655892,0,0,0,0,0,0,0,0,155384032662,15360,3.7,6707,Tesla_T4,29.89,66,0
,,1,2025-10-23T14:08:13.813745627Z,2025-12-13T14:08:13.813745627Z,2025-12-13T14:03:13Z,hyperbmc,host,176541244,28971769593,46.81,76.04,78.79,48.39,46.15,46.15,46.74,46.15,46.81,45.65,46.74,46.15,46.15,77.55,44.44,45.56,47.87,46.74,46.81,47.37,47.31,46.24,47.37,46.88,78,45.74,46.74,46.24,46.81,46.24,45.65,46.81,46.81,77.55,78.57,77.55,77.55,77.89,77.32,77.55,76.29,77.32,77.32,78.12,77.55,77.66,78.12,76.84,90.82,78.35,77.08,75,78.35,78.35,77.89,77.32,77.32,78.35,78.35,77.78,77.78,78.57,79,76.84,76.6,76.04,73.4,77.08,76.29,76.84,77.08,78.57,77.78,78.79,77.78,77.55,78.57,78.22,78.79,78.79,77.78,77.55,78.57,78.57,77.78,77.08,78.12,77.89,77.08,47.25,47.87,46.81,47.37,46.74,46.24,76.77,46.81,45.65,47.87,47.37,47.37,47.87,46.81,47.37,47.37,47.37,77.55,46.74,47.31,46.24,48.42,46.81,46.81,47.87,47.87,47.87,46.81,78.12,48.96,47.31,47.87,48.42,47.31,47.37,46.15,46.15,46.15,46.15,62.7,172413797904,0,0,0,0,0,0,0,0,168096190636,15360,3.72,6707,Tesla_T4,31.15,66,21
